
 WorkFlow
Start 2024-09-23 11:35:36  Run : 13 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa
    1 6369.657   0.521142 6319.89 2240.87 35.5537 1.04767
    2 6359.869   0.504452 6384.56 2216.78 37.2336 1.03081
    3 6357.088   0.609293 6370.17 2195.71 41.5549 1.06169
    4 6347.752   0.559598 6451.43 2066.19 41.0833 1.09204
    5 6336.975   0.508293 6439.99 1842.62 40.6482 1.16064
    6 6321.659   0.482663 6184.43 1611.67 41.0011 1.24386
    7 6316.022   0.480714 6047.29 1593.49 41.0914 1.26395
    8 6308.053   0.481420 5836.50 1598.62 41.0873 1.27813
    9 6302.227   0.485802 5668.95 1597.71 41.0831 1.27588
   10 6293.491   0.503958 5305.27 1601.59 41.1313 1.24909
   11 6290.678   0.542802 5209.22 1550.53 41.5398 1.17947
   12 6290.527   0.539118 5111.51 1572.69 41.5730 1.17888
   13 6290.318   0.537457 5116.40 1547.31 41.6184 1.17520
   14 6290.213   0.535905 5068.41 1518.72 41.6529 1.17419
   15 6290.064   0.533581 4937.81 1456.77 41.8458 1.18051
   16 6289.988   0.534108 4847.99 1419.51 42.0905 1.19405
   17 6289.933   0.535840 4841.65 1421.04 42.2131 1.20651
   18 6289.925   0.536456 4852.28 1428.01 42.1867 1.20600
   19 6289.919   0.536607 4866.73 1433.96 42.1663 1.20603
   20 6289.910   0.536258 4884.58 1440.75 42.1069 1.20374
   21 6289.909   0.536071 4917.42 1453.92 42.0170 1.19798
   22 6289.906   0.536123 4903.08 1448.21 42.0548 1.19961
