
 WorkFlow
Start 2024-10-19 11:02:20  Run : 10.35 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa     K12      K21
    1 6445.720   0.615765 6970.41 2117.220 44.6744 1.093750 1.89878 3.189070
    2 6435.486   0.501344 6960.89 1965.020 44.0246 1.022650 1.87840 3.213990
    3 6430.671   0.524566 6764.73 1977.240 42.5515 0.995179 1.85583 3.258110
    4 6427.363   0.522665 6416.13 1965.990 41.6955 0.935161 1.84318 3.294070
    5 6425.993   0.506472 5626.46 1805.290 39.9178 0.804755 1.81538 3.323360
    6 6423.171   0.513633 5738.02 1782.450 41.0814 0.862814 1.84111 3.274260
    7 6419.074   0.514784 5469.59 1605.480 42.1979 0.922038 1.87768 3.171660
    8 6412.661   0.512010 4503.61 1118.250 43.8582 1.041400 1.95213 2.876840
    9 6410.198   0.512290 3854.27  948.440 44.2096 1.079560 1.98539 2.774330
   10 6409.493   0.511648 3773.28  957.448 43.4323 1.065230 1.98292 2.835390
   11 6409.195   0.507866 3829.77  964.429 42.7487 1.049620 1.98591 2.893770
   12 6409.164   0.505982 3863.20  975.277 42.4253 1.038720 1.99163 2.926550
   13 6409.021   0.505345 3792.97  948.542 42.6111 1.037350 2.00483 2.906740
   14 6408.978   0.504078 3645.96  893.237 42.9401 1.031540 2.04106 2.863680
   15 6408.970   0.503869 3636.17  889.533 43.0210 1.029250 2.04656 2.855120
   16 6408.743   0.503268 3723.33  925.995 42.9530 1.016780 2.04666 2.824560
   17 6408.422   0.504724 3844.49  969.249 42.5762 1.001440 2.03348 2.774660
   18 6408.048   0.505215 3885.79  983.480 41.8806 1.002270 2.02079 2.717980
   19 6407.566   0.506047 3971.82 1015.040 39.8791 1.000710 1.99302 2.549470
   20 6407.341   0.505666 4015.18 1027.640 39.3713 0.987718 1.98255 2.492310
   21 6406.418   0.503256 4072.58 1038.600 38.6917 0.941357 1.97146 2.383720
   22 6404.146   0.495315 4254.78 1087.110 36.1990 0.808889 1.92826 2.020780
   23 6403.309   0.491405 4334.55 1106.870 34.5622 0.742612 1.90520 1.800660
   24 6402.179   0.485779 4202.12 1058.370 32.4265 0.695159 1.88509 1.544250
   25 6401.433   0.487767 4049.69 1022.530 32.1032 0.712585 1.88918 1.550060
   26 6401.015   0.490095 3864.56  984.640 31.1013 0.712413 1.88815 1.466830
   27 6400.990   0.490197 3896.64  996.512 31.3170 0.717312 1.89165 1.486640
   28 6400.805   0.489482 3985.25 1034.800 31.6020 0.719903 1.90192 1.524190
   29 6400.439   0.485933 4193.21 1128.660 30.7262 0.691382 1.90955 1.460990
