
 WorkFlow
Start 2024-09-09 07:46:52  Run : 6.13333333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa     K12     K21
    1 6465.775   0.601122 6585.42 2191.69 42.4285 1.061860 1.43099 3.65321
    2 6445.373   0.503232 6705.17 2092.73 44.7585 1.003130 1.51968 3.61311
    3 6439.650   0.502993 6697.00 2025.22 47.2880 0.930146 1.63353 3.56477
    4 6433.804   0.515276 6666.90 1907.67 49.8641 0.867849 1.78246 3.47688
    5 6424.697   0.525601 6533.73 1752.28 52.2603 0.844418 1.95197 3.35656
    6 6415.147   0.548339 5997.51 1339.46 55.6493 0.851481 2.28279 3.12827
    7 6401.955   0.542825 5899.56 1664.34 52.3078 0.903565 2.04976 3.28074
    8 6394.573   0.519757 5884.45 1606.25 48.3499 0.904020 1.78342 3.52811
    9 6387.859   0.508800 5324.04 1545.25 47.0103 0.936457 1.75931 3.58132
   10 6386.393   0.505293 5501.63 1565.78 47.7421 0.938655 1.79119 3.52607
   11 6385.681   0.506930 5384.90 1534.87 47.7042 0.945568 1.80401 3.51263
   12 6385.291   0.505176 5240.77 1485.89 47.3396 0.956049 1.79747 3.49796
   13 6384.722   0.504356 4990.96 1399.99 47.1053 0.970260 1.80785 3.43621
   14 6383.864   0.505524 4413.39 1188.67 46.8446 0.996949 1.84835 3.27708
   15 6383.380   0.505157 4420.73 1179.55 47.0575 0.996602 1.87938 3.25597
   16 6383.259   0.504330 4263.02 1106.92 47.2375 1.003000 1.93301 3.18022
   17 6383.143   0.506102 4332.23 1146.02 46.9585 0.996182 1.89317 3.23075
   18 6383.004   0.507567 4262.18 1121.26 46.7492 0.990577 1.89627 3.21353
   19 6382.930   0.506491 4254.17 1123.42 46.5592 0.984401 1.89378 3.21402
   20 6382.812   0.505450 4284.65 1139.84 46.2871 0.972024 1.88194 3.21049
   21 6382.670   0.505583 4314.82 1150.50 46.0460 0.967991 1.89368 3.18277
   22 6382.566   0.506538 4314.31 1145.53 45.4581 0.962542 1.95124 3.08956
   23 6382.494   0.506595 4297.30 1135.33 45.5437 0.968761 1.95129 3.09982
   24 6382.413   0.506042 4262.63 1121.37 45.3426 0.973933 1.97061 3.08884
   25 6382.256   0.505881 4220.20 1100.22 44.6166 0.976392 2.02820 3.02771
   26 6382.154   0.506185 4133.03 1069.09 43.6368 0.974837 2.11218 2.94526
   27 6381.985   0.506237 4146.68 1077.08 43.3100 0.962687 2.12041 2.93982
   28 6381.691   0.506228 4180.40 1100.97 41.5776 0.919642 2.19933 2.86878
   29 6381.607   0.507281 4177.37 1099.10 41.3103 0.913207 2.23002 2.82757
   30 6381.546   0.508702 4155.01 1087.79 40.5281 0.902164 2.30043 2.73490
   31 6381.438   0.509549 4147.82 1087.81 39.9352 0.895567 2.32569 2.68160
   32 6381.056   0.509386 4172.04 1095.42 38.3654 0.875139 2.37866 2.53595
   33 6380.825   0.507854 4233.76 1120.97 36.9279 0.856293 2.40142 2.42732
   34 6380.821   0.507754 4253.98 1127.71 36.2281 0.844256 2.43096 2.37346
   35 6380.818   0.507665 4284.10 1137.24 36.0855 0.837518 2.43188 2.37185
   36 6380.817   0.507665 4284.14 1137.26 36.0857 0.837518 2.43187 2.37187
   37 6380.781   0.507374 4284.60 1136.82 36.1488 0.837425 2.43744 2.36679
   38 6380.780   0.507341 4284.62 1136.76 36.1554 0.837401 2.43798 2.36619
   39 6380.778   0.507298 4282.96 1136.34 36.1527 0.837106 2.43792 2.36447
   40 6380.778   0.507298 4282.96 1136.34 36.1527 0.837106 2.43792 2.36447
   41 6380.778   0.507298 4282.96 1136.34 36.1527 0.837106 2.43792 2.36447
