
 WorkFlow
Start 2024-10-19 11:18:18  Run : 28.2833333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa       K12      K21
    1 6546.257   0.559274 6911.35 2188.990 56.6798 1.125220 2.0945100  2.90018
    2 6516.661   0.551070 7235.16 1913.970 51.0822 1.121760 1.9977200  3.05710
    3 6501.428   0.580856 6842.92 2080.070 45.2512 1.126000 1.9085000  3.25383
    4 6495.506   0.522574 6570.50 2060.160 43.9025 1.076500 1.8834700  3.32754
    5 6492.842   0.520901 6336.62 1964.790 44.2494 1.017810 1.8763900  3.32733
    6 6488.237   0.530088 5700.90 1699.700 45.1694 0.957888 1.8842200  3.30533
    7 6483.033   0.533962 4622.84 1288.290 45.2685 0.942058 1.8662300  3.19480
    8 6482.835   0.535239 4396.96 1203.420 45.3684 0.939737 1.8613500  3.16518
    9 6478.071   0.542510 4147.28 1096.390 45.7427 1.030920 1.8802200  3.07362
   10 6476.156   0.531238 3889.97 1011.980 46.0719 1.117650 1.8946400  2.98103
   11 6476.025   0.531521 3844.34  959.842 46.1653 1.165020 1.9028500  2.92963
   12 6475.728   0.530046 3833.46  973.343 45.6784 1.169490 1.8993200  2.92262
   13 6475.650   0.533103 3923.62 1038.880 45.7240 1.153290 1.8906200  2.95225
   14 6475.416   0.531126 3972.13 1035.420 45.7191 1.152530 1.8927100  2.95249
   15 6475.352   0.528640 4020.47 1031.610 45.6689 1.168810 1.8973500  2.93576
   16 6475.196   0.531867 4059.77 1055.890 45.6126 1.162120 1.8925700  2.95285
   17 6474.902   0.533946 4223.81 1117.620 45.3021 1.164150 1.8779900  2.97941
   18 6474.599   0.534898 4230.39 1128.940 45.5443 1.165020 1.8731800  3.00192
   19 6473.710   0.536538 4208.21 1132.120 46.7925 1.175570 1.8511600  3.09002
   20 6473.327   0.535703 4174.94 1113.700 47.3477 1.173190 1.8400600  3.13572
   21 6472.761   0.532374 4104.00 1075.230 48.5762 1.169760 1.8052800  3.26892
   22 6472.430   0.531646 4053.07 1056.610 49.0900 1.170920 1.7821600  3.35454
   23 6471.402   0.529708 4004.73 1045.050 49.7013 1.184200 1.7274200  3.55360
   24 6469.825   0.526903 4048.07 1076.550 50.9262 1.222050 1.6208900  3.97620
   25 6468.605   0.525367 4136.05 1128.350 53.1283 1.272810 1.4979700  4.55686
   26 6467.954   0.527539 4240.71 1170.000 55.1159 1.310000 1.4142700  5.04003
   27 6467.522   0.530152 4346.60 1199.400 56.4153 1.324030 1.3836800  5.30037
   28 6466.852   0.533480 4508.38 1233.880 58.7606 1.337480 1.3677400  5.64258
   29 6466.136   0.537743 4620.33 1240.680 59.7292 1.319850 1.4401900  5.55109
   30 6465.633   0.537987 4682.75 1243.250 61.0350 1.317420 1.5100000  5.51598
   31 6465.232   0.536393 4664.18 1231.560 61.1120 1.322690 1.5778300  5.37194
   32 6464.387   0.533505 4604.38 1218.580 61.6252 1.358840 1.6211000  5.42798
   33 6463.025   0.531080 4529.75 1207.750 61.2593 1.412950 1.7025900  5.54570
   34 6460.701   0.528516 4419.76 1194.980 61.8376 1.519490 1.7472100  6.33230
   35 6458.234   0.529315 4516.89 1227.810 63.6262 1.645230 1.8053700  7.86605
