Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax
WorkFlow,CMultStdev,0.0011930317,,,,,,,,,,
WorkFlow,tvVmax,6.935083,182045700,,,,,,,,,
WorkFlow,tvKm,-7.8682437,91153821,46667556,,,,,,,,
WorkFlow,tvV,0.03789822,11692.863,6903.0755,46.030062,,,,,,,
WorkFlow,tvKa,-0.0018758777,-20.488072,54.256498,2.0670805,0.14279516,,,,,,
WorkFlow,K12,0.00027196114,-192.41508,-102.11812,-0.16484872,-0.0082170613,0.00094422561,,,,,
WorkFlow,K21,0.00095246536,-663.2268,-372.04355,-0.57850501,-0.028319552,0.0032992936,0.012193494,,,,
WorkFlow,K13,3.5762032e-05,-83.515514,-44.50215,-0.030310163,-0.0013408742,0.000193397,0.00071109607,6.2718264e-05,,,
WorkFlow,K31,6.0610255e-05,-51.73313,-27.544176,-0.05404534,-0.0029018576,0.00025388833,0.00082825798,5.0756385e-05,0.00013202277,,
WorkFlow,stdev0,0.12376528,8676.9196,2313.8239,11.459793,0.55536365,-0.0090335351,0.0032916736,-0.0066841018,-0.018793541,53.829638,
WorkFlow,nVmax-nVmax,0.00097359971,2349.835,1400.0536,1.0307878,0.042897642,-0.0043806621,-0.021605084,-0.0019371969,-0.0021123011,0.45917556,0.15959288
