
 WorkFlow
Start 2024-10-19 11:46:44  Run : 57 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev   tvVmax    tvKm     tvV     tvKa        K12      K21       K13       K31
    1 7584.722   1.191640  3999.82 4000.18 41.3977 1.173540 0.67782100 4.388160 0.1213710 0.0452807
    2 7584.389   1.191630  3999.83 4000.16 41.3980 1.173540 0.67788000 4.388110 0.1213700 0.0452806
    3 7177.769   1.171690  4042.29 3964.46 42.0169 1.169300 0.73323900 4.212920 0.1172460 0.0449035
    4 6872.109   1.133440  4022.80 3968.75 42.7853 1.165780 0.78331700 3.985020 0.1152240 0.0459078
    5 6812.391   1.094630  4019.60 3970.34 43.6012 1.156150 0.79353200 3.918530 0.1152950 0.0464816
    6 6700.191   0.818446  4151.97 3860.10 49.7595 1.063650 0.79542200 3.836250 0.1175980 0.0480314
    7 6624.760   0.641875  4428.98 3635.11 53.5066 0.983272 0.76340500 4.007150 0.1157170 0.0492453
    8 6569.618   0.628874  4667.65 3430.71 50.6765 0.989989 0.73652300 4.091090 0.1066780 0.0531305
    9 6487.952   0.548917  5100.50 3074.21 48.0337 0.976481 0.69806700 4.203120 0.0945692 0.0594093
   10 6464.350   0.512084  5326.36 2900.35 47.2995 0.973558 0.68102000 4.255160 0.0901509 0.0621880
   11 6445.776   0.474861  5763.78 2576.62 47.9360 0.992471 0.65549800 4.292630 0.0863696 0.0662102
   12 6430.142   0.483996  6055.23 2377.52 49.9536 1.034470 0.64530600 4.254500 0.0875757 0.0677692
   13 6405.338   0.507258  6825.50 1937.07 56.7640 1.190110 0.62311200 4.115090 0.0941239 0.0705633
   14 6402.823   0.518441  6948.05 1883.94 57.5940 1.252130 0.62089900 4.066320 0.0962087 0.0703042
   15 6401.605   0.518174  7033.69 1860.32 57.9995 1.309370 0.61728200 4.026630 0.0974686 0.0698009
   16 6400.993   0.513846  7084.87 1854.33 57.8830 1.356690 0.61262000 3.995510 0.0976529 0.0691946
   17 6400.725   0.508314  7112.97 1856.46 57.7132 1.384940 0.60689100 3.973010 0.0968641 0.0686684
   18 6400.479   0.503505  7133.25 1867.06 57.6843 1.405900 0.59909100 3.946650 0.0953233 0.0679916
   19 6399.821   0.495827  7228.51 1872.80 58.2378 1.459070 0.57586600 3.868730 0.0909066 0.0663334
   20 6397.873   0.485130  7472.21 1896.83 60.3115 1.583800 0.51542200 3.658470 0.0791415 0.0618153
   21 6394.069   0.465988  8293.62 1975.81 68.4128 1.970030 0.34366500 3.006140 0.0470552 0.0480100
   22 6389.680   0.476264  8316.97 2046.52 69.8872 2.016050 0.32754100 2.901950 0.0445914 0.0454557
   23 6386.256   0.492316  9033.57 2148.61 79.3632 2.333690 0.21964700 2.352640 0.0278661 0.0342590
   24 6385.629   0.513852  8871.37 2078.42 78.2597 2.245740 0.26154400 2.490430 0.0370859 0.0374044
   25 6384.153   0.505569  8949.49 2100.62 78.4614 2.281020 0.24351500 2.428910 0.0331343 0.0359414
   26 6384.036   0.504365  9004.80 2102.13 78.7990 2.297080 0.23700900 2.395220 0.0321695 0.0351799
   27 6383.940   0.503339  9106.30 2112.15 79.5039 2.328420 0.22432400 2.323220 0.0303707 0.0335472
   28 6383.750   0.502120  9159.58 2111.49 79.4206 2.332700 0.21984500 2.287820 0.0300565 0.0326248
