Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,CMultStdev,0.0009232425,,,,,,,,,,,,,,,
WorkFlow,tvVmax,-6.0237339,1062022.3,,,,,,,,,,,,,,
WorkFlow,tvKm,-20.963799,2471057.4,7025744.8,,,,,,,,,,,,,
WorkFlow,tvV,-0.053011717,-2613.5693,-768.47439,172.10012,,,,,,,,,,,,
WorkFlow,tvKa,-0.0007431177,-209.78151,151.63566,8.5222822,1.1576744,,,,,,,,,,,
WorkFlow,K12,0.033372519,-179.27409,594.86647,-43.145831,2.4075872,39.786411,,,,,,,,,,
WorkFlow,K21,0.019167543,-1318.0753,512.34006,12.496801,7.0124133,37.460839,58.10951,,,,,,,,,
WorkFlow,K13,0.00036475027,1.0162771,-22.058085,-0.67227185,-0.034478521,0.16847772,-0.049709987,0.002775433,,,,,,,,
WorkFlow,K31,6.2864143e-05,-0.89344619,-12.56497,-0.058114329,-0.0050416908,0.0024898085,-0.019633074,0.00028156924,0.00010583536,,,,,,,
WorkFlow,stdev0,-0.0074448534,-461.8448,-2069.2348,3.6143844,-1.6007605,-12.0551,-15.466974,-0.0085939969,0.0053679038,5.5266263,,,,,,
WorkFlow,nVmax-nVmax,-0.00061466286,-181.7374,-282.02105,0.43013032,0.030276731,0.028990293,0.16454006,-0.00061773103,-0.001116858,0.14391566,0.10539107,,,,,
WorkFlow,nKm-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,,,,
WorkFlow,nKm-nKm,-9.0156533e-05,16.784863,34.566554,0.0089089841,-0.00084766073,-0.0020505266,-0.0041875994,-8.602043e-05,-1.4202468e-06,-0.015265855,-0.003707908,0,0.0031352697,,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WorkFlow,nV-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,-6.4458832e-05,488.42395,1421.822,2.5107898,0.12052092,-0.84231473,-0.030134609,-0.014240937,-0.0035774773,-0.64681335,-0.2187762,0,0.0067313752,0,0,1.0610019
