
 WorkFlow
Start 2024-09-04 18:01:40  Run : 14.0666666666667 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm      tvV     tvKa      K12     K21       K13       K31
    1 7156.050   0.473665 1371.53 1135.23 19.76420 1.037660 2.476210 2.75457 0.7207540 0.5657700
    2 7133.880   0.556074 1426.23 1153.17 16.65540 1.008170 2.081300 3.23887 0.2617020 1.1908800
    3 7115.608   0.549677 1493.94 1204.68 17.43630 1.143390 2.227630 3.14309 0.3290290 0.9509440
    4 7108.840   0.519693 1539.60 1217.96 17.82000 1.185590 2.171290 2.95670 0.3795870 0.7840080
    5 7106.238   0.518532 1550.95 1230.49 17.80780 1.201510 2.140160 2.92701 0.3947690 0.6998590
    6 7102.618   0.516599 1557.15 1248.65 17.71610 1.207370 2.105200 2.91382 0.3965670 0.5950290
    7 7098.946   0.514614 1564.59 1265.96 17.61610 1.213250 2.067260 2.90572 0.3960770 0.4966950
    8 7095.140   0.511841 1573.89 1284.32 17.49010 1.218650 2.027740 2.90217 0.3849620 0.4093270
    9 7091.513   0.509695 1587.27 1300.23 17.38330 1.225300 1.989680 2.89866 0.3668840 0.3356520
   10 7088.168   0.507037 1600.50 1320.09 17.36610 1.234000 1.954960 2.88720 0.3407180 0.2701130
   11 7084.139   0.502514 1621.88 1349.14 17.26080 1.249570 1.905420 2.86832 0.3095870 0.2162760
   12 7079.475   0.497466 1637.60 1385.09 17.08080 1.274030 1.827350 2.83792 0.2788070 0.1793080
   13 7076.429   0.494395 1644.25 1408.89 16.98880 1.294830 1.766370 2.81385 0.2551730 0.1541840
   14 7067.969   0.448989 1867.11 1724.66 15.93880 1.474340 1.217170 2.77586 0.0971286 0.0461315
   15 7042.345   0.457018 1965.32 1928.50 15.35310 1.522010 0.778399 2.93618 0.0916059 0.0902128
   16 7030.468   0.503159 1874.58 1859.51 17.74620 1.325070 1.035320 2.87843 0.1226770 0.1014730
   17 7015.322   0.488971 1958.04 2063.23 19.19110 1.300360 0.872722 2.91145 0.0686834 0.0675123
   18 7013.119   0.457103 2016.15 2278.96 21.36540 1.217690 0.770185 3.07263 0.0332135 0.0423367
   19 7009.335   0.467444 1973.05 2225.46 21.06830 1.175400 0.829994 3.12171 0.0534825 0.0565266
   20 7008.344   0.471923 1990.49 2261.10 21.15010 1.150470 0.763756 3.17118 0.0531635 0.0557830
   21 7005.570   0.468794 2049.82 2391.58 21.16200 1.051730 0.534780 3.46928 0.0595797 0.0594263
   22 7004.292   0.460668 2097.46 2468.45 20.97290 0.989237 0.397855 3.70418 0.0671727 0.0652195
   23 7003.149   0.454413 2196.63 2583.50 20.53620 0.892365 0.198278 4.06495 0.0815536 0.0770836
   24 7002.690   0.455816 2239.08 2590.57 19.94020 0.887126 0.149029 4.13471 0.0892372 0.0825860
   25 7002.546   0.457148 2246.25 2583.60 19.99470 0.885486 0.154868 4.11381 0.0888394 0.0813786
   26 7002.398   0.457305 2288.72 2606.13 19.84480 0.855633 0.117510 4.19414 0.0940237 0.0839825
   27 7002.369   0.456619 2287.97 2606.70 19.86960 0.857231 0.120371 4.18182 0.0934115 0.0836677
