Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,
WorkFlow,0.00231533972873062,1,,,,,,,,
WorkFlow,-0.0191330758898429,0.979864182478343,1,,,,,,,
WorkFlow,0.107646042486552,0.346091581857784,0.345139123883872,1,,,,,,
WorkFlow,0.0221299689806328,0.266554930994845,0.296066671459646,0.562228768883373,1,,,,,
WorkFlow,0.010587090715133,-0.386401670498881,-0.377111643360096,-0.724864018507636,-0.772031604460511,1,,,,
WorkFlow,-0.0106559070786925,-0.282020123069721,-0.283446545511245,-0.686410759132697,-0.724929569021878,0.983254353949622,1,,,
WorkFlow,0.0377008481369324,-0.615850081089412,-0.638521885784065,-0.725890259809101,-0.796151279980134,0.918353250763177,0.859621611584122,1,,
WorkFlow,-0.0100361063078775,-0.514019120979674,-0.534120354127015,-0.729924023627445,-0.708872519022696,0.785273391906531,0.710772475438828,0.865762304928951,1,
WorkFlow,-0.147464020634273,-0.280265870859303,-0.252514945932335,0.130204586613327,-0.0465994779919126,0.0877430092188721,0.0930163021613241,0.115434934660261,0.0984762200884522,1
