Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,CMultStdev,0.00097392899,,,,,,,,,,,,
WorkFlow,tvVmax,31.365895,138838010,,,,,,,,,,,
WorkFlow,tvKm,14.685419,69700514,36401405,,,,,,,,,,
WorkFlow,tvV,0.10717903,14106.959,6278.2102,91.768773,,,,,,,,,
WorkFlow,tvKa,0.0014032047,184.86036,61.089823,1.414805,0.065228574,,,,,,,,
WorkFlow,K12,0.0012156137,-392.55993,-195.90262,0.68789866,0.031587298,0.033024189,,,,,,,
WorkFlow,K21,0.01195834,-1136.072,-724.24451,7.9906064,0.33932413,0.31694339,3.1560257,,,,,,
WorkFlow,K13,3.5648984e-05,-90.380285,-48.957259,-0.014000678,0.00033194375,0.0012828713,0.0099887311,0.00014119067,,,,,
WorkFlow,K31,7.2857011e-05,10.288526,3.7632218,0.010749262,0.0011701035,0.0015556396,0.014172849,9.3807364e-05,0.00016502266,,,,
WorkFlow,stdev0,-0.0054021995,9702.1418,4330.3676,-9.2706266,-0.27374035,-0.12894855,-1.1407404,-0.0064323291,-0.0061991219,35.833744,,,
WorkFlow,nVmax-nVmax,0.00039430853,164.48136,262.2434,-0.015949372,-0.0011772386,1.702346e-05,-0.019799694,-0.00055432202,-0.00014925512,-0.021286053,0.029479247,,
WorkFlow,nV-nVmax,0.00016444426,509.16597,194.80059,0.07667303,0.0014620257,-0.0016476555,0.00017220189,-0.000144849,0.00013856703,0.018784143,-0.0069080651,0.0062382842,
WorkFlow,nV-nV,-5.0464177e-07,309.17576,171.33204,0.041496332,-0.0018022137,-0.0028541533,-0.024211107,-0.00031283218,-0.0001644856,0.014648557,0.0024679435,0.0014439245,0.0060242375
