
 WorkFlow
Start 2024-09-22 17:15:41  Run : 41 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa    dVdWT
    1 6443.775   0.441623 6289.91 2340.34 50.7383 0.966446 1.066290
    2 6433.651   0.636115 6330.11 2097.24 45.5857 1.003010 1.027570
    3 6419.335   0.558146 6340.09 1889.69 43.9947 0.990849 1.004790
    4 6415.093   0.484074 5993.35 1762.64 42.3206 1.018340 0.973938
    5 6411.755   0.504034 5815.35 1727.03 42.4412 1.017230 0.968329
    6 6403.093   0.534129 4820.18 1471.47 42.5808 1.041390 0.919885
    7 6398.625   0.543157 4025.57 1184.70 44.3241 1.094290 0.886741
    8 6395.448   0.536367 3956.22 1046.84 46.3072 1.145790 0.886258
    9 6393.284   0.520060 3950.76 1034.55 49.1750 1.222630 0.899039
   10 6392.069   0.517736 4100.76 1058.39 48.2309 1.229330 0.902563
   11 6389.892   0.517579 4242.52 1138.81 46.3284 1.210540 0.906197
   12 6389.219   0.521832 4311.70 1195.74 45.6095 1.159570 0.912099
   13 6389.060   0.523767 4321.29 1200.27 45.7487 1.134070 0.918428
   14 6388.954   0.524174 4304.19 1195.59 45.8014 1.122580 0.923426
   15 6388.769   0.524148 4285.30 1191.36 46.0378 1.118140 0.934962
   16 6388.594   0.523803 4229.02 1161.76 46.3718 1.134080 0.949048
   17 6388.527   0.523882 4244.80 1170.99 46.1878 1.142700 0.944832
   18 6388.480   0.524277 4263.71 1175.08 45.8092 1.152920 0.934872
   19 6388.451   0.524251 4270.44 1178.74 45.8709 1.154550 0.929407
   20 6388.403   0.524732 4243.63 1168.17 46.1293 1.157610 0.895986
   21 6388.376   0.524654 4265.57 1179.13 45.9911 1.145510 0.900158
   22 6388.375   0.524571 4269.82 1181.30 45.9367 1.142820 0.900256
   23 6388.375   0.524527 4272.05 1182.37 45.9095 1.141700 0.900093
   24 6388.375   0.524426 4273.72 1183.15 45.8782 1.140930 0.900618
   25 6388.374   0.524722 4270.08 1181.46 45.9625 1.143020 0.900516
   26 6388.372   0.524620 4266.82 1180.87 45.9166 1.143110 0.904808
