
 WorkFlow
Start 2024-09-22 17:16:30  Run : 57 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa    dVdWT
    1 6435.253   0.466820 6371.73 2264.640 48.3883 0.958361 1.094280
    2 6421.086   0.565599 6445.93 1802.310 41.2558 0.849898 1.058590
    3 6413.205   0.497567 6201.35 1604.490 38.5887 0.802028 1.048690
    4 6406.583   0.477053 5657.51 1659.650 39.4048 0.851416 1.057350
    5 6396.762   0.474123 4465.38 1512.140 40.5125 0.917008 1.064480
    6 6389.231   0.487913 4043.65 1246.040 42.4067 0.966153 1.064190
    7 6381.918   0.504779 3965.50  917.985 44.6927 1.021850 1.038130
    8 6380.204   0.501266 3899.94  987.851 44.3805 1.009680 1.011730
    9 6378.314   0.492891 3905.49 1040.830 43.1059 0.985663 0.953034
   10 6376.544   0.489076 4318.25 1228.700 42.1333 0.920826 0.902448
   11 6375.878   0.490224 4307.38 1174.230 42.2512 0.925086 0.915104
   12 6375.652   0.492174 4281.11 1134.130 41.9371 0.932745 0.954735
   13 6375.374   0.494003 4236.02 1108.560 42.3539 0.932487 1.004290
   14 6375.222   0.499219 4223.90 1109.400 42.8786 0.940202 1.114910
   15 6375.017   0.495186 4223.21 1123.520 42.5754 0.938695 1.073760
   16 6374.891   0.492633 4184.83 1119.470 42.4984 0.943411 1.037670
   17 6374.855   0.488245 4109.65 1096.610 42.3080 0.946826 0.953584
   18 6374.759   0.490497 4100.67 1093.060 42.4626 0.947654 0.962816
   19 6374.667   0.494427 4105.88 1084.450 42.7182 0.947434 0.973646
   20 6374.666   0.494432 4105.76 1084.400 42.7184 0.947441 0.973665
   21 6374.595   0.494775 4143.60 1098.840 42.5981 0.942035 0.993325
   22 6374.574   0.494977 4160.19 1104.500 42.5376 0.939735 1.002230
   23 6374.562   0.494737 4173.75 1110.050 42.4466 0.937631 1.009820
   24 6374.557   0.494326 4176.94 1112.390 42.3993 0.936932 1.013640
