
 WorkFlow
Start 2024-10-19 12:31:11  Run : 43 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa   dVdWT
    1 6430.680   0.781107 6991.56 2049.07 36.9777 1.137190 1.12191
    2 6362.316   0.654332 6910.97 2120.59 42.7270 1.056560 1.12909
    3 6343.646   0.481611 6953.77 1986.75 46.3073 0.908735 1.13878
    4 6335.722   0.543166 6831.59 2020.43 44.2316 0.926600 1.13787
    5 6332.325   0.536290 6698.86 2009.05 43.3438 0.886202 1.14106
    6 6327.651   0.510895 6091.43 1970.90 39.5230 0.742614 1.15569
    7 6326.107   0.518345 6143.71 1972.91 39.8524 0.791578 1.15542
    8 6325.162   0.515733 6056.99 1949.76 39.6981 0.809766 1.16041
    9 6321.831   0.499006 5519.92 1773.90 39.1660 0.882343 1.19169
   10 6319.871   0.497227 5250.58 1637.93 39.8666 0.921996 1.21227
   11 6317.182   0.505598 4771.31 1371.88 42.1827 0.979397 1.25341
   12 6316.624   0.511964 4757.92 1358.91 42.9859 0.964954 1.25619
   13 6316.409   0.516144 4831.76 1366.18 43.5318 0.938617 1.25357
   14 6316.378   0.515553 4822.28 1373.58 43.3949 0.932528 1.25366
   15 6316.366   0.513645 4776.30 1366.52 43.1649 0.928207 1.25676
   16 6316.325   0.512842 4782.08 1366.80 43.0928 0.927077 1.25738
   17 6316.150   0.510677 4863.56 1385.41 42.8777 0.922417 1.25858
   18 6316.005   0.510381 4913.60 1401.48 42.7998 0.920004 1.26178
   19 6315.162   0.511084 5006.33 1442.65 42.6520 0.912526 1.27422
   20 6315.126   0.511194 4998.68 1442.21 42.6527 0.907956 1.27969
   21 6315.099   0.511641 4954.72 1427.94 42.7333 0.906642 1.27934
   22 6315.070   0.511622 4905.68 1410.46 42.7963 0.907706 1.27950
   23 6315.028   0.511384 4798.59 1367.72 42.9487 0.914230 1.27740
   24 6314.981   0.510926 4786.80 1360.93 42.9463 0.915003 1.27686
   25 6314.900   0.510424 4822.88 1367.38 42.9409 0.917893 1.27337
   26 6314.886   0.510624 4842.76 1375.96 42.9311 0.918182 1.27339
   27 6314.882   0.510830 4825.66 1372.16 42.9381 0.919098 1.27290
   28 6314.877   0.511111 4844.22 1380.12 42.9192 0.917405 1.27185
   29 6314.875   0.511474 4858.80 1386.74 42.9211 0.916686 1.27031
