
 WorkFlow
Start 2024-10-19 12:48:49  Run : 14.8833333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa     K12      K21    dVdWT
    1 6496.946   0.602149 6962.74 2128.380 46.4440 1.087020 1.92455  3.16258 1.096870
    2 6493.586   0.559056 7183.51 2149.450 48.3854 1.121570 2.01246  3.33975 1.147110
    3 6489.081   0.542414 7103.64 2116.430 46.5829 1.103910 1.99572  3.44995 1.152740
    4 6483.878   0.533240 6798.94 2095.580 44.4204 1.059640 1.98143  3.66710 1.162260
    5 6480.489   0.516896 6425.83 2025.100 43.9239 1.005740 1.98737  3.83451 1.163740
    6 6476.450   0.524130 5863.27 1858.270 44.0220 0.971721 1.99886  3.98969 1.150660
    7 6471.084   0.526160 5322.22 1630.350 45.3647 1.007110 2.03379  4.08794 1.134740
    8 6464.424   0.533757 4497.47 1231.890 49.1255 1.138430 2.11757  4.17188 1.098530
    9 6463.934   0.540804 4250.21 1127.830 51.0893 1.233480 2.17274  4.21777 1.094520
   10 6463.677   0.533432 4306.85 1159.010 51.0239 1.233030 2.16664  4.19582 1.094120
   11 6463.632   0.527577 4381.13 1195.100 50.8775 1.228940 2.15717  4.16829 1.093690
   12 6463.485   0.527539 4355.81 1187.250 51.0016 1.236350 2.15923  4.16793 1.091630
   13 6463.093   0.531304 4251.02 1133.520 51.4419 1.259710 2.16366  4.20558 1.087280
   14 6463.033   0.534613 4238.38 1132.480 51.3519 1.260190 2.16940  4.22653 1.087770
   15 6462.968   0.547065 4155.29 1111.900 51.0270 1.268340 2.19421  4.34567 1.088970
   16 6462.795   0.539913 4205.53 1117.620 51.1391 1.262200 2.18921  4.30951 1.089310
   17 6462.665   0.536501 4198.10 1109.800 51.2608 1.261060 2.19939  4.32184 1.086580
   18 6462.472   0.526199 4192.76 1099.950 51.3370 1.253260 2.23782  4.38528 1.078410
   19 6462.220   0.527727 4109.68 1068.580 51.6984 1.263160 2.26510  4.44506 1.072340
   20 6461.801   0.539079 3794.58  955.902 53.1687 1.323540 2.37131  4.68959 1.052730
   21 6461.661   0.531901 3910.86 1007.540 52.6071 1.298720 2.34201  4.63622 1.059270
   22 6461.551   0.531652 3908.23 1009.720 52.5570 1.298810 2.35372  4.68880 1.059430
   23 6461.402   0.534493 3811.10  985.600 52.5965 1.314960 2.43494  5.02867 1.053370
   24 6461.294   0.533047 3890.90 1012.300 52.3055 1.302880 2.39921  4.93158 1.056750
   25 6461.220   0.532662 3929.90 1027.320 52.2263 1.299290 2.38458  4.91303 1.055010
   26 6460.995   0.531688 4005.08 1056.700 52.1869 1.297360 2.36775  4.96503 1.041970
   27 6460.514   0.530827 4145.63 1108.470 52.7154 1.307130 2.35681  5.19829 0.995669
   28 6460.061   0.531238 4199.66 1128.190 53.7506 1.328870 2.38919  5.59033 0.939370
   29 6459.599   0.532405 4165.60 1114.090 55.4470 1.361800 2.48156  6.30667 0.862225
   30 6459.415   0.533116 4067.11 1076.850 55.9671 1.367850 2.53080  6.52715 0.848535
   31 6459.308   0.533655 3968.71 1039.780 56.3179 1.366080 2.57259  6.68464 0.844032
   32 6459.246   0.533756 3961.39 1035.850 56.4650 1.361800 2.58501  6.76008 0.841891
   33 6458.950   0.535556 3950.55 1030.900 57.0487 1.339470 2.61248  7.01000 0.839459
   34 6458.580   0.537492 4001.75 1049.430 58.1386 1.323300 2.63220  7.42543 0.819824
   35 6458.089   0.540511 4118.41 1092.080 60.1736 1.317510 2.65243  8.24657 0.776646
   36 6457.658   0.540727 4147.56 1103.380 60.7128 1.331960 2.63471  8.50623 0.765949
   37 6456.824   0.539101 4157.25 1109.930 62.2983 1.398390 2.61782  9.48499 0.729246
   38 6456.672   0.537809 4121.94 1095.930 62.5280 1.426470 2.63358  9.88359 0.720674
   39 6456.606   0.536680 4072.65 1076.750 62.2498 1.439260 2.65226 10.01940 0.725409
   40 6456.586   0.536148 4050.46 1068.730 62.0595 1.440280 2.66379 10.03980 0.729498
   41 6456.558   0.535859 4043.57 1066.520 62.0014 1.438340 2.67203 10.09820 0.733538
   42 6456.457   0.535368 4036.10 1064.940 62.1125 1.427860 2.70449 10.49860 0.751766
   43 6456.366   0.535342 4023.57 1060.500 62.2475 1.423110 2.71491 10.82770 0.779993
   44 6456.165   0.535637 4032.02 1062.880 62.0112 1.409800 2.68155 10.89030 0.862582
   45 6455.999   0.536177 4055.60 1072.520 62.3162 1.414140 2.62970 10.89760 0.947509
   46 6455.913   0.536526 4064.40 1075.900 62.4330 1.421660 2.59391 10.61390 0.994401
   47 6455.888   0.536804 4056.84 1071.850 62.8498 1.439170 2.59302 10.53250 0.989107
   48 6455.885   0.536543 4052.79 1069.530 62.7687 1.439830 2.59479 10.48370 0.987822
   49 6455.885   0.536407 4045.82 1066.220 62.6933 1.440590 2.59490 10.41400 0.988873
   50 6455.883   0.536290 4044.07 1065.830 62.7300 1.440760 2.59577 10.43480 0.992158
   51 6455.875   0.535988 4027.83 1060.920 62.8583 1.439690 2.60636 10.56890 0.995848
   52 6455.867   0.535899 4029.33 1061.690 62.9093 1.440290 2.60896 10.59650 0.991582
   53 6455.799   0.534985 4040.95 1066.090 63.2514 1.444840 2.63424 10.93340 0.957001
   54 6455.737   0.535004 4062.75 1073.700 63.5022 1.449890 2.63755 11.19050 0.927026
   55 6455.693   0.535776 4062.47 1073.600 63.6029 1.448490 2.63539 11.32920 0.918155
   56 6455.652   0.536919 4031.02 1061.680 63.7728 1.449310 2.62983 11.50230 0.921491
   57 6455.648   0.537065 4009.37 1053.890 63.7296 1.448440 2.62918 11.47050 0.932448
