
 WorkFlow
Start 2024-10-19 13:19:13  Run : 28.6666666666667 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa      K12      K21   dVdWT
    1 6459.472   0.548928 6841.46 2129.40 56.9253 1.156810  2.09638  2.86039 1.14305
    2 6415.862   0.516896 7277.28 1850.83 54.6218 1.141390  2.05250  2.93332 1.14597
    3 6404.328   0.596682 7837.97 1971.35 49.3450 1.110170  2.03563  3.54185 1.25422
    4 6383.130   0.472132 7405.58 2298.08 45.4847 0.925719  1.96190  3.94701 1.28632
    5 6380.471   0.523871 7268.51 2229.48 46.7305 0.869520  1.97241  3.84373 1.26252
    6 6378.992   0.515636 7170.94 2188.18 46.1575 0.914702  1.98933  3.80630 1.25710
    7 6376.415   0.491030 6745.61 2046.82 44.8667 0.934101  2.03976  3.73940 1.23646
    8 6372.935   0.483119 5939.83 1751.04 43.5252 0.960858  2.13145  3.49102 1.17985
    9 6370.917   0.483065 5061.62 1431.92 42.2376 0.977531  2.23649  3.20948 1.11732
   10 6370.523   0.498805 5526.30 1569.34 43.5072 0.947855  2.20696  3.40173 1.16271
   11 6369.951   0.502378 5361.34 1519.61 43.4744 0.938903  2.24246  3.39331 1.15913
   12 6369.942   0.514788 4894.02 1370.91 43.5613 0.913327  2.37286  3.42980 1.16456
   13 6369.409   0.510552 4972.26 1359.57 43.5787 0.932332  2.37271  3.40310 1.16136
   14 6369.188   0.503936 4886.94 1325.09 42.9385 0.956353  2.41191  3.37396 1.15499
   15 6369.025   0.502955 4759.87 1289.20 42.6793 0.966295  2.45708  3.37896 1.15014
   16 6368.908   0.503555 4772.88 1313.27 42.5193 0.961869  2.47481  3.40280 1.15203
   17 6368.847   0.503660 4851.43 1354.25 42.4759 0.947552  2.51292  3.45791 1.15804
   18 6368.707   0.507372 4808.11 1318.71 42.3467 0.938441  2.59389  3.47671 1.15750
   19 6368.614   0.508812 4786.71 1292.60 41.9026 0.937731  2.68210  3.48139 1.15705
   20 6368.509   0.508594 4805.82 1282.52 41.0446 0.956114  2.81587  3.50610 1.13772
   21 6368.309   0.506417 4763.50 1274.29 40.4983 0.958992  2.91871  3.53020 1.12803
   22 6368.030   0.503227 4795.13 1312.76 40.4291 0.950178  2.92684  3.55842 1.12846
   23 6367.829   0.503067 4805.86 1326.66 39.9755 0.943831  3.00252  3.58912 1.12525
   24 6367.246   0.505812 5066.67 1469.56 36.5367 0.898252  3.60899  3.82267 1.10226
   25 6366.830   0.507754 5062.81 1446.16 36.0801 0.904813  3.76935  3.83498 1.09847
   26 6366.787   0.508582 5171.86 1499.86 33.9846 0.886730  4.27257  3.98438 1.07943
   27 6366.323   0.508449 5171.66 1479.90 33.6643 0.897805  4.53406  4.01728 1.06882
   28 6366.238   0.506238 5044.50 1378.48 34.3258 0.929227  4.56587  3.91769 1.05650
   29 6366.031   0.505804 5038.48 1386.21 33.5577 0.922366  4.71820  3.95480 1.05573
   30 6365.730   0.506896 4992.96 1372.69 32.1973 0.912423  5.12442  4.01130 1.05067
   31 6365.623   0.507058 4976.41 1381.24 32.1079 0.908292  5.10362  4.00961 1.06034
   32 6365.610   0.507249 4952.50 1390.58 32.0792 0.903496  5.05247  4.00381 1.07357
