
 WorkFlow
Start 2024-09-04 20:01:34  Run : 1.16666666666667 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV    tvKa
    1 7799.993   0.715950 1321.91 1185.820 17.1502 1.16477
    2 7785.335   0.643536 1332.50 1192.510 16.7944 1.17524
    3 7772.151   0.570809 1336.35 1196.060 15.9086 1.17839
    4 7767.869   0.434285 1346.72 1279.200 12.8288 1.22034
    5 7756.016   0.508856 1379.99 1289.950 13.6228 1.20990
    6 7749.237   0.512267 1387.47 1369.430 13.4992 1.19561
    7 7741.992   0.507388 1483.67 1697.030 12.6414 1.10160
    8 7736.527   0.505702 1438.54 1544.460 13.4306 1.14016
    9 7735.438   0.503516 1458.83 1592.780 13.1836 1.13686
   10 7735.407   0.502564 1463.34 1603.180 13.1423 1.13375
   11 7735.407   0.502530 1463.28 1603.400 13.1412 1.13361
   12 7735.405   0.501797 1461.22 1604.380 13.1134 1.13062
   13 7735.402   0.501457 1462.37 1603.700 13.0865 1.12992
   14 7735.402   0.500832 1462.98 1602.350 13.0564 1.12923
   15 7735.393   0.500035 1464.25 1600.370 13.0433 1.12840
   16 7735.348   0.501063 1461.15 1604.560 13.0926 1.13784
   17 7735.275   0.501838 1460.78 1608.120 13.1704 1.14160
   18 7735.072   0.503467 1461.19 1620.730 13.2713 1.14850
   19 7734.872   0.504066 1465.29 1635.410 13.2864 1.14867
   20 7734.729   0.503232 1471.39 1644.480 13.2019 1.14164
   21 7734.621   0.501770 1477.18 1645.640 13.0738 1.13304
   22 7734.573   0.501283 1481.03 1640.840 13.0089 1.12695
   23 7734.549   0.501652 1481.67 1632.910 13.0101 1.12611
   24 7734.521   0.502651 1481.45 1620.140 13.0330 1.12808
   25 7734.492   0.503793 1478.91 1602.810 13.0770 1.13244
   26 7734.435   0.505231 1473.17 1573.710 13.1377 1.13969
   27 7734.281   0.508206 1456.24 1492.690 13.2581 1.15582
   28 7734.061   0.510403 1430.81 1393.410 13.3556 1.17228
   29 7733.582   0.512324 1370.02 1192.090 13.4794 1.19783
   30 7733.090   0.510379 1317.13 1060.520 13.4823 1.20379
   31 7732.686   0.504952 1290.24 1017.820 13.3536 1.17999
   32 7732.554   0.501864 1276.89  980.717 13.2457 1.15756
   33 7732.491   0.501285 1284.38 1013.670 13.2025 1.14780
   34 7732.337   0.501467 1279.19 1008.720 13.1840 1.14125
   35 7732.143   0.501283 1268.92  985.781 13.1899 1.13798
   36 7731.924   0.501214 1267.63  986.691 13.2051 1.13743
   37 7731.713   0.501093 1268.28  993.932 13.2135 1.13695
   38 7731.207   0.502167 1294.14 1077.460 13.3321 1.15350
   39 7731.196   0.502657 1303.79 1103.010 13.3468 1.16194
   40 7731.158   0.502156 1303.32 1104.480 13.3109 1.15877
   41 7731.140   0.501841 1304.37 1107.200 13.2882 1.15661
   42 7731.092   0.501219 1310.44 1121.880 13.2385 1.15237
   43 7731.045   0.501088 1321.59 1148.340 13.2074 1.14976
   44 7730.996   0.501518 1333.41 1176.340 13.1989 1.14940
   45 7730.946   0.502267 1342.31 1195.180 13.2176 1.15063
   46 7730.896   0.502897 1346.06 1204.120 13.2519 1.15421
   47 7730.659   0.505052 1355.30 1226.400 13.3919 1.16642
   48 7730.273   0.507268 1361.27 1240.440 13.5142 1.17654
   49 7729.633   0.508945 1359.13 1233.100 13.6024 1.18355
   50 7729.112   0.507322 1340.26 1181.030 13.5131 1.17539
   51 7728.828   0.503414 1313.28 1106.480 13.3006 1.15863
   52 7728.818   0.502512 1313.66 1108.070 13.2499 1.15502
