
 WorkFlow
Start 2024-10-19 13:48:03  Run : 24.2333333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa         K12     K21    dVdWT
    1 6531.764   0.575191 6975.44 2157.640 53.9949 1.133010 2.054220000 2.95716 1.137100
    2 6512.753   0.552419 7150.34 1930.680 49.2089 1.121580 1.970790000 3.08724 1.132580
    3 6501.057   0.546399 6760.49 2035.220 44.7492 1.102880 1.898670000 3.21439 1.126740
    4 6497.865   0.506012 6404.09 2016.160 43.5570 1.047240 1.876840000 3.26679 1.119410
    5 6494.414   0.517882 6110.81 1916.860 43.6418 1.006090 1.879020000 3.27922 1.112590
    6 6487.430   0.537275 5287.14 1572.210 44.2139 0.971105 1.915650000 3.29022 1.096140
    7 6481.546   0.546337 4501.61 1240.210 45.2593 1.017600 1.972110000 3.23220 1.074820
    8 6481.266   0.551207 3346.58  787.611 47.7028 1.168000 2.109330000 3.13057 1.047310
    9 6477.854   0.540944 3947.25 1007.250 46.6124 1.156060 2.058440000 3.15336 1.059270
   10 6477.581   0.527931 4136.96 1099.950 45.8503 1.148420 2.034990000 3.18745 1.059630
   11 6477.402   0.521233 4104.17 1086.350 45.4200 1.149200 2.025820000 3.18649 1.049740
   12 6477.080   0.525720 4038.97 1051.280 45.6078 1.170700 2.040180000 3.15731 1.038390
   13 6476.904   0.531436 3874.73  983.291 45.8703 1.206300 2.063910000 3.09680 1.013590
   14 6476.743   0.530884 3904.43  997.006 46.0727 1.202560 2.065020000 3.08971 1.000490
   15 6476.629   0.528874 4059.62 1053.830 45.4619 1.188110 2.053090000 3.08678 0.995239
   16 6476.413   0.529084 3976.37 1024.080 45.6737 1.199600 2.068990000 3.05640 0.967874
   17 6476.166   0.529182 3928.01 1003.620 45.6467 1.203380 2.086010000 3.02256 0.927920
   18 6476.082   0.530422 3829.63  965.074 45.4687 1.213940 2.116370000 2.95617 0.859664
   19 6475.795   0.529332 3800.93  959.524 44.9769 1.191630 2.132660000 2.92291 0.798510
   20 6475.398   0.528773 3852.12  983.744 44.6808 1.163030 2.122750000 2.95159 0.802297
   21 6475.204   0.528364 3937.08 1018.930 44.4016 1.124060 2.107780000 3.01086 0.828221
   22 6475.102   0.528573 3970.06 1024.570 44.5431 1.130270 2.112290000 2.99517 0.825222
   23 6475.026   0.531581 3933.25 1003.920 44.8357 1.143650 2.125880000 2.97289 0.795469
   24 6474.727   0.530640 3951.41 1019.770 44.7383 1.140550 2.153470000 2.94030 0.751449
   25 6474.115   0.528165 4049.80 1042.690 44.1747 1.129170 2.175340000 2.93691 0.707550
   26 6473.077   0.525563 4269.05 1130.130 43.1334 1.101520 2.203630000 2.93946 0.638417
   27 6472.380   0.525205 4648.68 1282.300 41.4420 1.050020 2.280450000 2.91668 0.499978
   28 6472.219   0.525623 4675.86 1289.230 41.4117 1.059430 2.302230000 2.88359 0.477675
   29 6472.218   0.525565 4715.08 1304.360 41.1720 1.053480 2.315440000 2.87361 0.458176
   30 6471.942   0.527819 4606.08 1267.620 41.1753 1.060780 2.302900000 2.88391 0.477649
   31 6471.422   0.532139 4386.85 1192.750 40.9160 1.073410 2.296520000 2.89659 0.497970
   32 6471.050   0.531721 4310.80 1165.260 40.7177 1.077530 2.308660000 2.89393 0.492369
   33 6470.204   0.528210 3950.40 1033.400 39.8022 1.091480 2.412780000 2.83607 0.429451
   34 6469.861   0.527298 4139.23 1097.730 40.0004 1.078430 2.412700000 2.83455 0.415843
   35 6469.635   0.526518 4341.23 1164.610 40.1606 1.062870 2.436260000 2.82066 0.383648
   36 6469.469   0.527114 4347.41 1162.150 40.5939 1.066570 2.425670000 2.82544 0.396090
   37 6468.596   0.530917 4411.42 1156.530 42.9838 1.088770 2.377590000 2.85997 0.448984
   38 6467.430   0.533432 4356.53 1127.610 44.7858 1.122630 2.307280000 2.93587 0.521387
   39 6463.905   0.537757 4219.87 1077.900 49.6762 1.218980 2.067850000 3.25398 0.774508
   40 6461.383   0.535114 4063.55 1039.200 52.1139 1.285230 1.905380000 3.53994 0.958272
   41 6459.931   0.527114 4145.84 1091.100 53.9844 1.326450 1.741160000 3.93846 1.090180
   42 6458.276   0.524804 4261.28 1140.360 50.5701 1.261340 1.842750000 3.79037 0.912628
   43 6457.674   0.522491 4464.99 1212.630 49.3139 1.218000 1.874700000 3.78978 0.819944
   44 6457.408   0.521999 4581.88 1250.630 49.0982 1.198720 1.892330000 3.78655 0.773275
   45 6456.988   0.521963 4662.22 1274.530 48.9682 1.182380 1.932930000 3.77171 0.697423
   46 6456.681   0.523820 4625.08 1255.870 49.3667 1.189490 1.956540000 3.75135 0.665934
   47 6456.528   0.525026 4542.67 1227.160 49.4147 1.198600 1.979440000 3.74484 0.637182
   48 6456.296   0.526736 4343.99 1156.380 50.1872 1.230870 1.960690000 3.78504 0.677909
   49 6456.057   0.527064 4327.12 1147.280 50.6342 1.239940 1.934940000 3.82588 0.716404
   50 6455.130   0.526911 4307.17 1124.630 53.7328 1.285010 1.763870000 4.11899 0.998928
   51 6454.652   0.524373 4312.84 1136.360 53.2672 1.277580 1.763060000 4.17659 0.980679
   52 6454.002   0.520667 4371.74 1167.700 52.0504 1.248430 1.795310000 4.26400 0.902327
   53 6453.764   0.519693 4451.91 1197.680 52.6193 1.246670 1.762910000 4.41568 0.939802
   54 6453.688   0.521033 4489.72 1208.290 52.8801 1.247900 1.765200000 4.42617 0.934996
   55 6453.653   0.521816 4511.24 1213.230 53.1229 1.252330 1.763270000 4.41095 0.933707
   56 6453.601   0.523171 4533.24 1216.830 53.5286 1.262950 1.763850000 4.39546 0.915639
   57 6453.577   0.524109 4556.86 1221.860 53.5412 1.267380 1.779220000 4.34842 0.871063
   58 6453.480   0.524180 4531.21 1212.400 53.5120 1.270320 1.774470000 4.33912 0.854596
   59 6452.792   0.521778 4424.49 1178.770 53.6174 1.288080 1.650410000 4.41407 0.687903
   60 6452.500   0.521100 4316.47 1142.160 55.0014 1.307810 1.547970000 4.50289 0.645325
   61 6452.150   0.521445 4264.52 1121.740 56.1944 1.299090 1.516160000 4.56080 0.694137
   62 6451.987   0.521803 4240.55 1112.170 56.7159 1.291750 1.492380000 4.58560 0.735817
   63 6451.855   0.521706 4178.93 1087.850 57.9874 1.290480 1.421130000 4.69275 0.803667
   64 6451.786   0.521153 4189.73 1091.930 58.0905 1.295890 1.402850000 4.71078 0.789064
   65 6451.742   0.520205 4224.70 1106.390 58.3141 1.302030 1.367300000 4.76247 0.771079
   66 6451.703   0.520966 4237.89 1113.200 58.2948 1.304690 1.358270000 4.75389 0.754955
   67 6451.631   0.524096 4279.54 1140.430 59.2329 1.326850 1.229830000 4.77131 0.691252
   68 6451.475   0.523401 4242.23 1122.970 59.3188 1.325310 1.243040000 4.77310 0.722525
   69 6451.262   0.521196 4159.01 1079.030 59.3540 1.315200 1.275720000 4.73579 0.797110
   70 6451.103   0.521966 4166.32 1084.780 59.9952 1.323180 1.210830000 4.75294 0.781030
