Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,CMultStdev,0.00041275325,,,,,,,,,,,,,,,,
WorkFlow,tvVmax,-2.9901615,114987.54,,,,,,,,,,,,,,,
WorkFlow,tvKm,14.061935,-545736.34,2963047,,,,,,,,,,,,,,
WorkFlow,tvV,-0.022740258,222.87777,-1248.2925,12.417981,,,,,,,,,,,,,
WorkFlow,tvKa,0.00017330704,-3.2374434,-4.5586694,0.12483085,0.0072430565,,,,,,,,,,,,
WorkFlow,K12,0.00063672934,-22.785793,123.31026,-0.069105488,-0.00023620714,0.0054111173,,,,,,,,,,,
WorkFlow,K21,0.0026821034,-99.529849,538.54885,-0.26522603,0.00026648611,0.02344112,0.10421609,,,,,,,,,,
WorkFlow,K13,3.5321813e-05,-1.155297,6.7639913,-0.0069868592,-0.00018741398,0.0003274659,0.0011486803,5.3812579e-05,,,,,,,,,
WorkFlow,K31,4.8174961e-05,-0.20005348,0.29126389,0.0042273159,0.00013268403,-3.2449384e-05,-0.00021512821,-2.3672306e-06,4.6922021e-05,,,,,,,,
WorkFlow,dVdWT,0.0011493976,-26.177968,135.81408,-0.039547879,0.00021585542,0.0054613653,0.024187351,0.00024540299,0.00011193385,0.021590133,,,,,,,
WorkFlow,stdev0,0.0005543146,-101.51115,649.36578,-0.49399208,-0.00096939016,0.032040901,0.15208611,0.0016231053,-0.0023321419,0.020667476,1.0918501,,,,,,
WorkFlow,nVmax-nVmax,0.0011144439,-44.064819,258.50259,-0.08066069,-0.0016115026,0.010472024,0.045380315,0.00066048045,1.4773666e-05,0.011473947,0.054152796,0.026350256,,,,,
WorkFlow,nKm-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
WorkFlow,nKm-nKm,-1.7436861e-05,1.0617824,-16.930616,-0.026933756,0.00062748702,-0.00078513333,-0.0026157762,-0.00010939329,1.904319e-05,-0.001615996,0.017004322,-0.0018791193,0,0.0044807459,,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WorkFlow,nV-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,0.00088990061,-52.520938,248.40803,-0.12008286,0.0007724993,0.010769776,0.047781724,0.00058329322,-0.00023880817,0.011180999,0.061070014,0.01987537,0,-0.00025985797,0,0,0.031571741
