Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,CMultStdev,0.00058499894,,,,,,,,,,,,,,,,
WorkFlow,tvVmax,25.437503,3096175.9,,,,,,,,,,,,,,,
WorkFlow,tvKm,109.13519,12779739,53618209,,,,,,,,,,,,,,
WorkFlow,tvV,-0.077550739,-7714.7234,-31218.346,28.243506,,,,,,,,,,,,,
WorkFlow,tvKa,-0.0033295999,-390.73321,-1600.6559,1.0765599,0.054031476,,,,,,,,,,,,
WorkFlow,K12,-0.0053531917,-608.45598,-2502.2746,1.6692383,0.080381399,0.13375512,,,,,,,,,,,
WorkFlow,K21,-0.078145447,-8874.7042,-36432.175,24.428749,1.1728276,1.9419966,28.245031,,,,,,,,,,
WorkFlow,K13,5.6379112e-05,6.505895,22.485824,-0.026923208,-0.0010496317,-0.0018926451,-0.028333225,7.7124524e-05,,,,,,,,,
WorkFlow,K31,-2.7024661e-06,-4.5917509,-18.05411,0.014401254,0.00058282783,0.00078164443,0.011489466,-7.7603503e-06,3.4656984e-05,,,,,,,,
WorkFlow,dVdWT,-0.0031747851,-384.28979,-1571.6212,1.0787399,0.051312701,0.085743129,1.2449765,-0.0012862422,0.00047855475,0.059072999,,,,,,,
WorkFlow,stdev0,-0.13374571,-15162.901,-62136.397,42.440107,2.0175779,3.350056,48.703159,-0.049752173,0.019424169,2.1543173,84.117699,,,,,,
WorkFlow,nVmax-nVmax,0.0028837498,353.91774,1494.6883,-0.80996229,-0.043113184,-0.065310325,-0.95134914,0.00041351846,-0.00055052703,-0.040707083,-1.6102996,0.044233982,,,,,
WorkFlow,nKm-nVmax,-0.00010657987,-18.036594,-66.293078,0.03969249,0.0024758982,0.0036870575,0.054257187,-7.6423637e-05,5.1070286e-06,0.0022245117,0.093091847,-0.001447328,0.00043037237,,,,
WorkFlow,nKm-nKm,0.00012796062,2.7132907,26.258218,-0.057911185,-0.0010945442,-0.0042095966,-0.057886226,9.3742273e-05,-3.1451889e-05,-0.0038027989,-0.10935603,-5.1867664e-05,0.00069489709,0.0035188729,,,
WorkFlow,nV-nVmax,-0.0017117249,-198.56239,-829.88216,0.48827326,0.025069365,0.039658524,0.57672936,-0.00039059989,0.0002552595,0.02504307,0.98539827,-0.023264749,0.0010278407,-0.00045147969,0.013068437,,
WorkFlow,nV-nKm,-0.00046010607,-53.67257,-213.87482,0.13107433,0.0066779534,0.010581202,0.15456689,-0.00013897594,3.8631373e-05,0.0066186049,0.26481167,-0.0062576898,0.00035755474,0.00049769667,0.00358357,0.0014896665,
WorkFlow,nV-nV,0.0021613697,253.85504,1068.5394,-0.68740628,-0.033114035,-0.053976224,-0.78408273,0.00064431932,-0.00041809475,-0.034185572,-1.3451504,0.02871821,-0.0012089338,0.0021922576,-0.016643334,-0.0037699904,0.02360798
