
 WorkFlow
Start 2024-09-22 19:50:33  Run : 7.08333333333333 nSubj: 60 nObs : 480
 Iter      -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa      K12     K21       K13        K31   dVdWT
    1 15536.759   1.001260 3998.41 4001.54 49.9530 1.19999 1.950720 3.02174 0.1214420 0.00504857 1.09978
    2 13080.672   1.001620 3997.95 4001.94 49.9366 1.19990 1.936370 3.02793 0.1258000 0.01384790 1.09970
    3 12422.811   1.002290 3997.11 4002.68 49.9033 1.19990 1.908200 3.04014 0.1362360 0.01976760 1.09954
    4 11844.163   1.003510 3995.57 4004.05 49.8435 1.19989 1.856120 3.06279 0.1567520 0.02394620 1.09925
    5  9819.644   1.008350 3989.65 4009.64 49.6118 1.19989 1.653190 3.15376 0.2517100 0.03337160 1.09824
    6  7240.111   1.018960 3976.63 4021.70 49.1135 1.19976 1.233630 3.35872 0.5367340 0.05570080 1.09595
    7  7103.242   1.015530 3980.88 4017.75 49.2735 1.19975 1.366350 3.29123 0.4316860 0.04635870 1.09668
    8  6995.768   1.017060 3979.01 4019.49 49.1997 1.19968 1.306100 3.32145 0.4763140 0.05066960 1.09634
    9  6987.932   1.016840 3979.28 4019.24 49.2075 1.19961 1.313910 3.31739 0.4689340 0.05057280 1.09637
   10  6975.951   1.016600 3979.59 4018.94 49.2112 1.19940 1.321290 3.31335 0.4591250 0.05151060 1.09637
   11  6950.831   1.016230 3980.06 4018.47 49.2048 1.19873 1.329030 3.30849 0.4409990 0.05542470 1.09630
   12  6913.694   1.016070 3980.28 4018.23 49.1775 1.19776 1.325110 3.30907 0.4264310 0.06238400 1.09610
   13  6806.749   1.016280 3980.06 4018.34 49.0802 1.19533 1.290700 3.32296 0.4089870 0.08323130 1.09549
   14  6736.880   1.017310 3978.83 4019.32 48.8708 1.19085 1.201800 3.36229 0.3977170 0.13132100 1.09423
   15  6677.728   1.016840 3979.39 4018.79 48.8781 1.19050 1.213640 3.35557 0.3830460 0.13326200 1.09424
   16  6661.936   1.016810 3979.39 4018.70 48.7993 1.18836 1.187900 3.36576 0.3660040 0.15803200 1.09373
   17  6656.017   1.016900 3979.19 4018.73 48.6183 1.18365 1.123860 3.39236 0.3357350 0.22039800 1.09259
   18  6655.811   1.016710 3979.32 4018.55 48.5588 1.18190 1.104800 3.39959 0.3213200 0.24509400 1.09220
   19  6654.408   1.016740 3979.31 4018.61 48.6042 1.18317 1.118920 3.39336 0.3316150 0.22675200 1.09249
   20  6654.408   1.016740 3979.31 4018.61 48.6042 1.18317 1.118920 3.39336 0.3316150 0.22675200 1.09249
   21  6652.875   1.016640 3979.37 4018.54 48.6052 1.18315 1.120650 3.39244 0.3301710 0.22674500 1.09250
   22  6652.818   1.016570 3979.42 4018.51 48.6061 1.18313 1.119950 3.39244 0.3300180 0.22668900 1.09250
   23  6652.797   1.016170 3979.65 4018.33 48.6106 1.18304 1.117120 3.39215 0.3288440 0.22641700 1.09254
   24  6652.797   1.016160 3979.65 4018.32 48.6107 1.18303 1.117080 3.39215 0.3288240 0.22641300 1.09254
   25  6652.696   1.016030 3979.72 4018.25 48.6121 1.18300 1.116980 3.39176 0.3280570 0.22634300 1.09254
   26  6652.688   1.015660 3979.91 4018.05 48.6161 1.18292 1.115110 3.39122 0.3266230 0.22609700 1.09255
   27  6652.668   1.014140 3980.74 4017.29 48.6331 1.18256 1.106900 3.38925 0.3210550 0.22508100 1.09264
   28  6652.657   1.012370 3981.69 4016.38 48.6527 1.18214 1.097250 3.38687 0.3148700 0.22390500 1.09274
   29  6652.450   1.001800 3987.40 4010.88 48.7695 1.17965 1.040320 3.37153 0.2808400 0.21702700 1.09328
