
 WorkFlow
Start 2024-10-19 14:57:24  Run : 4.08333333333333 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev   tvVmax     tvKm     tvV     tvKa
    1 7818.693 1.51172   0.948722  4122.37 3831.610 51.7943 1.194100
    2 7713.922 1.41499   0.905846  4261.83 3651.600 52.9784 1.188750
    3 7548.367 1.31071   0.872180  4410.25 3474.310 53.4318 1.182460
    4 7332.361 1.19726   0.847987  4544.68 3324.840 53.1864 1.176520
    5 7210.201 1.41620   0.317952  7402.70 3150.860 49.3656 1.114380
    6 7068.471 1.48315   0.362001 10705.90 3057.420 38.6713 1.004110
    7 7044.536 1.41860   0.362310 11121.10 3371.890 38.6645 0.915214
    8 6988.664 1.16189   0.463773 19144.20 7797.590 44.4081 0.756590
    9 6988.519 1.15570   0.461919 19141.40 7837.930 44.1151 0.773039
   10 6986.169 1.15685   0.458857 19347.90 7775.010 46.3047 0.782471
   11 6984.776 1.16840   0.451772 19291.50 7753.710 44.2485 0.736995
   12 6948.607 1.29509   0.477470 15405.10 5972.510 41.8736 0.911657
   13 6932.514 1.27657   0.476565 16166.00 5988.360 41.9196 0.898048
   14 6924.003 1.28319   0.479181 16723.30 5648.420 41.2210 0.871826
   15 6919.969 1.30582   0.484626 16497.30 5195.290 40.3735 0.854866
   16 6915.637 1.34356   0.495765 15582.00 4509.360 39.4963 0.835528
   17 6913.552 1.35957   0.496906 14489.30 4131.780 39.4051 0.833674
   18 6908.816 1.40312   0.488089 10753.30 2977.140 39.2492 0.840771
   19 6905.958 1.42984   0.481141  8228.63 2288.480 39.4590 0.857339
   20 6903.796 1.44911   0.476995  6055.88 1801.010 40.5617 0.892783
   21 6899.289 1.44980   0.480856  6357.53 1883.620 41.2584 0.898249
   22 6894.777 1.46911   0.482381  5939.45 1690.340 41.8724 0.907015
   23 6889.783 1.50129   0.485770  4939.44 1387.700 43.2821 0.935762
   24 6888.866 1.53271   0.491713  4520.48 1203.470 43.3286 0.943480
   25 6887.726 1.53556   0.496325  4709.71 1277.520 43.1581 0.943508
   26 6886.652 1.55245   0.497838  4393.26 1188.070 43.0460 0.949657
   27 6885.808 1.57369   0.497182  4426.16 1153.880 43.1451 0.954004
   28 6884.951 1.60423   0.492219  4153.97 1061.700 44.0226 0.972646
   29 6884.656 1.64375   0.485983  3783.54  949.391 44.7195 0.991737
   30 6884.428 1.64382   0.484699  3928.90  986.980 44.5676 0.987292
   31 6884.320 1.64864   0.486791  3904.02  976.407 44.4474 0.986588
   32 6884.290 1.64988   0.488984  3921.37  978.688 44.3599 0.985896
   33 6884.271 1.65342   0.489147  3893.35  970.361 44.3926 0.988700
   34 6884.259 1.65992   0.489229  3840.71  954.085 44.4583 0.993514
   35 6884.258 1.66462   0.488920  3794.13  939.600 44.4575 0.997229
   36 6884.251 1.66165   0.488999  3821.59  947.650 44.4188 0.994887
