Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV,nKa-nVmax,nKa-nKm,nKa-nV,nKa-nKa
WorkFlow,CMultStdev,0.00045313926,,,,,,,,,,,,,,,
WorkFlow,tvVmax,1.0300457,352936.34,,,,,,,,,,,,,,
WorkFlow,tvKm,0.76008809,143085.63,71211.8,,,,,,,,,,,,,
WorkFlow,tvV,-0.010191919,-1043.445,-540.1302,9.3953623,,,,,,,,,,,,
WorkFlow,tvKa,-0.00075888969,-13.386768,-11.555954,0.23151718,0.013719321,,,,,,,,,,,
WorkFlow,stdev0,-0.00026656337,-6.3861967,-2.6015627,0.023305013,-0.00071755375,0.01258539,,,,,,,,,,
WorkFlow,nVmax-nVmax,3.6213613e-05,-2.1765278,-1.7771546,0.01235948,0.00032249372,6.1223168e-05,0.00090661258,,,,,,,,,
WorkFlow,nKm-nVmax,0,0,0,0,0,0,0,0,,,,,,,,
WorkFlow,nKm-nKm,9.0496564e-06,5.0329333,2.0513386,0.0048699437,-3.6714836e-05,-0.00021385892,-2.5164042e-05,0,0.00087712146,,,,,,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,,,,,,
WorkFlow,nV-nKm,0,0,0,0,0,0,0,0,0,0,0,,,,,
WorkFlow,nV-nV,-0.00037711579,2.6791987,-0.70737176,0.021851011,0.0024684938,-0.00078919563,9.4433576e-05,0,-0.00030192965,0,0,0.0052925673,,,,
WorkFlow,nKa-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
WorkFlow,nKa-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WorkFlow,nKa-nV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nKa-nKa,-0.0001819176,-10.243774,-3.6191251,0.04650837,0.00093581462,-0.0022364043,-0.00010463884,0,0.00084428903,0,0,-0.0010450341,0,0,0,0.012051878
