
 WorkFlow
Start 2024-09-09 06:48:48  Run : 7.18333333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa
    1 6654.024   0.463590 6387.57 2289.530 48.4392 0.961252
    2 6653.950   0.463332 6389.47 2288.530 48.4402 0.961010
    3 6653.139   0.473391 6310.65 2318.290 48.7349 0.965716
    4 6602.222   0.679759 5681.39 1709.670 49.5063 0.978169
    5 6543.954   0.529856 5021.45 1119.180 50.3583 1.154000
    6 6534.983   0.471024 4715.92  964.421 48.5421 1.161000
    7 6521.946   0.491055 4629.15 1054.380 45.3594 1.066660
    8 6516.992   0.526408 4548.43 1158.540 41.9878 0.986486
    9 6516.365   0.519334 4496.25 1220.280 41.4327 0.969427
   10 6514.933   0.483684 4787.97 1297.560 42.8489 1.027500
   11 6513.425   0.481334 4976.98 1254.520 44.5454 1.097890
   12 6513.425   0.481334 4976.98 1254.520 44.5454 1.097890
   13 6419.525   0.485120 4980.59 1259.760 46.2170 1.092200
   14 6419.510   0.485160 4980.27 1259.760 46.2102 1.092160
   15 6415.170   0.505335 4803.50 1258.470 42.4691 1.065580
   16 6410.311   0.496446 4610.34 1266.250 41.4350 1.009420
   17 6404.037   0.460838 3776.98 1287.900 38.5609 0.687249
   18 6389.211   0.481019 4360.50 1265.370 40.3369 0.875854
   19 6380.496   0.489841 4551.83 1252.830 40.8787 0.900323
   20 6378.740   0.496744 4597.50 1264.450 42.1829 0.937509
   21 6377.870   0.496664 4539.71 1266.810 42.0489 0.927105
   22 6377.634   0.494841 4543.80 1263.460 41.9141 0.923160
   23 6376.861   0.494694 4517.31 1264.940 42.0349 0.921416
   24 6376.795   0.494950 4513.47 1257.650 41.5717 0.914185
   25 6376.708   0.495518 4501.15 1257.250 41.6139 0.915054
   26 6376.671   0.496083 4496.71 1256.130 41.7594 0.919590
   27 6376.667   0.495984 4498.17 1253.520 41.7116 0.918133
   28 6376.666   0.496017 4498.60 1254.180 41.7285 0.918532
   29 6376.662   0.495876 4495.19 1252.300 41.7596 0.915229
