
 WorkFlow
Start 2024-09-22 20:20:39  Run : 9.15 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa
    1 7433.763 1.50261   0.956173 4133.36 3828.030 50.0717 1.187270
    2 7346.786 1.39660   0.903088 4236.70 3704.570 50.1075 1.177500
    3 7277.815 1.31658   0.842701 4376.38 3610.390 50.1822 1.176060
    4 7224.496 1.27501   0.777422 4539.37 3510.420 50.1754 1.181480
    5 7116.883 1.24025   0.598259 5045.09 3154.950 49.3819 1.202430
    6 7101.599 1.31833   0.382186 6369.61 2204.870 46.1503 1.235860
    7 7038.996 1.31614   0.546985 6548.24 2058.020 45.9665 1.199860
    8 7029.079 1.44970   0.529921 6740.96 1877.090 46.5145 1.149350
    9 7025.315 1.49524   0.519119 6893.46 1601.700 45.8157 1.083550
   10 7021.071 1.50595   0.515501 6613.29 1584.030 45.6941 1.028290
   11 7012.988 1.57566   0.499206 5099.62 1344.170 42.7389 0.809306
   12 7004.548 1.57076   0.506304 5082.20 1342.970 42.1706 0.917141
   13 6993.576 1.64906   0.503409 4457.34 1029.470 40.2987 0.988657
   14 6988.799 1.72782   0.500098 3415.60  791.685 39.8252 1.068150
   15 6986.090 1.75014   0.500506 3532.98  755.467 42.3330 1.095600
   16 6984.535 1.75315   0.504281 3577.31  791.392 45.2744 1.128470
   17 6983.860 1.77708   0.505459 3464.81  740.664 45.5466 1.143550
   18 6982.626 1.81156   0.510072 3412.98  697.216 45.8274 1.161060
   19 6980.927 1.86778   0.514880 3252.15  641.517 45.5704 1.177300
   20 6979.851 1.87815   0.513207 3253.46  654.042 44.7470 1.158160
   21 6979.221 1.87118   0.507183 3288.21  676.409 44.5369 1.136190
   22 6978.814 1.85582   0.501068 3321.34  696.269 44.3534 1.112770
   23 6978.474 1.83730   0.498463 3311.68  702.520 44.3726 1.102390
   24 6978.015 1.81115   0.499206 3293.23  701.992 44.8320 1.104200
   25 6977.784 1.80656   0.502307 3243.73  689.100 45.0382 1.114610
   26 6977.564 1.80543   0.507005 3223.43  682.081 45.2738 1.132830
   27 6977.377 1.80503   0.508798 3242.17  686.162 45.1113 1.137540
   28 6977.182 1.80618   0.508136 3266.83  694.581 44.8513 1.137040
   29 6977.089 1.81443   0.505448 3255.95  693.118 44.6368 1.130620
   30 6977.076 1.82643   0.503552 3235.08  684.606 44.5573 1.123420
   31 6977.039 1.82572   0.503760 3239.19  684.387 44.6679 1.118990
   32 6977.036 1.82731   0.505256 3226.88  678.723 45.1593 1.116060
   33 6977.009 1.82495   0.505372 3230.59  681.715 44.9689 1.116210
   34 6976.984 1.81375   0.506027 3273.03  696.904 44.5979 1.119430
   35 6976.963 1.81719   0.505336 3262.93  692.338 44.7037 1.116060
   36 6976.958 1.81953   0.504802 3256.09  689.246 44.7774 1.113670
   37 6976.948 1.81710   0.504728 3258.15  690.711 44.7542 1.115840
   38 6976.934 1.81021   0.504499 3265.79  695.495 44.6436 1.119120
   39 6976.930 1.80944   0.504388 3264.16  695.377 44.6429 1.120090
   40 6976.921 1.80954   0.504425 3273.63  696.993 44.6923 1.119450
   41 6976.920 1.81098   0.504500 3272.02  695.902 44.7304 1.118240
   42 6976.919 1.81211   0.504972 3271.61  695.361 44.8041 1.116670
   43 6976.919 1.81214   0.505029 3271.74  695.419 44.8065 1.116410
   44 6976.919 1.81215   0.505044 3271.69  695.420 44.8071 1.116350
   45 6976.912 1.81003   0.504909 3273.70  697.256 44.7381 1.115990
   46 6976.907 1.80916   0.504790 3274.44  698.366 44.6585 1.113710
   47 6976.904 1.80953   0.504696 3274.11  698.025 44.6343 1.112450
   48 6976.903 1.80999   0.504658 3272.95  697.360 44.6384 1.112100
   49 6976.903 1.81010   0.504662 3272.42  697.011 44.6521 1.112480
   50 6976.902 1.80978   0.504689 3273.24  697.203 44.6703 1.113420
   51 6976.901 1.80886   0.504744 3276.42  698.294 44.6861 1.114550
   52 6976.900 1.80710   0.504906 3282.90  700.532 44.6984 1.115520
