Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,GAMMA,0.039630726,,,,,,,,,,,,
WorkFlow,CMultStdev,0.00048758685,0.00044186854,,,,,,,,,,,
WorkFlow,tvVmax,-140.20225,-4.0689422,669550.14,,,,,,,,,,
WorkFlow,tvKm,-44.672265,-1.0978452,195556.2,59774.593,,,,,,,,,
WorkFlow,tvV,0.14356926,0.0016337887,-792.13546,-241.55093,8.3919084,,,,,,,,
WorkFlow,tvKa,0.0097738855,0.00048103924,-49.26843,-15.357086,0.17859829,0.012545941,,,,,,,
WorkFlow,stdev0,0.0081597006,-0.00034354307,-10.567939,-4.3855752,0.05064665,-0.0027341357,0.011366534,,,,,,
WorkFlow,nVmax-nVmax,-0.018494753,-0.00060420757,88.800893,26.2993,-0.13011379,-0.0082489307,0.00012438332,0.01444886,,,,,
WorkFlow,nKm-nVmax,-0.0030693393,1.1609606e-05,12.043337,3.509498,0.0040840539,-0.00065168705,-0.00029215279,0.0013247055,0.001020522,,,,
WorkFlow,nKm-nKm,0.0004305958,0.0001163329,-5.0371464,-1.5652947,0.0094260656,0.0013948051,-0.0021163274,-0.001087642,-2.8010173e-05,0.0017472628,,,
WorkFlow,nV-nVmax,-0.016816967,-0.00052777588,82.433337,24.097494,-0.12108208,-0.0069443226,-7.898969e-05,0.013426667,0.00093577094,-0.0010009611,0.013447841,,
WorkFlow,nV-nKm,-0.00054793939,8.4931346e-05,-0.95715369,-0.287394,0.0059113773,0.00074737564,-0.0013759795,-0.00041274741,0.00067630453,0.00043188032,-0.00057143958,0.0011567991,
WorkFlow,nV-nV,-0.0089685934,-0.00030997519,49.223559,13.869137,-0.079318099,-0.0033444328,-0.00058025996,0.0086774763,0.00014758905,-0.00065646399,0.010033906,-0.00084435841,0.01079143
