
 WorkFlow
Start 2024-10-22 07:01:16  Run : 7.28333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm      tvV     tvKa     K12      K21
    1 7425.848 1.452360   0.869969 4177.50 3749.460 56.63450 1.182930 2.10382 2.853350
    2 7352.964 1.351490   0.827915 4297.06 3596.890 57.69210 1.201060 2.12661 2.811340
    3 7276.027 1.251410   0.788979 4423.39 3443.680 58.58610 1.218390 2.14567 2.775920
    4 7185.773 1.151830   0.753308 4555.03 3291.170 59.28330 1.233920 2.15979 2.748670
    5 7071.861 1.052870   0.720475 4691.03 3144.370 59.79330 1.246580 2.16830 2.731630
    6 6988.698 0.955498   0.689441 4827.97 3006.000 60.05750 1.257590 2.17133 2.724970
    7 6973.252 0.870305   0.692486 5170.47 2803.590 47.42400 1.349340 1.88964 3.162860
    8 6871.333 0.987031   0.595408 5269.13 2722.410 50.68130 1.415730 1.94875 3.051970
    9 6848.792 1.126070   0.480280 5685.10 2466.490 48.92580 1.503950 1.92696 3.053500
   10 6826.245 1.236110   0.493271 6038.72 2226.520 47.45780 1.517180 1.90014 3.092190
   11 6808.905 1.403860   0.487812 6576.87 1853.090 45.58030 1.526830 1.86331 3.149630
   12 6804.394 1.521810   0.508395 6893.90 1648.310 44.87800 1.473560 1.84010 3.208730
   13 6802.290 1.512310   0.517081 6822.88 1699.210 44.88160 1.420880 1.83300 3.239390
   14 6799.566 1.530770   0.514635 6776.52 1692.970 44.21690 1.321160 1.80532 3.317380
   15 6797.215 1.589140   0.504402 6740.50 1626.320 43.14520 1.127030 1.75425 3.468600
   16 6796.482 1.587430   0.501867 6747.80 1613.850 43.25490 1.175710 1.76428 3.435100
   17 6795.534 1.593630   0.499028 6713.34 1579.840 43.41420 1.201390 1.77187 3.409440
   18 6793.572 1.605140   0.495553 6542.11 1503.250 43.82220 1.245520 1.79035 3.344820
   19 6791.897 1.625640   0.495433 6327.41 1429.300 43.86260 1.254130 1.80151 3.306900
   20 6790.249 1.651320   0.497635 6007.21 1352.120 43.54460 1.239170 1.80975 3.277320
   21 6789.720 1.669820   0.499439 5819.42 1317.880 43.15280 1.219130 1.81196 3.268750
   22 6789.611 1.678200   0.500403 5741.88 1307.100 42.94850 1.210320 1.81399 3.262530
   23 6789.547 1.684670   0.500803 5663.39 1294.880 42.75850 1.204620 1.81706 3.249150
   24 6789.459 1.703330   0.501349 5366.79 1249.440 42.06040 1.187720 1.82815 3.181460
   25 6789.306 1.705940   0.502014 5403.92 1243.850 42.15110 1.188970 1.83069 3.183970
   26 6788.800 1.730630   0.504661 5257.47 1172.080 41.94990 1.183910 1.85982 3.116060
   27 6788.156 1.772780   0.506354 4821.02 1038.970 41.15640 1.169280 1.92298 2.967300
   28 6786.624 1.868010   0.507853 3661.09  757.286 38.86900 1.135290 2.09318 2.590380
   29 6785.409 1.913540   0.506253 3053.71  639.145 37.49140 1.123070 2.19614 2.380300
   30 6783.941 1.944000   0.495972 2470.90  579.701 35.40650 1.111900 2.30330 2.171320
   31 6782.877 1.976940   0.493438 2477.74  570.531 34.80220 1.084230 2.27747 2.204130
   32 6782.261 1.954220   0.495645 2814.04  638.991 35.58010 1.098530 2.21472 2.312420
   33 6781.935 1.987290   0.499259 2693.64  604.984 35.17270 1.095170 2.23800 2.247330
   34 6781.883 2.135800   0.504180 2256.89  490.626 33.15410 1.062710 2.32885 1.998670
   35 6781.251 2.108520   0.502942 2443.47  534.563 33.63560 1.064470 2.29160 2.067120
   36 6781.091 2.147040   0.501204 2405.10  522.122 33.12800 1.047640 2.30180 2.020410
   37 6781.060 2.247270   0.498807 2254.62  480.642 31.77190 1.007670 2.33833 1.882810
   38 6781.037 2.246890   0.499472 2271.76  484.398 31.74350 1.006070 2.33429 1.882840
   39 6781.007 2.220230   0.499917 2316.90  495.376 32.10520 1.015440 2.32240 1.915950
   40 6780.998 2.204340   0.500149 2347.02  503.707 32.24540 1.017530 2.31339 1.931680
   41 6780.994 2.197520   0.500140 2360.82  507.311 32.26910 1.017050 2.30910 1.933810
   42 6780.981 2.185260   0.500063 2386.54  513.996 32.20940 1.012780 2.29960 1.925800
   43 6780.949 2.168630   0.500009 2425.44  523.929 31.88130 0.998012 2.28139 1.885620
   44 6780.849 2.131420   0.499771 2515.04  547.005 30.64190 0.947531 2.23035 1.736830
   45 6780.777 2.040280   0.498986 2759.25  610.259 26.64440 0.789574 2.07875 1.288680
   46 6780.619 2.035620   0.497968 2724.94  603.593 27.85830 0.836689 2.10032 1.428280
   47 6780.442 2.085000   0.498890 2686.92  589.712 27.07410 0.815598 2.10099 1.366800
   48 6780.307 2.075890   0.498786 2727.77  599.794 26.08870 0.778463 2.06731 1.269950
   49 6780.136 2.060850   0.498534 2789.46  615.224 24.63840 0.723389 2.01591 1.133250
   50 6779.976 2.047210   0.498097 2835.08  627.365 22.71020 0.650130 1.95069 0.965015
   51 6779.491 2.070400   0.497981 2729.48  601.924 22.71590 0.653405 1.96817 0.977894
   52 6778.583 2.190200   0.496299 2315.56  500.276 19.69090 0.575841 1.96221 0.781899
   53 6778.343 2.190350   0.496183 2312.21  499.476 19.10240 0.553794 1.94192 0.738181
   54 6778.134 2.198220   0.496216 2305.72  496.915 18.54660 0.531982 1.92457 0.701385
   55 6777.798 2.202990   0.496186 2328.43  500.358 17.65920 0.500111 1.88965 0.643528
   56 6777.774 2.210810   0.498088 2481.93  528.624 16.43780 0.435225 1.81788 0.582616
   57 6777.271 2.177230   0.497750 2543.29  545.155 16.90990 0.467010 1.82165 0.606408
