
 WorkFlow
Start 2024-09-09 14:23:37  Run : 15.5833333333333 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev   tvVmax    tvKm     tvV     tvKa     K12     K21
    1 7384.105 1.50721   0.945276  4095.43 3855.44 51.0983 1.204430 2.07336 2.93143
    2 7275.721 1.39751   0.900888  4200.82 3709.27 51.5937 1.203000 2.10541 2.90217
    3 7156.261 1.28137   0.863817  4316.49 3574.06 51.8228 1.200430 2.11902 2.90458
    4 7061.690 1.17642   0.816239  4404.01 3467.62 51.2339 1.175010 2.06217 2.91074
    5 6987.143 1.25396   0.648819  4808.81 3348.83 54.1854 1.172750 2.26699 2.80937
    6 6911.095 1.74079   0.375388  7583.55 1980.22 47.3320 1.352830 1.89586 4.59356
    7 6893.503 1.78658   0.380777  8095.36 1761.72 48.2074 1.313140 1.94426 4.67242
    8 6879.414 1.58542   0.460373 14458.20 3677.16 54.9108 0.604369 2.67961 7.32134
    9 6867.342 1.52212   0.476095 15520.10 4073.98 54.8097 0.636941 2.83133 7.53630
   10 6856.413 1.44701   0.482755 16143.60 4408.11 55.6578 0.664507 3.03336 7.86327
   11 6848.164 1.39247   0.491476 16643.50 4687.84 59.2695 0.716235 3.13724 8.32632
   12 6844.381 1.38437   0.495295 16875.10 4761.54 54.8696 0.700665 3.53054 8.31549
   13 6844.014 1.38447   0.495240 16857.90 4756.77 54.3613 0.699513 3.60281 8.33131
   14 6843.647 1.38456   0.495186 16840.90 4752.03 53.8550 0.698359 3.67565 8.34721
   15 6843.301 1.38455   0.495140 16825.90 4748.14 53.3486 0.697195 3.75310 8.36630
   16 6842.955 1.38455   0.495095 16810.90 4744.25 52.8445 0.696032 3.83088 8.38530
   17 6842.608 1.38454   0.495050 16795.90 4740.36 52.3429 0.694869 3.90895 8.40421
   19 6838.580 1.37386   0.494985 16823.70 4720.65 51.7387 0.700160 3.98419 8.42334
   20 6823.455 1.33524   0.497150 17065.30 4636.85 50.7745 0.777673 3.95877 8.42725
   21 6822.379 1.33446   0.497414 17079.50 4631.64 50.6754 0.785873 3.95624 8.42743
   22 6820.480 1.33472   0.497902 17092.20 4625.54 50.5095 0.799898 3.95075 8.42742
   23 6818.360 1.33532   0.498343 17107.10 4618.04 50.2960 0.817025 3.94428 8.42773
   24 6816.664 1.33592   0.498598 17117.00 4611.57 50.1102 0.832305 3.93883 8.42813
   25 6815.297 1.33659   0.498720 17126.10 4606.39 49.9451 0.845838 3.93434 8.42842
   26 6813.907 1.33716   0.498815 17138.60 4601.16 49.7678 0.861358 3.93280 8.42904
