
 WorkFlow
Start 2024-10-22 07:14:39  Run : 8.65 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa        K12      K21
    1 7484.473 1.52172   0.941724 4094.12 3868.130 52.0555 1.200600 2.03296000 2.951090
    2 7399.664 1.43165   0.889996 4209.49 3709.440 53.4511 1.201750 2.05508000 2.917620
    3 7295.731 1.33174   0.847725 4348.98 3543.480 53.9854 1.200250 2.06381000 2.907490
    4 7180.504 1.23037   0.809879 4492.29 3383.450 54.1200 1.197070 2.06580000 2.906600
    5 7078.040 1.12861   0.775337 4636.30 3235.280 53.9878 1.193600 2.06352000 2.912040
    6 7055.346 1.14961   0.701413 4737.86 3264.960 54.0744 1.206870 2.06650000 2.893510
    7 7010.807 1.17217   0.574810 5189.30 3353.220 45.0375 1.318030 1.89955000 3.076720
    8 6932.741 1.10290   0.590623 7114.60 3177.280 47.8171 1.325680 1.80572000 3.135340
    9 6923.999 1.20796   0.573231 7215.71 2803.670 49.4592 1.168880 1.68807000 3.484890
   10 6913.815 1.26869   0.548125 6575.15 2264.980 52.1651 1.144940 1.55639000 3.744280
   11 6909.694 1.31879   0.545164 6495.89 2039.580 53.3101 1.189550 1.52045000 3.810270
   12 6892.023 1.31090   0.514042 5694.31 1769.830 62.9642 1.332790 1.35096000 4.493610
   13 6891.550 1.32962   0.513942 5686.00 1700.750 61.4608 1.264310 1.35335000 4.412840
   14 6891.100 1.33810   0.512733 5790.58 1699.360 64.7166 1.308760 1.31359000 4.935310
   15 6890.829 1.38940   0.549010 6533.32 1837.700 55.9904 1.202690 1.32797000 3.640410
   16 6890.712 1.39773   0.548210 6389.75 1756.140 52.8301 1.198720 1.67818000 3.838750
   17 6889.017 1.38252   0.510272 5192.47 1472.020 56.4259 1.253500 1.66093000 4.426520
   18 6887.721 1.38609   0.519934 5016.87 1431.730 56.4949 1.248590 1.55602000 4.080730
   19 6884.278 1.44853   0.535994 3777.22 1028.640 56.5074 1.289920 1.60941000 3.868400
   20 6883.434 1.47022   0.537220 3429.23  926.396 56.2938 1.292880 1.55783000 3.675660
   21 6881.539 1.54819   0.539475 2791.85  720.176 58.9475 1.336980 1.23840000 3.441450
   22 6878.753 1.66859   0.538816 2571.06  658.846 56.5924 1.341760 0.96422900 2.717990
   23 6875.309 1.92505   0.537048 2450.83  513.713 56.7644 1.317270 0.61606900 2.271130
   24 6874.065 2.26305   0.517075 2126.45  396.873 64.6448 1.348380 0.22180700 2.045240
   25 6871.450 2.24627   0.510045 2397.27  471.058 67.8837 1.362490 0.20880800 2.316940
   26 6869.042 2.01723   0.506544 2232.98  490.928 76.7872 1.490690 0.27492800 3.285750
   27 6867.997 2.10676   0.509718 2312.20  480.374 72.1849 1.425580 0.19675100 2.509010
   28 6867.677 2.12521   0.508367 2318.50  476.452 74.5386 1.444550 0.11716000 2.298200
   29 6867.490 2.12422   0.508031 2315.13  477.863 76.3509 1.453750 0.04724680 1.948470
   30 6866.969 2.11966   0.508446 2285.68  468.431 77.7181 1.501590 0.03244240 1.872400
   31 6866.413 2.12245   0.508489 2248.68  460.917 78.2519 1.552410 0.02422940 1.720460
   32 6865.847 2.16442   0.507619 2179.42  442.274 81.1075 1.628630 0.00276143 1.474290
   33 6865.584 2.18196   0.510301 2140.99  434.463 78.4449 1.632030 0.00676073 1.236980
   34 6865.057 2.21649   0.511467 2129.94  433.019 78.2338 1.623010 0.01065940 1.197860
   35 6863.996 2.40142   0.515019 2075.93  407.862 75.9891 1.532790 0.09700070 1.399930
   36 6863.120 2.53219   0.514604 1957.32  372.255 75.0887 1.493080 0.09385660 1.147420
   37 6862.935 2.90053   0.515750 1726.39  308.254 70.4397 1.389800 0.13116100 0.549756
   38 6861.239 3.07429   0.514223 1758.08  306.547 68.1080 1.288310 0.04764480 0.177138
   39 6861.101 3.04886   0.513590 1785.85  313.570 68.8237 1.289990 0.03434420 0.190918
   40 6860.459 2.95977   0.512133 1848.69  331.843 67.5900 1.254520 0.09337730 0.392779
   41 6859.926 2.98434   0.512470 1778.16  318.169 67.8544 1.263830 0.09293860 0.368620
   42 6859.489 3.02334   0.510824 1747.31  310.712 67.3256 1.234650 0.07372090 0.278543
   43 6859.311 3.00652   0.511057 1750.69  311.466 66.2878 1.210360 0.07491380 0.262646
   44 6858.983 2.94107   0.511536 1752.36  312.863 63.4368 1.138540 0.09253820 0.260346
   45 6858.709 2.83364   0.511375 1769.39  319.039 60.4714 1.070410 0.11867600 0.287323
   46 6858.662 2.76392   0.509996 1771.62  322.246 57.8890 1.008890 0.13812400 0.288348
   47 6858.631 2.79058   0.510211 1769.85  321.243 58.4670 1.026560 0.13542000 0.293599
   48 6858.601 2.79742   0.510677 1772.05  322.311 58.3547 1.030350 0.13914200 0.303091
   49 6858.584 2.83481   0.511103 1770.13  320.021 57.6947 1.016980 0.15099900 0.320122
