
 WorkFlow
Start 2024-10-22 07:23:32  Run : 11.8666666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev   tvVmax     tvKm      tvV     tvKa         K12     K21
    1 7471.874 1.519300   0.941595  4099.25 3864.470  51.9374 1.199840 2.031080000 2.95486
    2 7387.515 1.427150   0.889826  4220.15 3710.020  53.2255 1.199770 2.051960000 2.92436
    3 7271.419 1.325930   0.847383  4355.38 3544.850  53.6969 1.197090 2.057100000 2.91477
    4 7149.091 1.222610   0.811099  4497.16 3388.150  53.6232 1.193180 2.055590000 2.91879
    5 7107.932 1.180980   0.777494  4611.13 3434.230  51.0856 1.186220 2.010710000 2.97796
    6 7038.056 1.199620   0.620198  4968.24 3580.940  50.5252 1.152070 1.997170000 2.98727
    7 7000.060 1.229760   0.514058  5764.38 3729.690  51.8554 1.228800 2.105240000 3.21632
    8 6979.798 1.154850   0.558364  6450.26 3888.690  56.5883 1.069930 2.168530000 2.93529
    9 6975.930 0.926211   0.586973  8171.18 5532.440  59.7980 1.367280 2.044890000 1.73067
   10 6947.810 1.048600   0.657367 12988.90 7097.150  60.5158 1.125880 1.305660000 1.21411
   11 6943.620 1.009370   0.658812 13414.60 7609.790  63.6795 1.067330 1.199780000 1.27341
   12 6938.861 1.134690   0.724171 12531.00 4986.800 120.3860 1.994180 0.000250982 1.37163
   13 6923.053 1.215080   0.682209 10332.00 3363.290 118.2540 1.915040 0.017546100 1.70051
   14 6896.676 1.261730   0.590224 11100.10 4353.340  76.2975 1.273130 0.379924000 2.06552
   15 6890.513 1.268000   0.578208 11476.50 4244.220  76.2816 1.190560 0.381265000 2.05531
   16 6867.750 1.425560   0.497920  8907.05 2140.460  70.7440 1.146150 0.503320000 2.56808
   17 6858.420 1.420170   0.474363  9562.23 2487.910  62.6814 1.128800 0.533544000 2.45655
   18 6851.974 1.390180   0.499450 10119.00 2706.520  55.8393 0.992534 0.668499000 2.20043
   19 6850.736 1.374880   0.500302 10315.90 2948.200  45.5706 0.784237 0.943011000 2.18532
   20 6848.750 1.384740   0.502272  9459.17 2535.850  49.5112 0.924973 0.874928000 2.24487
   21 6848.569 1.380030   0.504302  9379.48 2571.810  49.5898 0.912132 0.934304000 2.24692
   22 6848.155 1.391900   0.496799  8973.64 2447.620  45.9658 0.851639 1.134250000 2.31692
   23 6847.939 1.394300   0.492447  8056.95 2241.130  40.3653 0.808009 1.538180000 2.41914
   24 6847.168 1.402560   0.495700  7650.96 2109.120  39.9945 0.834778 1.640370000 2.44233
   25 6846.227 1.424880   0.500396  6904.80 1862.980  39.5877 0.850674 1.904180000 2.52730
   26 6845.743 1.443400   0.502259  6179.38 1647.870  37.9645 0.851874 2.232280000 2.61957
   27 6844.951 1.517400   0.506859  3782.07 1036.150  29.8472 0.835655 3.998230000 2.97966
   28 6843.997 1.512940   0.504121  4469.96 1222.000  32.0565 0.864453 3.435250000 2.85496
   29 6843.584 1.536550   0.500543  4407.51 1150.130  31.7375 0.857002 3.480300000 2.89049
   30 6843.345 1.605750   0.496622  3409.70  852.646  28.0808 0.840696 4.489250000 3.10226
   31 6842.415 1.607480   0.497155  3422.88  882.542  28.0533 0.832312 4.579110000 3.09665
   32 6842.325 1.613300   0.496994  3358.06  866.605  27.9230 0.834602 4.645520000 3.11025
   33 6842.149 1.621350   0.496844  3296.89  850.206  27.9522 0.839771 4.699560000 3.12953
   34 6841.981 1.631870   0.496609  3204.89  825.327  27.8805 0.844605 4.793940000 3.15613
   35 6841.745 1.647270   0.496366  3113.66  798.979  27.8174 0.849729 4.904480000 3.18630
   36 6841.604 1.655830   0.496257  3073.22  785.527  27.7024 0.849809 4.972560000 3.19712
