
 WorkFlow
Start 2024-10-22 07:35:38  Run : 7.63333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa     K12     K21
    1 7070.159 0.937723   0.476781 4775.12 2977.100 75.2593 1.188300 2.38314 2.47953
    2 7055.062 0.809628   0.435673 4982.85 2780.570 76.9852 1.194510 2.39809 2.46818
    3 6900.197 0.887835   0.625913 5213.59 2577.600 68.5805 1.294050 2.18916 2.79210
    4 6832.320 1.105510   0.526781 5474.95 2424.400 54.4338 1.348780 1.91501 3.23412
    5 6817.646 1.288840   0.458316 5974.29 1932.630 46.8324 1.297700 1.75961 3.50687
    6 6807.845 1.277520   0.489608 6046.14 2017.630 50.2005 1.211640 1.79363 3.49197
    7 6802.865 1.358590   0.493103 6320.27 1881.420 50.8408 1.073970 1.76270 3.59820
    8 6801.965 1.413970   0.487525 6443.66 1809.320 50.3516 0.998177 1.73525 3.67472
    9 6801.690 1.419400   0.487486 6417.44 1798.590 49.9396 1.002120 1.73112 3.67745
   10 6800.736 1.437870   0.488561 6222.69 1737.510 48.5245 0.997119 1.71874 3.67773
   11 6800.008 1.459600   0.487649 5987.47 1654.060 47.6673 0.983822 1.70666 3.66325
   12 6799.179 1.483870   0.486778 5710.68 1555.570 47.6149 0.980600 1.70747 3.63041
   13 6798.687 1.502490   0.487193 5493.94 1467.450 48.3281 0.986007 1.71915 3.59089
   14 6798.551 1.508740   0.486500 5391.71 1435.070 49.1749 0.996263 1.73308 3.56767
   15 6798.484 1.515840   0.487119 5417.12 1421.540 49.4201 0.993092 1.73573 3.57503
   16 6798.388 1.514530   0.487220 5443.36 1429.290 49.5163 0.993073 1.73733 3.58215
   17 6798.223 1.520340   0.487644 5366.58 1404.310 49.6148 0.995781 1.74543 3.58726
   18 6797.293 1.574370   0.489734 4489.57 1151.040 49.7851 1.014540 1.81574 3.62262
   19 6797.006 1.637770   0.489133 3495.67  889.182 49.7531 1.035490 1.88710 3.62735
   20 6796.589 1.628220   0.486912 3511.65  920.046 49.5053 1.042040 1.87823 3.60290
   21 6796.403 1.649460   0.483377 3705.63  940.371 48.8273 1.024430 1.83658 3.58185
   22 6796.267 1.663570   0.485324 3438.33  875.401 48.9715 1.031310 1.86487 3.59010
   23 6796.160 1.655520   0.486829 3533.85  905.443 49.0676 1.029990 1.86483 3.59842
   24 6796.067 1.667380   0.486732 3501.59  891.762 49.0055 1.029420 1.86742 3.59861
   25 6796.015 1.685820   0.486429 3361.28  853.022 48.8664 1.030910 1.87517 3.59168
   26 6795.872 1.742930   0.486563 3063.48  764.315 48.6245 1.032230 1.89393 3.55885
   27 6795.667 1.803880   0.486865 2865.65  700.934 48.3825 1.032690 1.90869 3.51459
   28 6795.248 1.856100   0.487488 2852.30  685.797 48.0534 1.028720 1.90685 3.44404
   29 6795.184 1.888830   0.487574 2774.73  659.204 48.0104 1.028880 1.90826 3.39141
   30 6795.154 1.908720   0.487991 2712.51  642.630 47.9822 1.029050 1.91214 3.34852
   31 6795.087 1.892940   0.487729 2755.77  657.113 48.0480 1.027370 1.90812 3.34977
   32 6794.937 1.865590   0.486904 2808.39  674.993 48.0367 1.020500 1.90209 3.35620
   33 6794.836 1.775800   0.485586 3009.48  736.703 48.1661 1.013760 1.88679 3.38957
   34 6794.763 1.817670   0.486214 2914.90  706.863 48.0295 1.019630 1.89369 3.35113
   35 6794.746 1.827430   0.486470 2877.41  696.762 47.9191 1.021340 1.89499 3.33232
   36 6794.709 1.828590   0.486494 2861.44  693.166 47.7466 1.021110 1.89643 3.31398
   37 6794.662 1.838050   0.486218 2801.87  678.688 47.4408 1.022910 1.90632 3.29712
   38 6794.642 1.852330   0.485885 2732.04  660.636 47.2212 1.023860 1.91816 3.28572
   39 6794.642 1.855470   0.485846 2718.06  656.899 47.1848 1.024000 1.92061 3.28243
   40 6794.609 1.864300   0.486158 2684.06  645.871 47.3723 1.023590 1.93396 3.28422
   41 6794.600 1.882480   0.486488 2652.30  634.533 47.4148 1.023880 1.94761 3.28608
   42 6794.597 1.889400   0.486505 2640.94  631.030 47.4035 1.024470 1.95319 3.28351
   43 6794.597 1.898360   0.486507 2626.18  627.277 47.2959 1.023430 1.95885 3.27191
   44 6794.597 1.898410   0.486507 2626.07  627.247 47.2954 1.023430 1.95889 3.27185
   45 6794.595 1.896230   0.486226 2625.77  627.314 47.2103 1.024340 1.95726 3.27034
   46 6794.593 1.896680   0.486295 2626.07  627.958 47.1884 1.025400 1.95709 3.26891
   47 6794.593 1.896110   0.486163 2626.90  628.255 47.1660 1.025420 1.95656 3.26631
   48 6794.589 1.887820   0.484983 2643.80  632.947 46.9174 1.024310 1.94996 3.22628
   49 6794.585 1.884940   0.484954 2647.35  635.109 46.8376 1.021130 1.94700 3.20747
   50 6794.585 1.884940   0.484954 2647.36  635.112 46.8374 1.021130 1.94700 3.20744
   51 6794.579 1.886700   0.486075 2646.73  635.269 46.8684 1.017950 1.94616 3.20073
   52 6794.579 1.886680   0.486098 2646.79  635.238 46.8681 1.017810 1.94607 3.20035
   53 6794.577 1.886610   0.486285 2652.00  634.815 46.8753 1.018370 1.94607 3.19979
   54 6794.573 1.888920   0.486690 2656.43  635.172 46.9024 1.019200 1.94637 3.19831
   55 6794.573 1.889310   0.486688 2658.89  635.564 46.9172 1.018990 1.94636 3.19771
