Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,GAMMA,0.09413154,,,,,,,,,,,
WorkFlow,CMultStdev,-0.00338974,0.00090798847,,,,,,,,,,
WorkFlow,tvVmax,-227.2008,10.259304,678953.76,,,,,,,,,
WorkFlow,tvKm,-69.59961,2.5146597,191813.18,56919.255,,,,,,,,
WorkFlow,tvV,0.651442,-0.050359386,-4029.0183,-995.45405,651.16667,,,,,,,
WorkFlow,tvKa,0.010313271,-0.00035154813,-51.461098,-13.217962,4.8359074,0.06640108,,,,,,
WorkFlow,K12,-0.016593168,0.016093188,250.60208,58.045874,-35.029538,0.061557243,7.8826985,,,,,
WorkFlow,K21,2.5476483,0.14763717,-6894.7355,-1646.9683,1066.3783,20.693286,169.97438,10800.522,,,,
WorkFlow,stdev0,-0.26928505,-0.044081647,436.56097,-9.1113983,-23.888598,-2.6572951,-47.807568,-1984.3018,524.96355,,,
WorkFlow,nVmax-nVmax,-0.002322865,0.00035538016,9.1701934,2.2700374,-0.096832336,0.00031208244,0.016384001,0.18202173,0.014473874,0.0012085347,,
WorkFlow,nV-nVmax,-0.0078775368,0.00034745654,21.705517,6.3256341,-0.11048978,-0.0011785913,0.015334698,0.048745806,-0.082116219,0.0003048517,0.0012524734,
WorkFlow,nV-nV,-0.0028551152,0.00012749063,9.1241841,2.3773509,-0.090395172,3.1111341e-05,0.015919573,0.28992279,-0.13234044,-4.5946006e-05,0.00072126178,0.0022390507
