Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,GAMMA,0.10390219,,,,,,,,,,,,,,
WorkFlow,CMultStdev,-0.00037547032,0.0010927806,,,,,,,,,,,,,
WorkFlow,tvVmax,-45.291888,-1.4011497,84451.914,,,,,,,,,,,,
WorkFlow,tvKm,-16.731076,-0.52674899,19749.234,6284.8126,,,,,,,,,,,
WorkFlow,tvV,1.4330145,0.014799362,-2365.1406,-456.31196,2695.669,,,,,,,,,,
WorkFlow,tvKa,0.00042647786,-0.0018406538,-33.782158,-4.0675269,24.436306,0.3144017,,,,,,,,,
WorkFlow,K12,-0.32426364,-0.015872056,105.94807,61.238382,-268.69151,-1.022763,58.06619,,,,,,,,
WorkFlow,K21,-0.18724027,-0.069246686,-562.591,-13.092137,584.28827,8.422186,9.4463053,277.72096,,,,,,,
WorkFlow,stdev0,0.27316964,0.030637344,-43.970769,-58.921446,-102.02389,-2.5178484,-24.070714,-97.592506,43.789475,,,,,,
WorkFlow,nVmax-nVmax,-0.014629827,0.00067611087,7.2252548,1.0577315,-0.97827056,-0.0085768392,0.079830472,-0.27926257,-0.060357733,0.016342119,,,,,
WorkFlow,nKm-nVmax,0.00393767,-0.00087912631,8.3864046,1.6737972,-0.08700164,0.005809128,0.11432691,0.25492028,-0.16697085,-0.0026213716,0.0058542552,,,,
WorkFlow,nKm-nKm,-0.0028664149,1.138912e-05,0.34332676,0.39232421,0.12574894,-0.0025096603,-0.052913904,-0.060932762,0.037091334,0.0011355617,-0.0015910427,0.0027591818,,,
WorkFlow,nV-nVmax,-0.018978223,0.00035891219,14.844849,2.9127454,-1.5609667,-0.015443116,0.1182079,-0.42089904,-0.045226972,0.015281223,-0.0012323194,0.0013395303,0.017035017,,
WorkFlow,nV-nKm,0.011989596,-0.00067162346,3.3714235,0.12044153,0.16089139,0.0037447592,0.035802894,0.161129,-0.10121302,-0.0030420991,0.0052399624,-0.0019077848,-0.0027167306,0.0063692045,
WorkFlow,nV-nV,-0.010340371,0.00013207918,10.104741,1.3214527,-2.1349342,-0.02442808,0.12002206,-0.68343069,0.05632002,0.012130237,-0.00075549088,0.00072366443,0.014985196,-0.0014996292,0.016781114
