
 WorkFlow
Start 2024-10-22 07:43:31  Run : 18.95 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV    tvKa      K12     K21
    1 7139.702 0.972974   0.480657 4782.07 2988.780 76.7305 1.23241 2.412060 2.43071
    2 7104.287 0.906894   0.478992 4904.49 2879.260 76.1275 1.24544 2.392680 2.45995
    3 7010.374 0.936975   0.871292 5238.72 2654.770 52.0163 1.45854 1.901450 3.22698
    4 6934.282 0.991710   0.673183 5378.56 2574.020 55.8721 1.43327 1.952230 3.16568
    5 6910.714 1.047340   0.557683 5497.34 2493.270 55.0168 1.42626 1.931690 3.20301
    6 6904.359 1.126790   0.503002 5696.61 2343.390 52.4501 1.40850 1.878900 3.29561
    7 6898.453 1.199330   0.508261 5919.26 2168.650 50.6794 1.37272 1.838430 3.38027
    8 6893.362 1.345500   0.521201 6295.31 1850.470 48.8520 1.25653 1.777840 3.53620
    9 6892.055 1.355660   0.530060 6255.71 1853.270 49.3495 1.20920 1.775710 3.55586
   10 6890.926 1.386650   0.528889 6227.77 1788.620 49.7229 1.14173 1.767450 3.62725
   11 6889.938 1.401510   0.525032 6074.58 1725.980 49.9761 1.09147 1.757680 3.68957
   12 6888.376 1.400970   0.519830 5808.41 1673.350 50.2837 1.08829 1.753470 3.74349
   13 6885.138 1.461500   0.503809 4492.54 1238.670 51.4268 1.10018 1.718430 4.09398
   14 6883.117 1.444200   0.513024 4596.14 1308.380 51.6186 1.16831 1.735480 4.02898
   15 6882.070 1.488490   0.519801 4633.53 1240.480 51.2499 1.20125 1.723130 4.04689
   16 6881.636 1.507670   0.521071 4439.41 1176.100 51.8053 1.23208 1.722160 4.08786
   17 6881.293 1.539730   0.520958 4151.81 1078.940 52.6103 1.26432 1.713470 4.15244
   18 6880.988 1.572340   0.520660 3948.53 1007.340 53.3598 1.27902 1.705270 4.20000
   19 6880.392 1.625120   0.519721 3712.76  922.455 54.4776 1.28802 1.692720 4.25094
   20 6879.512 1.721280   0.519279 3337.52  785.613 56.2183 1.29360 1.664320 4.32273
   21 6879.012 1.869860   0.517650 2703.07  608.292 58.9756 1.32294 1.616230 4.41710
   22 6877.921 1.934960   0.516032 2690.87  599.874 58.8640 1.32729 1.587550 4.36888
   23 6877.482 2.001930   0.514826 2567.00  553.901 59.0720 1.33728 1.562920 4.38334
   24 6877.039 2.196720   0.508805 2245.20  459.693 58.0405 1.36645 1.474860 4.40891
   25 6876.374 2.171990   0.509373 2476.10  505.821 55.2706 1.35053 1.464930 4.39081
   26 6875.155 2.113960   0.510902 2416.80  512.175 55.5562 1.34560 1.482930 4.42880
   27 6874.401 2.101030   0.510610 2391.06  504.449 55.3666 1.33658 1.483090 4.46477
   28 6873.164 2.152850   0.506312 2232.97  462.178 54.8812 1.31989 1.444820 4.51061
   29 6871.450 2.147450   0.504865 2233.17  459.642 54.8429 1.30537 1.431240 4.50475
   30 6868.357 2.168840   0.502677 2267.12  456.371 55.3560 1.30761 1.390280 4.43176
   31 6867.417 2.236310   0.503663 2207.31  431.652 56.8328 1.33752 1.356720 4.37962
   32 6866.907 2.273430   0.505060 2169.47  424.260 57.9469 1.36882 1.341590 4.35735
   33 6866.302 2.311080   0.506383 2138.17  422.123 58.7031 1.40067 1.328370 4.37250
   34 6865.578 2.401850   0.508476 2133.84  424.073 60.6613 1.45007 1.304760 4.44570
   35 6864.910 2.501510   0.506340 2062.42  398.551 60.7579 1.45170 1.274150 4.52257
   36 6864.536 2.779460   0.502333 1933.43  348.008 61.5056 1.43715 1.195970 4.73217
   37 6864.094 2.716780   0.502887 2023.80  370.730 60.5881 1.40550 1.212140 4.70509
   38 6863.987 2.697390   0.502770 2040.95  376.755 60.6043 1.39337 1.218670 4.70560
   39 6863.800 2.692230   0.502302 2040.93  378.764 60.6681 1.37206 1.215970 4.70881
   40 6863.406 2.724330   0.503037 2040.02  379.787 61.6318 1.33678 1.198250 4.73967
   41 6862.931 2.709280   0.503650 2040.56  381.838 61.8815 1.33765 1.193390 4.70939
   42 6860.803 2.615480   0.504946 2029.52  386.741 61.7397 1.35213 1.157920 4.46844
   43 6860.115 2.534550   0.505311 2033.48  389.361 60.7604 1.36874 1.167700 4.35196
   44 6859.849 2.531410   0.503909 2020.07  383.315 60.1362 1.37193 1.174040 4.32990
   45 6859.815 2.527030   0.502890 2010.58  382.134 59.9322 1.36714 1.173800 4.30930
   46 6859.813 2.535920   0.502464 2004.21  381.507 60.0304 1.36610 1.171760 4.31548
   47 6859.812 2.535930   0.502461 2004.17  381.508 60.0309 1.36608 1.171760 4.31545
   48 6859.804 2.533440   0.501518 1994.82  381.498 59.9957 1.36086 1.168920 4.30509
   49 6859.789 2.534230   0.502240 1994.10  381.836 60.1031 1.35809 1.167780 4.30143
   50 6859.762 2.535880   0.502789 1997.58  382.409 60.2984 1.35588 1.166340 4.29538
   51 6859.730 2.542280   0.505508 2003.77  384.529 60.5944 1.35153 1.162090 4.28530
   52 6859.700 2.539750   0.505136 2009.68  384.852 60.5461 1.35192 1.159830 4.28873
   53 6859.667 2.526940   0.502790 2020.05  384.705 60.2242 1.35298 1.153760 4.29599
   54 6859.648 2.527560   0.502374 2016.61  385.730 60.2156 1.35313 1.150410 4.29292
   55 6859.639 2.522510   0.501958 2015.87  387.176 60.1573 1.35306 1.144020 4.29082
   56 6859.639 2.522100   0.501932 2015.87  387.290 60.1547 1.35296 1.143520 4.29057
   57 6859.632 2.516960   0.502256 2014.60  387.391 60.1603 1.35385 1.141790 4.28854
   58 6859.630 2.510490   0.501795 2014.41  387.452 60.1327 1.35495 1.137550 4.28272
   59 6859.621 2.509790   0.502314 2013.30  387.508 60.2037 1.35584 1.137660 4.28364
   60 6859.572 2.503300   0.504126 2008.08  387.899 60.6557 1.36461 1.136550 4.29446
   61 6859.551 2.499260   0.503906 2008.23  388.092 60.7838 1.36990 1.133680 4.30276
   62 6859.514 2.488670   0.502658 2012.07  388.646 60.9426 1.38211 1.122720 4.32461
   63 6859.499 2.484310   0.502125 2015.31  388.993 60.9352 1.38496 1.115480 4.33298
   64 6859.459 2.471900   0.501229 2024.81  390.325 60.9569 1.38933 1.091300 4.35441
   65 6859.415 2.457560   0.500753 2035.75  392.390 61.1093 1.39021 1.058980 4.37696
   66 6859.353 2.439040   0.500828 2048.84  395.841 61.5540 1.38714 1.012760 4.40427
   67 6859.292 2.417390   0.501532 2063.72  401.048 62.3933 1.37866 0.952516 4.43413
   68 6859.273 2.417470   0.502047 2063.93  402.192 62.6652 1.37432 0.945071 4.43139
   69 6859.258 2.418520   0.502354 2063.76  403.151 62.8929 1.37216 0.941296 4.42545
   70 6859.244 2.417380   0.502436 2066.15  404.469 63.1023 1.37174 0.933359 4.41994
   71 6859.202 2.409050   0.502345 2078.14  408.815 63.6216 1.37225 0.901633 4.40681
   72 6859.149 2.393470   0.502039 2097.59  414.509 64.1450 1.37575 0.856069 4.39143
   73 6859.078 2.327880   0.501286 2164.42  433.231 65.9704 1.38653 0.697813 4.38471
   74 6859.046 2.329730   0.501435 2161.12  431.073 65.6007 1.38787 0.707187 4.38498
   75 6859.019 2.326250   0.501668 2159.28  428.909 65.3002 1.39014 0.706924 4.39283
   76 6859.009 2.326050   0.501760 2157.06  427.869 65.2780 1.39093 0.705433 4.39569
   77 6858.948 2.312060   0.502211 2158.40  426.307 65.8996 1.39788 0.652369 4.41032
   78 6858.900 2.311040   0.502499 2154.59  424.776 66.5182 1.40280 0.619859 4.42199
   79 6858.825 2.303690   0.502769 2161.20  426.137 68.4536 1.41564 0.518531 4.44910
   80 6858.805 2.312330   0.502648 2163.06  426.742 68.6795 1.41636 0.506190 4.45276
   81 6858.792 2.328660   0.502213 2164.18  426.823 68.4663 1.41526 0.511403 4.45485
   82 6858.787 2.328230   0.501940 2170.05  427.845 68.5300 1.41634 0.500111 4.46111
