
 WorkFlow
Start 2024-09-09 06:56:07  Run : 27 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa
    1 6392.352   0.631504 6712.69 2105.21 40.1527 1.011730
    2 6380.646   0.472434 6812.39 1905.87 42.3495 0.846646
    3 6370.798   0.553842 6662.13 1944.80 42.2935 0.852433
    4 6366.333   0.553259 6518.71 1946.08 42.5068 0.836644
    5 6344.226   0.547644 5825.48 1907.77 42.8208 0.796065
    6 6335.675   0.545426 5574.97 1863.76 42.6642 0.784318
    7 6326.424   0.542077 5353.20 1783.87 42.2912 0.775088
    8 6320.628   0.539598 5237.98 1725.82 42.0147 0.777789
    9 6312.529   0.535063 5101.95 1618.08 41.7227 0.796137
   10 6311.025   0.527516 4977.51 1493.44 41.9674 0.877856
   11 6308.624   0.530866 5067.72 1558.91 42.3404 0.895411
   12 6308.437   0.533563 5122.30 1514.46 42.7803 0.893422
   13 6308.051   0.536053 5090.80 1503.74 43.3933 0.920796
   14 6307.994   0.536956 5085.26 1500.64 43.5880 0.925475
   15 6307.877   0.539666 5046.86 1474.20 44.2321 0.941166
   16 6307.802   0.539652 5016.29 1464.29 44.2126 0.941546
   17 6307.657   0.538997 4955.83 1440.67 44.2061 0.941978
   18 6307.578   0.538342 4872.92 1409.97 44.2153 0.945401
   19 6307.544   0.537925 4885.16 1418.04 44.0479 0.943249
   20 6307.498   0.537489 4955.80 1452.10 43.7007 0.937561
   21 6307.466   0.537469 4954.50 1450.70 43.7602 0.938256
   22 6307.432   0.537358 4971.96 1457.45 43.7678 0.935827
   23 6307.418   0.537856 4994.05 1464.80 43.8091 0.934140
   24 6307.410   0.538002 5012.64 1472.03 43.7923 0.933208
   25 6307.403   0.537968 5034.68 1480.89 43.7551 0.931387
