Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,GAMMA,5.5228221,,,,,,,,,,,,,
WorkFlow,CMultStdev,-0.23759767,0.010580143,,,,,,,,,,,,
WorkFlow,tvVmax,24901.589,-1072.6758,112431040,,,,,,,,,,,
WorkFlow,tvKm,-35900.544,1545.9137,-162025000,233537140,,,,,,,,,,
WorkFlow,tvV,65.193548,-2.8086071,294246.44,-424403.58,797.16398,,,,,,,,,
WorkFlow,tvKa,0.71959162,-0.031167843,3254.1142,-4693.8341,8.9513109,0.11860768,,,,,,,,
WorkFlow,K12,-1.0919108,0.04700888,-4927.616,7103.5304,-12.950236,-0.14369389,0.216192,,,,,,,
WorkFlow,K21,-3.8872331,0.16745472,-17539.522,25285.427,-46.027582,-0.50980544,0.76936675,2.740006,,,,,,
WorkFlow,K13,-0.21576865,0.0092650524,-972.74413,1402.812,-2.5623264,-0.028465182,0.042715935,0.15189842,0.0084586631,,,,,
WorkFlow,K31,-0.017532796,0.00075771608,-79.363032,114.31508,-0.2101865,-0.0023674878,0.0034818663,0.012342945,0.00068841425,6.035641e-05,,,,
WorkFlow,stdev0,-13.656229,0.74526733,-57854.67,91757.174,-231.37678,-3.5808188,3.0410495,11.525569,0.61160399,0.038496326,4818.1525,,,
WorkFlow,nVmax-nVmax,-2.538915,0.10947543,-11477.987,16538.351,-30.057049,-0.33505861,0.50315123,1.7908324,0.099277755,0.0081172515,8.1838413,1.176659,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,1.059315,-0.045621937,4785.1817,-6893.3935,12.506056,0.13807205,-0.20964007,-0.74585054,-0.041375275,-0.003372127,-1.0907676,-0.48812606,0,0.20571415
