
 WorkFlow
Start 2024-10-22 08:20:14  Run : 28.2333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31
    1 7947.054 1.731340   1.123550 3928.43 4067.860 44.6398 1.202240 0.991446 3.95617 0.1185440 0.0248718
    2 7009.970 1.740000   1.133840 3920.61 4079.000 43.9929 1.198920 0.754019 4.14826 0.1229110 0.0247715
    3 6991.141 1.739350   1.127290 3921.03 4078.320 44.2013 1.197530 0.777718 4.12972 0.1225110 0.0247421
    4 6987.124 1.739410   1.119010 3920.95 4078.430 44.4211 1.195070 0.782987 4.12504 0.1224540 0.0247609
    5 6974.021 1.740170   1.082640 3920.23 4079.440 45.3715 1.183730 0.791073 4.11601 0.1224690 0.0248735
    6 6942.416 1.743030   0.980655 3917.71 4083.100 48.1397 1.150550 0.797280 4.10328 0.1228100 0.0252331
    7 6876.828 1.750840   0.752349 3910.92 4093.050 55.1939 1.069540 0.790067 4.08944 0.1239950 0.0261624
    8 6839.196 1.760810   0.525658 3902.28 4105.850 63.9189 0.976482 0.758552 4.09121 0.1256890 0.0273232
    9 6812.332 1.756830   0.628349 3905.65 4100.930 59.6800 1.019400 0.753702 4.10490 0.1250950 0.0268485
   10 6808.485 1.757640   0.616949 3904.79 4102.230 60.0699 1.014430 0.743041 4.11113 0.1251480 0.0269738
   11 6808.206 1.757670   0.615098 3904.59 4102.530 60.0722 1.014000 0.741674 4.11137 0.1249900 0.0270241
   12 6806.656 1.757450   0.607516 3903.46 4104.160 59.8310 1.013640 0.735752 4.11050 0.1236790 0.0273612
   13 6803.700 1.756500   0.595842 3901.21 4107.340 59.0601 1.015440 0.726761 4.10569 0.1206030 0.0280988
   14 6796.746 1.753280   0.572491 3895.70 4115.010 56.7308 1.023830 0.708712 4.08920 0.1124150 0.0300703
   15 6788.667 1.747160   0.545272 3887.52 4126.340 52.6749 1.042330 0.685991 4.05873 0.0995307 0.0333729
   16 6786.902 1.745110   0.549604 3886.76 4127.250 51.6204 1.050220 0.685302 4.05094 0.0971002 0.0339688
   17 6786.010 1.745310   0.558327 3888.79 4124.330 52.1706 1.049510 0.692065 4.05321 0.0990525 0.0334049
   18 6785.856 1.745120   0.557634 3889.44 4123.340 52.4543 1.048390 0.693809 4.05259 0.0995231 0.0333026
   19 6785.751 1.744600   0.557829 3890.15 4122.240 52.6468 1.048300 0.694489 4.05159 0.0997862 0.0332588
   20 6785.235 1.740340   0.559273 3894.68 4115.250 53.6243 1.050230 0.696157 4.04285 0.1006370 0.0332229
   21 6784.510 1.732070   0.559748 3901.52 4104.460 54.7666 1.056610 0.694688 4.02484 0.1005270 0.0335873
   22 6782.372 1.699950   0.563338 3926.68 4064.800 58.4779 1.085410 0.683868 3.95544 0.0986147 0.0353761
   23 6780.249 1.658350   0.568192 3957.87 4015.740 62.5718 1.127050 0.664313 3.86582 0.0945135 0.0381950
   24 6778.393 1.608190   0.576132 3994.96 3957.840 66.9629 1.181880 0.636049 3.75942 0.0886136 0.0420250
   25 6777.719 1.575650   0.579049 4017.47 3922.810 68.8186 1.221520 0.612992 3.69062 0.0831653 0.0451061
   26 6777.645 1.564360   0.579298 4025.17 3910.920 69.2552 1.235810 0.604089 3.66764 0.0811042 0.0462411
   27 6777.634 1.561230   0.578574 4027.08 3907.900 69.2431 1.239920 0.601220 3.66142 0.0803549 0.0466043
   28 6777.634 1.561140   0.578573 4027.14 3907.810 69.2467 1.240030 0.601160 3.66125 0.0803412 0.0466123
   29 6777.424 1.553920   0.577572 4034.51 3897.070 68.9993 1.246800 0.598553 3.66451 0.0805525 0.0465338
   30 6775.114 1.528810   0.574082 4060.23 3860.350 68.2457 1.269370 0.598137 3.65090 0.0808119 0.0462608
   31 6765.040 1.220740   0.530430 4402.03 3400.770 59.1975 1.551250 0.585498 3.49863 0.0843836 0.0429054
   32 6760.950 1.264390   0.537973 4350.68 3467.400 60.7225 1.506850 0.584003 3.53247 0.0839687 0.0434886
   33 6756.445 1.183960   0.528884 4446.62 3347.310 59.0042 1.571380 0.575275 3.51112 0.0849817 0.0428429
   34 6750.018 1.031300   0.512332 4639.01 3118.070 56.1513 1.688430 0.558822 3.46955 0.0867695 0.0417114
   35 6746.042 0.940701   0.504351 4759.15 2982.760 55.0800 1.747930 0.546547 3.45341 0.0877526 0.0412465
   36 6738.249 0.867250   0.504263 4854.78 2881.580 56.3277 1.756010 0.530271 3.46756 0.0881503 0.0415393
   37 6732.539 0.866629   0.513910 4846.66 2897.430 59.7954 1.688340 0.523661 3.50400 0.0873252 0.0425042
   38 6728.343 0.817938   0.517365 4910.40 2837.930 62.4492 1.657120 0.514316 3.51917 0.0868687 0.0429924
   39 6722.425 0.806675   0.528022 4924.79 2843.740 67.5996 1.559420 0.511892 3.54897 0.0851709 0.0439580
   40 6718.527 0.833375   0.537100 4889.28 2900.610 71.6607 1.464040 0.519037 3.56736 0.0832904 0.0446451
   41 6718.169 0.845658   0.537121 4875.71 2919.570 71.8833 1.450440 0.522844 3.56539 0.0828972 0.0446669
   42 6718.065 0.846262   0.535352 4878.04 2917.410 71.3109 1.459510 0.523041 3.56294 0.0830236 0.0445844
   43 6718.016 0.846211   0.528146 4888.23 2903.680 69.4256 1.486550 0.522598 3.55337 0.0833316 0.0443310
   44 6717.887 0.847092   0.530017 4886.98 2908.470 70.1749 1.471720 0.522451 3.55897 0.0830989 0.0444894
   45 6717.757 0.848236   0.530095 4894.31 2909.900 70.9000 1.451000 0.521829 3.56629 0.0826715 0.0447313
   46 6717.729 0.853210   0.530051 4897.76 2916.310 71.4058 1.433080 0.522029 3.57313 0.0823006 0.0449481
   47 6717.577 0.858564   0.526545 4908.75 2915.350 71.0754 1.424610 0.521777 3.57690 0.0820011 0.0450913
   48 6717.408 0.867168   0.515493 4961.00 2897.800 69.9750 1.401640 0.519907 3.58712 0.0810970 0.0455072
   49 6717.342 0.865380   0.516914 4959.37 2895.100 69.8477 1.408840 0.519855 3.58323 0.0812652 0.0454048
   50 6717.210 0.863040   0.519389 4972.63 2879.230 69.1926 1.422130 0.518955 3.57231 0.0814673 0.0452105
   51 6717.110 0.864488   0.521428 4990.09 2867.040 68.9662 1.419830 0.517998 3.56623 0.0813361 0.0451927
   52 6716.859 0.877109   0.528535 5078.88 2815.610 68.3604 1.390740 0.513605 3.54561 0.0803462 0.0453427
   53 6716.803 0.887109   0.528579 5132.71 2788.390 67.9547 1.370010 0.511007 3.53719 0.0796891 0.0455047
   54 6716.761 0.906324   0.528862 5209.74 2751.460 67.5400 1.339810 0.507809 3.52003 0.0787940 0.0456832
   55 6716.684 0.919439   0.526925 5269.27 2720.060 67.1419 1.325800 0.505291 3.50295 0.0783734 0.0457036
   56 6716.279 0.937408   0.523636 5354.95 2670.300 67.1464 1.318110 0.501765 3.46630 0.0783180 0.0454834
   57 6715.475 1.001600   0.516958 5756.91 2435.020 66.9201 1.295300 0.484863 3.30095 0.0781849 0.0443963
   58 6715.319 1.025150   0.518540 6000.03 2291.030 67.1691 1.294190 0.473561 3.20158 0.0784751 0.0436514
   59 6715.268 1.023780   0.522660 6076.98 2238.930 67.6288 1.302420 0.468784 3.16548 0.0788543 0.0433498
   60 6715.117 0.999597   0.527102 5983.80 2276.860 68.3757 1.322710 0.471100 3.18894 0.0794336 0.0434173
   61 6715.095 1.004090   0.525090 5994.36 2273.270 68.2120 1.320460 0.471095 3.18553 0.0793155 0.0434367
   62 6715.066 1.005590   0.520709 5970.02 2286.870 67.7951 1.323200 0.472507 3.19138 0.0791371 0.0435814
   63 6715.001 1.000260   0.521516 5937.11 2301.420 67.9924 1.328150 0.473513 3.19846 0.0792197 0.0436592
   64 6714.920 0.997782   0.524430 5914.70 2308.090 68.3404 1.328090 0.473281 3.19815 0.0790977 0.0438518
   65 6714.798 0.994024   0.525792 5865.50 2321.940 68.6147 1.336560 0.473249 3.19411 0.0789053 0.0442251
