Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV,nKa-nVmax,nKa-nKm,nKa-nV,nKa-nKa
WorkFlow,GAMMA,192422.77,,,,,,,,,,,,,,,,,,,,
WorkFlow,CMultStdev,13069.905,887.74556,,,,,,,,,,,,,,,,,,,
WorkFlow,tvVmax,-538299580,-36562847,1505884400000,,,,,,,,,,,,,,,,,,
WorkFlow,tvKm,-63561847,-4317302.3,177813220000,20996008000,,,,,,,,,,,,,,,,,
WorkFlow,tvV,-4501003.9,-305721.05,12591486000,1486789400,105283990,,,,,,,,,,,,,,,,
WorkFlow,tvKa,41034.221,2787.1615,-114792570,-13554586,-959840.58,8750.5653,,,,,,,,,,,,,,,
WorkFlow,K12,11474.663,779.39195,-32100185,-3790355.9,-268406.41,2446.9759,684.26362,,,,,,,,,,,,,,
WorkFlow,K21,45389.841,3083.0078,-126977350,-14993351,-1061723.9,9679.399,2706.7127,10706.829,,,,,,,,,,,,,
WorkFlow,K13,-1969.1014,-133.747,5508529.5,650441.23,46059.69,-419.91149,-117.42257,-464.48349,20.150219,,,,,,,,,,,,
WorkFlow,K31,-343.39065,-23.324076,960629.83,113430.15,8032.3275,-73.22817,-20.477266,-81.001055,3.5139869,0.61280248,,,,,,,,,,,
WorkFlow,stdev0,-233318860,-15847684,652705740000,77070805000,5457613500,-49755326,-13913402,-55036657,2387599.4,416372.33,282906700000,,,,,,,,,,
WorkFlow,nVmax-nVmax,711669.45,48338.625,-1990883800,-235081460,-16646819,151763.75,42438.675,167872.87,-7282.6585,-1270.0194,-862922340,2632086.7,,,,,,,,,
WorkFlow,nKm-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
WorkFlow,nKm-nKm,170689.2,11593.699,-477500270,-56382728,-3992629.1,36399.53,10178.635,40263.196,-1746.6973,-304.60572,-206966200,631288.54,0,151410.37,,,,,,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
WorkFlow,nV-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WorkFlow,nV-nV,76522.218,5197.6079,-214069670,-25277121,-1789948.3,16318.389,4563.2162,18050.522,-783.06745,-136.55876,-92785677,283014.98,0,67879.266,0,0,30431.17,,,,
WorkFlow,nKa-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
WorkFlow,nKa-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WorkFlow,nKa-nV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nKa-nKa,-574723.79,-39036.883,1607780500,189845030,13443492,-122560.04,-34272.254,-135569.31,5881.2656,1025.6311,696871270,-2125597.6,0,-509810.48,0,0,-228554.76,0,0,0,1716571.5
