
 WorkFlow
Start 2024-09-21 22:04:35  Run : 1 nSubj: 60 nObs : 480
 Iter      -2LL   GAMMA CMultStdev  tvVmax    tvKm     tvV    tvKa      K12     K21       K13        K31
    1 15456.755 1.60178   1.001330 3999.12 4001.33 49.9482 1.20000 1.952050 3.02115 0.1196060 0.00496769
    2 13636.499 1.60212   1.001710 3998.84 4001.73 49.9290 1.19999 1.937510 3.02743 0.1244630 0.01239020
    3 13168.303 1.60272   1.002400 3998.37 4002.38 49.8934 1.20004 1.910070 3.03933 0.1347070 0.01569870
    4 12221.262 1.60467   1.004600 3996.86 4004.44 49.7792 1.20021 1.821040 3.07826 0.1706540 0.02112740
    5  9674.374 1.61028   1.010950 3992.55 4010.33 49.4533 1.20066 1.570090 3.19224 0.2971740 0.03173040
    6  7205.074 1.61589   1.017340 3988.21 4016.24 49.1278 1.20108 1.325960 3.31054 0.4609110 0.04510230
    7  7139.854 1.61681   1.018370 3987.49 4017.22 49.0734 1.20112 1.286620 3.33039 0.4910300 0.04825590
    8  7136.773 1.61671   1.018250 3987.56 4017.13 49.0765 1.20104 1.289980 3.32859 0.4871960 0.04824510
    9  7129.042 1.61653   1.017990 3987.67 4016.96 49.0770 1.20072 1.294990 3.32565 0.4781210 0.04900950
   10  7115.101 1.61629   1.017570 3987.77 4016.79 49.0661 1.19998 1.298170 3.32308 0.4634050 0.05160330
   11  7090.427 1.61607   1.017020 3987.79 4016.72 49.0299 1.19849 1.293970 3.32325 0.4425210 0.05785600
   12  7041.433 1.61607   1.016530 3987.57 4016.95 48.9547 1.19622 1.273070 3.33083 0.4218010 0.06938800
   13  6938.055 1.61661   1.015930 3986.62 4018.08 48.7437 1.19078 1.200370 3.36089 0.3907960 0.10349000
   14  6916.708 1.61668   1.015030 3986.17 4018.56 48.6063 1.18668 1.160560 3.37615 0.3584980 0.13154900
   15  6915.528 1.61692   1.013940 3985.45 4019.36 48.4140 1.18119 1.100820 3.40021 0.3219550 0.17521300
   16  6914.842 1.61691   1.014130 3985.56 4019.24 48.4454 1.18212 1.109610 3.39656 0.3289460 0.16750300
   17  6913.706 1.61683   1.014260 3985.74 4019.04 48.4885 1.18329 1.122380 3.39081 0.3369670 0.15762000
   18  6913.706 1.61683   1.014260 3985.74 4019.04 48.4885 1.18329 1.122380 3.39081 0.3369670 0.15762000
   19  6913.358 1.61680   1.014100 3985.77 4018.99 48.4900 1.18324 1.123640 3.38990 0.3353790 0.15759100
   20  6913.084 1.61679   1.014030 3985.78 4018.98 48.4907 1.18322 1.122530 3.39009 0.3354470 0.15755200
   21  6913.007 1.61674   1.013690 3985.83 4018.90 48.4937 1.18311 1.120010 3.39004 0.3346110 0.15741800
   22  6912.991 1.61670   1.013400 3985.88 4018.82 48.4962 1.18302 1.118140 3.38989 0.3337390 0.15730500
   23  6912.944 1.61656   1.012440 3986.03 4018.59 48.5048 1.18271 1.112280 3.38928 0.3307030 0.15693400
   24  6912.939 1.61625   1.010420 3986.36 4018.10 48.5228 1.18207 1.100350 3.38787 0.3241990 0.15615200
