Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,GAMMA,0.96999748,,,,,,,,,,,,,,,,
WorkFlow,CMultStdev,0.0082311266,0.0016393982,,,,,,,,,,,,,,,
WorkFlow,tvVmax,-2198.6338,-25.579908,35452414,,,,,,,,,,,,,,
WorkFlow,tvKm,-4770.8618,-29.780123,25545824,34481296,,,,,,,,,,,,,
WorkFlow,tvV,3.5884962,0.33291021,-53218.747,-42042.632,345.97916,,,,,,,,,,,,
WorkFlow,tvKa,-0.022089145,0.0017489504,-681.10996,-280.02211,4.9517869,0.12145022,,,,,,,,,,,
WorkFlow,K12,0.020731613,-0.00093434922,-830.07588,-515.00602,1.1453291,0.019498629,0.036285337,,,,,,,,,,
WorkFlow,K21,0.073627159,-0.0008749698,-8313.441,-4917.5062,26.958225,0.54814689,0.33666664,4.5342359,,,,,,,,,
WorkFlow,K13,0.00090830636,-0.00046932843,108.94438,61.593597,-1.0397614,-0.022369379,-0.0025618278,-0.10416069,0.0048000938,,,,,,,,
WorkFlow,K31,0.0081278731,-0.00011644403,24.564707,-24.885411,-0.24665266,-0.0058729773,-0.0012337699,-0.033086079,0.0013121594,0.0005939964,,,,,,,
WorkFlow,stdev0,-0.11314418,-0.011373587,-1632.9728,-2410.4281,5.6265921,0.11413788,0.0094777132,0.71847408,-0.033853411,-0.0033574239,2.8888047,,,,,,
WorkFlow,nVmax-nVmax,-0.98346492,0.01316358,3680.8562,7494.2015,-10.278097,-0.10670466,-0.082306988,-1.2779215,0.036758729,-0.0017421031,-2.3333375,3.9503541,,,,,
WorkFlow,nKm-nVmax,0.014453258,-0.0049708203,1539.9309,1003.3782,-4.0556033,-0.057272555,-0.0090523758,-0.23582001,0.0091934457,-0.0008063239,-0.41929318,0.37011196,0.81939456,,,,
WorkFlow,nKm-nKm,-0.0037282644,7.8451697e-06,867.30502,420.76489,-0.75601996,-0.014678424,-0.023478058,-0.20595407,0.0011348285,0.00052567066,-0.056630495,0.055229334,0.032102169,0.038342458,,,
WorkFlow,nV-nVmax,-0.106976,0.011234258,-244.46675,834.5761,-2.4057293,-0.05466996,-0.028543562,-0.56797749,0.018774943,0.0037067552,-1.0042582,1.2114152,-0.48649475,-0.0056975398,1.1082705,,
WorkFlow,nV-nKm,0.01787327,-0.0013571408,836.94563,858.79252,-2.2004069,-0.031763651,0.0019495801,-0.09180333,0.0055139782,-0.0019658433,-0.48216918,0.44854402,0.62004273,0.016128086,-0.30774689,0.50319065,
WorkFlow,nV-nV,0.56108455,0.013954622,-3853.2734,-3737.014,4.4099364,-0.0054258195,0.026671576,0.061626727,0.0049868184,0.0057461765,-0.4353184,-0.31887897,-0.89555715,-0.070573966,0.99894396,-0.62905396,1.8233503
