
 WorkFlow
Start 2024-10-22 10:43:59  Run : 1.43333333333333 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa    dVdWT
    1 7813.038 1.51193   0.950873 4134.16 3820.420 51.6643 1.193200 1.102630
    2 7691.988 1.41474   0.909827 4281.93 3634.450 52.6719 1.190140 1.105070
    3 7528.980 1.30905   0.878618 4433.65 3454.580 52.8792 1.190060 1.107250
    4 7316.532 1.19771   0.855890 4575.48 3297.760 52.4092 1.191190 1.108530
    5 7166.935 1.08990   0.832601 4717.29 3155.890 51.7597 1.192510 1.108180
    6 7100.903 1.13131   0.740696 5002.08 2987.120 53.4517 1.197380 1.101610
    7 6998.926 1.67775   0.386428 7159.16 1652.900 35.9925 1.609150 1.014800
    8 6994.143 1.70452   0.405838 7355.35 1550.450 36.6873 1.619170 1.004290
    9 6991.811 1.67246   0.434811 8251.51 1866.460 38.9298 1.856740 0.839108
   10 6986.779 1.60454   0.434813 8374.80 1998.630 40.4783 1.975880 0.701228
   11 6983.675 1.57560   0.441552 8899.92 2226.260 39.1311 1.879880 0.668179
   12 6973.522 1.53091   0.445342 8873.01 2305.340 40.2145 1.969060 0.885704
   13 6918.252 1.68764   0.420559 4714.03 1054.180 35.0653 0.892144 1.204030
   14 6888.752 1.49987   0.463295 5246.21 1424.670 40.7499 1.594970 1.012870
   15 6875.698 1.57852   0.491949 5879.96 1479.190 40.1478 1.346530 0.905335
   16 6867.550 1.59462   0.501374 5158.94 1291.380 41.2016 1.245640 1.042500
   17 6866.268 1.63567   0.498916 4131.13  987.319 42.4552 1.253770 1.032560
   18 6865.368 1.62239   0.497724 4522.69 1122.290 41.6952 1.195910 0.992607
   19 6864.666 1.63859   0.494017 4401.90 1075.150 41.9212 1.267090 1.036310
   20 6863.700 1.67113   0.490096 4004.29  959.227 42.2832 1.288180 1.016340
   21 6862.766 1.71454   0.486351 3627.10  857.876 42.5821 1.297740 0.989504
   22 6861.638 1.74488   0.485785 3474.63  826.773 42.7177 1.294580 0.961704
   23 6860.582 1.79857   0.489061 3216.18  744.279 43.2834 1.319660 0.957897
   24 6859.640 1.84934   0.495861 3064.77  683.152 44.1125 1.363950 0.944422
   25 6859.571 1.87686   0.497639 2926.38  637.698 44.6242 1.389090 0.944080
   26 6859.437 1.86524   0.498258 2995.58  657.596 44.6112 1.387180 0.952014
   27 6859.371 1.85521   0.497446 3015.76  666.202 44.4774 1.381350 0.945978
   28 6859.284 1.83093   0.496494 3070.16  686.791 44.2052 1.366160 0.946874
   29 6859.271 1.82937   0.496969 3068.61  687.296 44.2244 1.366540 0.948356
   30 6859.268 1.82798   0.497358 3077.76  689.579 44.2028 1.364450 0.952891
