Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,dVdWT,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,GAMMA,0.013435908,,,,,,,,,,
WorkFlow,CMultStdev,0.00048923825,0.00035398109,,,,,,,,,
WorkFlow,tvVmax,-59.443042,-3.2012793,471662.69,,,,,,,,
WorkFlow,tvKm,-20.719392,-1.1302835,138364.76,43961.173,,,,,,,
WorkFlow,tvV,0.064738272,-0.0027498784,-1076.2268,-319.37559,12.08231,,,,,,
WorkFlow,tvKa,0.0023443967,5.58193e-05,-39.978357,-11.928555,0.27387245,0.015654685,,,,,
WorkFlow,dVdWT,0.0010934813,0.00056600423,11.0167,4.2464616,-0.37710707,-0.010889228,0.089134971,,,,
WorkFlow,stdev0,0.19292386,-0.066010817,452.91984,-1.0248669,-2.6595513,0.029865075,0.058411723,222.43945,,,
WorkFlow,nVmax-nVmax,0.00085821874,-4.2940405e-05,-3.689142,-1.1801395,-0.0071284653,-0.00043120408,0.0020971719,-0.018156619,0.00047351793,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,-0.00046673964,-5.1935783e-05,5.5812346,1.5808662,0.00062897194,-0.00069277987,-0.00099528345,-0.043664402,-5.3251752e-05,0,0.0014244184
