
 WorkFlow
Start 2024-10-22 10:45:37  Run : 2.66666666666667 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev   tvVmax     tvKm     tvV     tvKa     dVdWT
    1 7796.589 1.51146   0.948695  4122.23 3831.990 51.7815 1.194010 1.1028200
    2 7687.872 1.41424   0.906144  4262.62 3652.900 52.9556 1.188550 1.1055000
    3 7519.770 1.30528   0.874728  4406.73 3483.920 53.2952 1.182900 1.1082000
    4 7325.375 1.19316   0.848593  4543.95 3334.100 53.1978 1.176610 1.1097200
    5 7282.408 1.02594   0.419173  7456.99 2676.130 34.0316 1.142520 0.9081840
    6 7194.399 1.17005   0.376477  8610.23 2258.360 39.2021 1.109020 0.8973980
    7 7124.848 1.35880   0.465355 11107.70 1736.440 41.2131 1.082380 0.8911710
    8 7027.812 1.53801   0.490492 18408.70 2772.850 50.5143 0.893635 0.9848720
    9 7019.780 1.53275   0.504944 18999.50 2901.620 50.5779 0.741208 0.8693080
   10 6988.565 1.53972   0.539183 25073.30 4122.710 45.2803 0.778419 0.1047470
   11 6981.926 1.45865   0.582235 26391.30 4582.250 50.7039 0.876424 0.0433506
   12 6953.696 1.44001   0.502459 13445.50 2531.710 40.4368 0.883322 0.0768153
   13 6934.329 1.38473   0.489081 20420.10 4967.990 41.1648 0.688359 1.0531800
   14 6934.159 1.38150   0.443770 10623.50 3084.120 34.6995 0.762024 0.1322880
   15 6912.771 1.36255   0.484868 14350.30 4018.590 39.5652 0.848399 0.8944660
   16 6910.753 1.36091   0.482336 14352.30 4111.050 39.3133 0.841400 1.2048900
   17 6908.235 1.36421   0.481887 12839.30 3840.020 38.4572 0.831595 1.4734000
   18 6905.852 1.38409   0.483876 10890.80 3301.650 37.2871 0.803201 1.4208300
   19 6902.941 1.42262   0.490585  8956.61 2624.130 36.3764 0.761595 1.3386300
   20 6898.624 1.45348   0.500540  7455.86 2108.420 36.5126 0.756229 1.2270500
   21 6892.167 1.50552   0.523213  5080.42 1349.150 38.9250 0.812609 1.0218400
   22 6890.752 1.46590   0.521891  6393.51 1806.430 41.1504 0.876240 0.9619300
   23 6884.738 1.49772   0.498142  6047.92 1643.960 39.8336 0.881825 1.0338900
   24 6882.975 1.54845   0.482118  4295.01 1179.750 39.6643 0.907607 1.1263300
   25 6882.068 1.59190   0.479719  4828.86 1152.320 41.0289 0.911538 1.2559600
   26 6879.442 1.55489   0.484074  5341.90 1415.150 41.8091 0.928776 1.1375600
   27 6876.612 1.58583   0.484365  4412.50 1154.410 42.4079 0.953109 1.1367100
   28 6875.891 1.62557   0.482837  4027.82 1013.600 42.9542 0.962134 1.2106900
   29 6875.111 1.64200   0.485519  4078.06 1012.860 43.3770 0.962796 1.2574800
   30 6874.747 1.66444   0.488289  4032.65  993.056 43.6512 0.966269 1.2414400
   31 6874.697 1.67613   0.489472  3947.50  966.351 43.7181 0.970047 1.2699000
   32 6874.659 1.69058   0.491150  3831.00  929.626 43.8461 0.977908 1.2435700
   33 6874.582 1.69379   0.490357  3848.66  933.842 43.6223 0.974386 1.2305400
   34 6874.533 1.69468   0.489335  3885.21  942.161 43.4412 0.971089 1.2317200
   35 6874.521 1.69664   0.489359  3855.96  933.552 43.5273 0.972659 1.2149300
   36 6874.521 1.69721   0.489323  3850.73  932.073 43.5266 0.972784 1.2100900
   37 6874.520 1.69988   0.489176  3830.63  925.718 43.5627 0.972308 1.1820000
   38 6874.518 1.69972   0.489125  3829.48  925.867 43.6098 0.973411 1.1744400
