"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",7578.8032
"WorkFlow",1,"GAMMA",1.48636
"WorkFlow",1,"CMultStdev",0.9669
"WorkFlow",1,"tvVmax",4117.93
"WorkFlow",1,"tvKm",3828.98
"WorkFlow",1,"tvV",49.8612
"WorkFlow",1,"tvKa",1.19574
"WorkFlow",1,"dVdWT",1.11288
"WorkFlow",2,"-2LL",7408.96458
"WorkFlow",2,"GAMMA",1.36544
"WorkFlow",2,"CMultStdev",0.938095
"WorkFlow",2,"tvVmax",4228.44
"WorkFlow",2,"tvKm",3679.76
"WorkFlow",2,"tvV",49.5671
"WorkFlow",2,"tvKa",1.18972
"WorkFlow",2,"dVdWT",1.11845
"WorkFlow",3,"-2LL",7263.18402
"WorkFlow",3,"GAMMA",1.24302
"WorkFlow",3,"CMultStdev",0.909896
"WorkFlow",3,"tvVmax",4339.63
"WorkFlow",3,"tvKm",3543.91
"WorkFlow",3,"tvV",49.2252
"WorkFlow",3,"tvKa",1.18314
"WorkFlow",3,"dVdWT",1.11886
"WorkFlow",4,"-2LL",7250.10806
"WorkFlow",4,"GAMMA",1.53284
"WorkFlow",4,"CMultStdev",0.305729
"WorkFlow",4,"tvVmax",6305.6
"WorkFlow",4,"tvKm",2760.17
"WorkFlow",4,"tvV",54.7485
"WorkFlow",4,"tvKa",1.10839
"WorkFlow",4,"dVdWT",1.06504
"WorkFlow",5,"-2LL",7171.13102
"WorkFlow",5,"GAMMA",1.62592
"WorkFlow",5,"CMultStdev",0.31191
"WorkFlow",5,"tvVmax",7521.56
"WorkFlow",5,"tvKm",2226.59
"WorkFlow",5,"tvV",56.2025
"WorkFlow",5,"tvKa",1.02466
"WorkFlow",5,"dVdWT",1.01823
"WorkFlow",6,"-2LL",7140.82556
"WorkFlow",6,"GAMMA",1.66066
"WorkFlow",6,"CMultStdev",0.311237
"WorkFlow",6,"tvVmax",7857.83
"WorkFlow",6,"tvKm",1969.49
"WorkFlow",6,"tvV",56.5345
"WorkFlow",6,"tvKa",0.987343
"WorkFlow",6,"dVdWT",1.0038
"WorkFlow",7,"-2LL",7106.7398
"WorkFlow",7,"GAMMA",1.80206
"WorkFlow",7,"CMultStdev",0.372218
"WorkFlow",7,"tvVmax",9564.4
"WorkFlow",7,"tvKm",1034.14
"WorkFlow",7,"tvV",77.4893
"WorkFlow",7,"tvKa",0.850054
"WorkFlow",7,"dVdWT",1.02162
"WorkFlow",8,"-2LL",7094.37574
"WorkFlow",8,"GAMMA",1.73234
"WorkFlow",8,"CMultStdev",0.374253
"WorkFlow",8,"tvVmax",9783.04
"WorkFlow",8,"tvKm",1165.25
"WorkFlow",8,"tvV",81.5082
"WorkFlow",8,"tvKa",0.78943
"WorkFlow",8,"dVdWT",0.987873
"WorkFlow",9,"-2LL",7081.4345
"WorkFlow",9,"GAMMA",1.67591
"WorkFlow",9,"CMultStdev",0.377812
"WorkFlow",9,"tvVmax",10070.5
"WorkFlow",9,"tvKm",1277.38
"WorkFlow",9,"tvV",83.5107
"WorkFlow",9,"tvKa",0.836715
"WorkFlow",9,"dVdWT",0.932704
"WorkFlow",10,"-2LL",7066.79066
"WorkFlow",10,"GAMMA",1.69642
"WorkFlow",10,"CMultStdev",0.393567
"WorkFlow",10,"tvVmax",10802.3
"WorkFlow",10,"tvKm",1279.65
"WorkFlow",10,"tvV",91.6892
"WorkFlow",10,"tvKa",0.696175
"WorkFlow",10,"dVdWT",0.681116
"WorkFlow",11,"-2LL",7063.20692
"WorkFlow",11,"GAMMA",1.6846
"WorkFlow",11,"CMultStdev",0.402202
"WorkFlow",11,"tvVmax",10796.5
"WorkFlow",11,"tvKm",1218.38
"WorkFlow",11,"tvV",101.94
"WorkFlow",11,"tvKa",0.758817
"WorkFlow",11,"dVdWT",1.05976
"WorkFlow",12,"-2LL",6987.2509
"WorkFlow",12,"GAMMA",1.58059
"WorkFlow",12,"CMultStdev",0.504064
"WorkFlow",12,"tvVmax",5485.96
"WorkFlow",12,"tvKm",1255.27
"WorkFlow",12,"tvV",69.6698
"WorkFlow",12,"tvKa",1.58458
"WorkFlow",12,"dVdWT",1.27804
"WorkFlow",13,"-2LL",6961.82262
"WorkFlow",13,"GAMMA",1.61772
"WorkFlow",13,"CMultStdev",0.506116
"WorkFlow",13,"tvVmax",5312.89
"WorkFlow",13,"tvKm",1382.59
"WorkFlow",13,"tvV",51.5435
"WorkFlow",13,"tvKa",1.50523
"WorkFlow",13,"dVdWT",0.715865
"WorkFlow",14,"-2LL",6953.9
"WorkFlow",14,"GAMMA",1.5976
"WorkFlow",14,"CMultStdev",0.498564
"WorkFlow",14,"tvVmax",4964.38
"WorkFlow",14,"tvKm",1403.74
"WorkFlow",14,"tvV",46.89
"WorkFlow",14,"tvKa",1.52065
"WorkFlow",14,"dVdWT",0.828444
"WorkFlow",15,"-2LL",6925.57396
"WorkFlow",15,"GAMMA",1.44183
"WorkFlow",15,"CMultStdev",0.451135
"WorkFlow",15,"tvVmax",4585.53
"WorkFlow",15,"tvKm",1529.87
"WorkFlow",15,"tvV",43.6102
"WorkFlow",15,"tvKa",1.39903
"WorkFlow",15,"dVdWT",0.747266
"WorkFlow",16,"-2LL",6902.47092
"WorkFlow",16,"GAMMA",1.39373
"WorkFlow",16,"CMultStdev",0.433062
"WorkFlow",16,"tvVmax",5693.85
"WorkFlow",16,"tvKm",1681.84
"WorkFlow",16,"tvV",45.5805
"WorkFlow",16,"tvKa",1.05881
"WorkFlow",16,"dVdWT",0.662099
"WorkFlow",17,"-2LL",6886.6657
"WorkFlow",17,"GAMMA",1.51204
"WorkFlow",17,"CMultStdev",0.475643
"WorkFlow",17,"tvVmax",6050.83
"WorkFlow",17,"tvKm",1579.09
"WorkFlow",17,"tvV",44.1387
"WorkFlow",17,"tvKa",0.974266
"WorkFlow",17,"dVdWT",0.920305
"WorkFlow",18,"-2LL",6885.07348
"WorkFlow",18,"GAMMA",1.50248
"WorkFlow",18,"CMultStdev",0.484595
"WorkFlow",18,"tvVmax",6100.5
"WorkFlow",18,"tvKm",1634.76
"WorkFlow",18,"tvV",42.683
"WorkFlow",18,"tvKa",0.900247
"WorkFlow",18,"dVdWT",1.02095
"WorkFlow",19,"-2LL",6884.00724
"WorkFlow",19,"GAMMA",1.49778
"WorkFlow",19,"CMultStdev",0.490993
"WorkFlow",19,"tvVmax",5828.05
"WorkFlow",19,"tvKm",1589.14
"WorkFlow",19,"tvV",43.4234
"WorkFlow",19,"tvKa",0.904574
"WorkFlow",19,"dVdWT",0.925464
"WorkFlow",20,"-2LL",6883.5852
"WorkFlow",20,"GAMMA",1.50812
"WorkFlow",20,"CMultStdev",0.491152
"WorkFlow",20,"tvVmax",5658.9
"WorkFlow",20,"tvKm",1532.78
"WorkFlow",20,"tvV",43.6192
"WorkFlow",20,"tvKa",0.912419
"WorkFlow",20,"dVdWT",0.93437
"WorkFlow",21,"-2LL",6883.10548
"WorkFlow",21,"GAMMA",1.53554
"WorkFlow",21,"CMultStdev",0.492271
"WorkFlow",21,"tvVmax",5363.87
"WorkFlow",21,"tvKm",1404.31
"WorkFlow",21,"tvV",44.2221
"WorkFlow",21,"tvKa",0.901122
"WorkFlow",21,"dVdWT",0.93113
"WorkFlow",22,"-2LL",6882.67248
"WorkFlow",22,"GAMMA",1.55472
