
 WorkFlow
Start 2024-10-22 11:16:02  Run : 6.9 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa     K12     K21   dVdWT
    1 7042.196 1.002920   0.475686 4720.04 3049.540 78.1023 1.180400 2.42238 2.43455 1.12475
    2 7012.382 0.933596   0.471362 4837.87 2939.150 77.6118 1.187670 2.40355 2.46688 1.12507
    3 6911.961 0.964123   0.787195 5262.61 2622.580 55.0698 1.337210 1.92969 3.22919 1.11258
    4 6838.297 1.055080   0.608263 5517.16 2470.600 56.4226 1.319640 1.93492 3.24529 1.11323
    5 6812.410 1.132080   0.522376 5726.62 2327.040 54.9851 1.309270 1.89956 3.31198 1.11187
    6 6799.013 1.351420   0.428534 6400.20 1907.680 51.3733 1.253070 1.81038 3.50960 1.11133
    7 6787.304 1.340750   0.481819 6406.30 1918.580 51.9119 1.212580 1.81696 3.50499 1.11292
    8 6783.592 1.406910   0.490482 6584.67 1802.030 50.7311 1.132070 1.78369 3.59166 1.11565
    9 6781.819 1.449640   0.492753 6612.72 1771.180 49.5444 1.033940 1.75159 3.67925 1.12124
   10 6781.368 1.465080   0.490727 6555.55 1718.300 48.5687 0.982045 1.73007 3.72270 1.12573
   11 6780.972 1.460910   0.487442 6460.16 1719.790 48.3380 0.984476 1.72729 3.71930 1.12882
   12 6779.946 1.460130   0.479521 6134.65 1668.600 47.8154 0.997318 1.72255 3.70325 1.14440
   13 6778.640 1.471810   0.474487 5677.30 1556.200 47.6965 1.013390 1.72393 3.66724 1.17022
   14 6776.614 1.527780   0.471628 4819.68 1283.220 47.5445 1.015580 1.72209 3.60731 1.22537
   15 6775.521 1.575620   0.478685 4392.12 1127.570 48.1756 1.031100 1.73302 3.55420 1.25701
   16 6774.925 1.603490   0.487333 4367.32 1098.590 48.8537 1.033700 1.74342 3.53687 1.26164
   17 6774.732 1.631950   0.488688 4347.27 1068.720 48.8766 1.019000 1.74238 3.54875 1.26481
   18 6774.564 1.656170   0.488746 4266.60 1040.660 48.7852 1.005810 1.74136 3.55536 1.26771
   19 6774.293 1.688120   0.487488 4097.66  992.217 48.6299 1.004820 1.74466 3.55453 1.27267
   20 6773.856 1.795520   0.483411 3441.45  812.932 48.0687 1.004910 1.75905 3.53613 1.28558
   21 6773.569 1.826340   0.482335 3261.85  786.861 48.0098 1.025660 1.78012 3.52563 1.26510
   22 6773.192 1.848480   0.484171 3179.27  748.980 48.1218 1.032900 1.78906 3.51353 1.25909
   23 6773.138 1.891420   0.487411 2929.21  671.173 48.2927 1.045630 1.81390 3.47349 1.23079
   24 6772.619 1.819180   0.490427 3221.25  750.401 48.6495 1.044980 1.81308 3.46713 1.20611
   25 6772.357 1.771800   0.489517 3284.33  786.862 48.5911 1.035950 1.80339 3.47058 1.21543
   26 6772.313 1.771200   0.487812 3235.84  777.471 48.4628 1.037150 1.80656 3.46626 1.20799
   27 6772.301 1.763990   0.486471 3264.59  785.449 48.3410 1.034580 1.80809 3.47285 1.20098
   28 6772.301 1.763990   0.486470 3264.59  785.448 48.3409 1.034580 1.80810 3.47285 1.20097
   29 6772.298 1.762770   0.486829 3255.35  785.677 48.2916 1.033250 1.80707 3.46414 1.19887
   30 6772.294 1.763000   0.487124 3258.18  785.964 48.3218 1.034240 1.80912 3.46266 1.19848
   31 6772.291 1.760220   0.487208 3264.13  785.440 48.3649 1.036310 1.81421 3.45366 1.19608
   32 6772.285 1.759100   0.487509 3260.74  785.945 48.3588 1.037570 1.81926 3.43727 1.19119
   33 6772.281 1.759490   0.487231 3260.28  786.427 48.2916 1.037390 1.81971 3.43586 1.19022
   34 6772.279 1.760460   0.487070 3260.04  786.654 48.2065 1.036210 1.82026 3.43823 1.19051
   35 6772.277 1.760890   0.486918 3262.41  787.074 48.0646 1.033680 1.82394 3.43804 1.18960
   36 6772.275 1.761550   0.486778 3263.98  787.411 47.9901 1.032220 1.82867 3.43419 1.18822
   37 6772.272 1.761580   0.486866 3265.73  787.473 47.9102 1.031340 1.83430 3.42549 1.18580
   38 6772.270 1.759690   0.487177 3267.36  787.504 47.8443 1.031240 1.84196 3.41007 1.18212
   39 6772.270 1.759630   0.487176 3267.49  787.533 47.8368 1.031140 1.84246 3.40919 1.18188
   40 6772.270 1.759590   0.487175 3267.56  787.558 47.8319 1.031070 1.84278 3.40868 1.18174
   41 6772.270 1.760590   0.487272 3266.74  787.722 47.8428 1.031760 1.84198 3.40876 1.18161
