Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,dVdWT,CEps
WorkFlow,1,,,,,,,,,
WorkFlow,-0.0708642400231772,1,,,,,,,,
WorkFlow,-0.368312098466805,0.057693145524701,1,,,,,,,
WorkFlow,-0.632573408549248,-0.189967821971738,0.630552486458201,1,,,,,,
WorkFlow,-0.0353163775813873,0.075511923163617,0.0379567903008694,-0.00736530173306387,1,,,,,
WorkFlow,-0.0936834890499695,0.0318566895647469,-0.156300317007422,-0.0489350481690611,0.846353371501117,1,,,,
WorkFlow,-0.124892434522926,-0.0207151297511419,-0.0534521548440118,0.0364510901760229,-0.559540662085023,-0.113717204172584,1,,,
WorkFlow,-0.164286862876482,-0.00348232095605998,-0.0230813017297994,0.0499205198751435,0.508467036388318,0.819580197756436,0.421308678403471,1,,
WorkFlow,-0.0215700985789676,-0.164128922226012,-0.121738605461107,0.131983209171181,0.0227629463595915,-0.032914563410576,-0.178765836471555,-0.125895864830763,1,
WorkFlow,-0.0590507743231858,0.103705670055603,0.139324126711768,-0.0229122263243022,-0.357495207775674,-0.664102602749647,-0.421772180410899,-0.842773338388201,-0.0418752908585854,1
