
 WorkFlow
Start 2024-10-22 12:41:49  Run : 5.55 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa        K12      K21         K13       K31    dVdWT
    1 7646.367 1.60014   1.188110 3999.91 4000.140 41.5472 1.177430 0.69436000 4.362880 0.121348000 0.0439322 1.093990
    2 7646.137 1.60014   1.188110 3999.92 4000.130 41.5474 1.177430 0.69440200 4.362850 0.121348000 0.0439321 1.093990
    3 7236.760 1.58789   1.167100 4013.36 3980.730 42.3485 1.173250 0.75157200 4.186990 0.117629000 0.0435422 1.094730
    4 7046.086 1.59009   1.124270 3997.41 4002.680 43.2549 1.168720 0.80300700 3.965300 0.115806000 0.0441917 1.094480
    5 6946.001 1.56815   0.996809 4031.21 3955.450 46.9394 1.129230 0.78313500 4.055670 0.120386000 0.0429850 1.091110
    6 6857.789 1.50987   0.587723 4115.69 3839.910 60.0625 0.995007 0.75587000 4.140060 0.133039000 0.0408365 1.077990
    7 6824.657 1.52616   0.774628 4082.59 3884.190 52.4984 1.082380 0.76784900 4.081940 0.124176000 0.0425071 1.078760
    8 6800.035 1.50456   0.697695 4105.26 3852.810 53.8395 1.069990 0.75999400 4.094090 0.123756000 0.0428049 1.071930
    9 6783.096 1.44370   0.568052 4162.09 3774.660 54.6325 1.061750 0.73969200 4.114750 0.118570000 0.0446763 1.053130
   10 6769.110 1.41523   0.572178 4183.25 3745.780 53.3588 1.075610 0.73406900 4.103530 0.114675000 0.0460285 1.046430
   11 6763.048 1.19810   0.503219 4370.18 3500.760 48.6225 1.133280 0.68353500 4.059160 0.093015200 0.0552772 0.998889
   12 6734.597 1.26217   0.546549 4316.92 3565.890 50.9453 1.115240 0.69207700 4.052350 0.101557000 0.0521275 1.016040
   13 6712.438 1.15764   0.525995 4422.26 3437.140 50.8895 1.133230 0.66886700 4.015800 0.096651900 0.0551438 1.001630
   14 6700.112 1.07762   0.509921 4507.12 3336.340 50.8489 1.147600 0.65067600 3.986790 0.092844900 0.0576019 0.990252
   15 6697.256 1.03283   0.499017 4567.73 3259.390 51.8237 1.158650 0.63766300 3.954330 0.090418200 0.0598359 0.978101
   16 6693.109 1.04114   0.502169 4573.27 3238.720 53.2193 1.165120 0.63499000 3.925500 0.090379700 0.0607943 0.971268
   17 6682.890 1.05977   0.512121 4612.25 3112.620 58.6530 1.222800 0.61196500 3.769320 0.087955700 0.0667856 0.934919
   18 6676.141 1.07984   0.526625 4659.47 2968.600 63.9058 1.315550 0.58287400 3.583240 0.084558500 0.0742803 0.893133
   19 6670.312 1.09881   0.537215 4728.62 2792.580 69.0732 1.451670 0.54577100 3.357810 0.079969600 0.0838027 0.844052
   20 6665.016 1.11379   0.537850 4813.74 2613.510 72.6582 1.608320 0.50807100 3.132990 0.075236400 0.0933748 0.798325
   21 6660.412 1.13222   0.527031 4914.12 2431.240 74.2289 1.779580 0.47202800 2.910850 0.070901200 0.1021350 0.758442
   22 6658.031 1.16432   0.515840 5011.95 2280.740 74.5409 1.923730 0.44660500 2.729290 0.068409900 0.1081340 0.731654
   23 6655.930 1.22574   0.506422 5179.33 2052.870 75.5928 2.121820 0.41307600 2.464660 0.065676500 0.1166130 0.695549
   24 6650.074 1.40908   0.498779 5614.98 1545.890 77.9199 2.530130 0.34343300 1.883280 0.060808000 0.1361540 0.620278
   25 6648.781 1.46063   0.498014 5716.59 1443.970 78.2675 2.610370 0.32901800 1.761150 0.059875900 0.1405250 0.604730
   26 6647.500 1.76914   0.497986 6153.96 1086.280 76.5565 2.877680 0.27949500 1.296350 0.058068300 0.1540990 0.557010
   27 6639.201 1.70400   0.504905 5972.14 1285.320 75.1873 2.775530 0.31088500 1.518600 0.060869400 0.1428560 0.594073
   28 6636.802 1.79666   0.498728 6094.80 1195.300 76.5933 2.844380 0.29241500 1.404010 0.058507100 0.1491950 0.574109
   29 6634.519 1.95794   0.495226 6301.79 1063.110 77.3325 2.927950 0.26650800 1.242310 0.055097300 0.1577630 0.549421
   30 6632.156 2.18276   0.492277 6571.95  928.575 78.0723 2.986910 0.23545600 1.087610 0.049595000 0.1686530 0.523125
   31 6626.910 2.34092   0.492429 6746.68  881.093 78.1949 2.998980 0.21715700 1.047790 0.044462500 0.1749600 0.514044
   32 6620.720 2.48813   0.496226 6922.30  838.925 77.4339 2.998030 0.19672000 1.039030 0.037665600 0.1819390 0.509647
   33 6616.037 2.56787   0.495320 7043.84  804.690 77.7805 2.989420 0.17392100 1.058990 0.029760500 0.1917240 0.502697
   34 6612.504 2.48366   0.493021 6982.89  857.698 78.8836 2.995280 0.16032600 1.198650 0.022406900 0.1986700 0.509598
   35 6612.383 2.56603   0.489328 7102.89  814.827 81.0017 2.978980 0.13655100 1.176450 0.016474800 0.2122260 0.494604
   36 6611.258 2.56549   0.490572 7085.36  831.600 81.1090 2.980070 0.13817400 1.167570 0.017046000 0.2113960 0.497160
   37 6610.695 2.60435   0.491263 7115.52  834.821 81.7261 2.970530 0.13012300 1.147350 0.015309200 0.2162180 0.496201
   38 6609.893 2.70933   0.491520 7202.67  832.201 82.9624 2.932600 0.10771400 1.095880 0.010620700 0.2303610 0.493462
   39 6609.133 2.80755   0.491575 7276.77  826.434 83.6118 2.879060 0.08773290 1.041700 0.006912180 0.2444760 0.493221
   40 6607.417 3.05308   0.490532 7437.36  812.129 84.7090 2.666850 0.04488260 0.894761 0.001043460 0.2835840 0.496737
   41 6605.994 3.08674   0.489848 7434.39  805.504 83.9523 2.601610 0.03682420 0.856488 0.000460339 0.2929990 0.503252
   42 6601.678 3.05423   0.484880 7258.06  772.309 80.5638 2.395760 0.01848060 0.727283 0.000215623 0.3216000 0.532743
   43 6601.027 3.06796   0.484247 7249.80  768.103 80.4162 2.344760 0.01503630 0.705180 0.000447007 0.3286590 0.536026
   44 6601.018 2.99858   0.482284 7084.63  752.531 80.9840 2.148230 0.00427177 0.624696 0.002913880 0.3628070 0.552757
   45 6598.867 2.92918   0.484247 7064.90  769.436 82.1753 2.293310 0.00944342 0.677634 0.001269070 0.3462750 0.545202
   46 6598.486 2.87442   0.484150 6991.10  768.467 82.9147 2.279780 0.00785987 0.670156 0.001662300 0.3525250 0.550058
   47 6598.285 2.83361   0.484058 6924.90  763.799 83.5376 2.262490 0.00627554 0.664114 0.002195880 0.3590400 0.558287
   48 6598.143 2.81458   0.483952 6887.00  760.188 83.7807 2.263300 0.00571406 0.668680 0.002490130 0.3615120 0.567081
