Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,,
WorkFlow,0.215988707471947,1,,,,,,,,,,
WorkFlow,0.340111693675683,0.0157391711999408,1,,,,,,,,,
WorkFlow,-0.211728854601668,0.0501338046852145,0.808339617463236,1,,,,,,,,
WorkFlow,0.0595731402810406,-0.315149018185361,-0.129666260357132,-0.177538173452894,1,,,,,,,
WorkFlow,0.0374477613159823,-0.388204644142805,-0.10752929477842,-0.156983191211844,0.984565404266903,1,,,,,,
WorkFlow,-0.252708362476611,-0.565336223079746,0.0786904717887748,0.0652796434828182,-0.469098504177115,-0.39841297557908,1,,,,,
WorkFlow,0.0197633236968408,-0.495852844624997,-0.110807459266294,-0.168107597207338,0.90671224135012,0.876377545364785,-0.278149263278176,1,,,,
WorkFlow,-0.0249721879374776,0.480730440581009,0.111423400055784,0.167756022598818,-0.907235605165076,-0.874866860220411,0.295466167447402,-0.99978752749258,1,,,
WorkFlow,0.130041095512033,-0.0240296295511186,-0.0724899968294434,-0.133474959362216,0.666678436547026,0.705128053051985,-0.46899866937356,0.309712217685068,-0.308449780928435,1,,
WorkFlow,0.32199090966842,-0.458779515986742,0.251184892606745,-0.131582666149869,0.0653548328312205,0.118384404449714,0.418031938045758,0.178778149662436,-0.168555631382095,-0.0391060968960682,1,
WorkFlow,0.0731770104190416,0.263824256582123,0.333771557587983,0.329718281854096,-0.355923036538336,-0.390308930697635,0.0115422108804505,-0.316042641105054,0.312061765272074,-0.279916452679114,-0.190530108542208,1
