Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,stdev0,nVmax-nVmax
WorkFlow,GAMMA,1.409378,,,,,,,,,,,,
WorkFlow,CMultStdev,0.060715645,0.056067557,,,,,,,,,,,
WorkFlow,tvVmax,6072.8219,56.052232,226209300,,,,,,,,,,
WorkFlow,tvKm,-2386.158,112.69169,115412940,90117843,,,,,,,,,
WorkFlow,tvV,4.4747169,-4.721425,-123391.01,-106634.68,4003.1571,,,,,,,,
WorkFlow,tvKa,0.084395938,-0.17450123,-3070.1809,-2829.0491,118.25726,3.6038265,,,,,,,
WorkFlow,K12,-0.010495684,-0.0046831711,41.405189,21.680064,-1.0383476,-0.026460181,0.001223925,,,,,,
WorkFlow,K21,0.18976392,-0.94961712,-13479.201,-12907.218,463.99223,13.45591,-0.078703712,65.415372,,,,,
WorkFlow,K13,-0.054589053,0.20960066,3085.7934,2932.3697,-105.69553,-3.0581523,0.019033575,-14.889593,3.3905521,,,,
WorkFlow,K31,0.16373881,-0.0060347622,-1156.3534,-1343.8861,44.737839,1.4197347,-0.017402285,2.6567795,-0.60238889,1.1249016,,,
WorkFlow,dVdWT,0.12638622,-0.035917177,1249.0824,-412.99655,1.3671664,0.074305127,0.0048353644,0.47807573,-0.10261736,-0.013713367,0.10931625,,
WorkFlow,stdev0,0.18067697,0.12992267,10440.443,6509.7274,-46.835137,-1.5410077,0.00083980949,-5.3161836,1.1950612,-0.61744756,-0.1310148,4.3254248,
WorkFlow,nVmax-nVmax,0.21410113,0.17959507,-3932.9906,-859.47086,-14.504486,-0.5540409,-0.018259218,-3.0393152,0.6652668,0.0020581696,-0.21925736,0.3667119,1.2811883
