
 WorkFlow
Start 2024-10-22 12:47:40  Run : 15.1166666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12      K21       K13       K31    dVdWT
    1 8169.868 1.855240   1.133190 3895.07 4139.560 45.0016 1.199280 1.022800 3.918200 0.1181190 0.0239669 1.097140
    2 6963.676 1.863580   1.145200 3886.02 4152.220 44.2606 1.196090 0.778470 4.116460 0.1224770 0.0238135 1.096700
    3 6960.747 1.863630   1.139490 3885.95 4152.310 44.3991 1.193890 0.780074 4.114790 0.1224190 0.0238373 1.096770
    4 6908.401 1.865920   0.997349 3883.57 4155.840 47.9617 1.136620 0.792565 4.093940 0.1213880 0.0245150 1.098520
    5 6841.014 1.870460   0.790237 3879.10 4162.530 53.8505 1.045470 0.785133 4.081850 0.1201760 0.0256644 1.101260
    6 6836.209 1.881520   0.423848 3868.38 4178.670 67.7085 0.852679 0.736319 4.081100 0.1180020 0.0283152 1.107150
    7 6768.325 1.874310   0.671500 3875.33 4168.220 57.7379 0.986085 0.752302 4.095310 0.1196990 0.0264966 1.102970
    8 6753.216 1.875920   0.623064 3873.64 4170.760 59.4355 0.960309 0.739349 4.099810 0.1193650 0.0268805 1.103700
    9 6749.492 1.877450   0.573670 3871.77 4173.530 61.1953 0.932771 0.727654 4.102570 0.1187640 0.0273219 1.104460
   10 6748.692 1.877030   0.583751 3872.00 4173.150 60.7577 0.937833 0.729597 4.101830 0.1186540 0.0272720 1.104270
   11 6747.486 1.876520   0.590608 3871.84 4173.270 60.3217 0.940034 0.730379 4.100680 0.1181060 0.0273217 1.104090
   12 6742.354 1.874310   0.607743 3870.17 4175.080 58.6629 0.940373 0.729957 4.095100 0.1147810 0.0277985 1.103410
   13 6734.716 1.870810   0.618125 3866.22 4179.700 56.3600 0.928939 0.723962 4.085770 0.1083970 0.0289120 1.102480
   14 6724.376 1.865880   0.610648 3859.07 4188.340 53.5799 0.897875 0.707868 4.072670 0.0983411 0.0309627 1.101370
   15 6713.866 1.862130   0.579422 3851.76 4197.410 51.9703 0.857149 0.685094 4.063710 0.0895301 0.0331025 1.100780
   16 6709.109 1.860880   0.540372 3847.51 4202.780 52.0925 0.825402 0.665530 4.062040 0.0853468 0.0343860 1.100930
   17 6708.900 1.860800   0.542587 3848.33 4201.590 52.2322 0.829546 0.667695 4.061820 0.0859918 0.0342253 1.101010
   18 6708.695 1.860180   0.542642 3849.36 4199.910 52.4324 0.833825 0.669187 4.060550 0.0865099 0.0341278 1.101160
   19 6708.242 1.857510   0.541290 3852.02 4195.180 52.8418 0.844661 0.670887 4.055620 0.0872594 0.0340526 1.101560
   20 6707.389 1.850100   0.537978 3857.80 4184.400 53.4839 0.868527 0.671337 4.042680 0.0879582 0.0341498 1.102420
   21 6705.770 1.831750   0.530900 3870.07 4160.690 54.4205 0.920232 0.667319 4.011370 0.0878886 0.0347837 1.104220
   22 6703.350 1.795810   0.520589 3892.14 4117.250 55.4970 1.016230 0.654053 3.951140 0.0858893 0.0364475 1.107350
   23 6701.461 1.751520   0.513616 3917.86 4066.200 56.0732 1.131950 0.633505 3.877960 0.0818698 0.0388971 1.110890
   24 6701.082 1.722740   0.512925 3933.91 4034.220 56.0707 1.204620 0.618261 3.831120 0.0785556 0.0406867 1.113020
   25 6701.079 1.717700   0.512850 3936.60 4028.810 56.0583 1.215670 0.615304 3.823070 0.0778841 0.0410226 1.113390
   26 6701.043 1.711070   0.512709 3939.89 4022.070 56.0267 1.226780 0.610984 3.812750 0.0768379 0.0414951 1.113850
   27 6701.026 1.693270   0.512419 3949.04 4003.620 56.1389 1.252420 0.599810 3.785720 0.0742971 0.0426847 1.115170
   28 6700.849 1.677920   0.512005 3957.13 3987.670 56.4310 1.268350 0.591036 3.762890 0.0722772 0.0436475 1.116400
   29 6699.932 1.623700   0.512230 3987.65 3929.310 58.1888 1.317460 0.563287 3.684030 0.0665082 0.0467016 1.121130
   30 6698.297 1.505680   0.510728 4058.31 3798.070 62.9536 1.428730 0.509016 3.510660 0.0557168 0.0534305 1.132050
   31 6697.050 1.437400   0.511376 4102.13 3719.110 66.2156 1.502680 0.479299 3.410020 0.0505907 0.0573328 1.138760
   32 6695.734 1.369070   0.511865 4147.35 3638.990 69.6417 1.579650 0.449796 3.308300 0.0456169 0.0614750 1.145640
   33 6694.648 1.302320   0.512323 4192.96 3559.550 73.1807 1.657250 0.421204 3.208010 0.0409420 0.0657505 1.152570
   34 6692.832 1.235990   0.513726 4240.36 3478.770 77.1623 1.735220 0.393281 3.108100 0.0368055 0.0700475 1.159780
   35 6689.833 1.158800   0.516591 4298.78 3381.910 82.6721 1.823970 0.362088 2.991700 0.0327716 0.0749614 1.168710
   36 6683.384 1.079670   0.526715 4365.81 3275.930 91.1964 1.891940 0.335024 2.876440 0.0310354 0.0786049 1.179120
   37 6681.401 1.090750   0.522983 4361.48 3285.700 91.6107 1.886390 0.343644 2.894790 0.0332479 0.0769234 1.178260
   38 6680.687 1.074220   0.515464 4379.46 3260.000 93.1571 1.941070 0.340881 2.867340 0.0334822 0.0777207 1.180380
   39 6679.184 1.066850   0.508522 4395.90 3241.630 93.6297 2.019250 0.346811 2.854420 0.0353818 0.0773524 1.181210
   40 6677.411 1.063420   0.509333 4410.73 3228.060 93.0597 2.091930 0.355539 2.850190 0.0375145 0.0765429 1.181140
   41 6675.711 1.062790   0.515831 4425.97 3217.100 92.0939 2.152140 0.367244 2.854540 0.0402339 0.0751035 1.180510
   42 6674.993 1.060660   0.520827 4436.36 3209.350 91.8145 2.169090 0.372448 2.857440 0.0415466 0.0742898 1.180340
   43 6673.838 1.055580   0.528286 4457.47 3194.360 91.4901 2.179480 0.380566 2.865050 0.0436744 0.0727915 1.180080
   44 6672.287 1.047940   0.535413 4485.58 3176.120 91.1714 2.154070 0.387496 2.879140 0.0455071 0.0710226 1.179690
   45 6666.657 1.021050   0.557130 4587.01 3118.460 89.8633 1.926590 0.403661 2.950700 0.0495134 0.0648771 1.177500
   46 6659.492 0.993035   0.573740 4760.64 3040.850 85.9447 1.441290 0.441367 3.120960 0.0580984 0.0533940 1.170810
   47 6656.336 0.997985   0.554579 4748.98 3048.430 85.5833 1.492540 0.439351 3.112850 0.0575837 0.0542543 1.170700
   48 6651.408 1.006960   0.481785 4786.35 3051.000 81.2314 1.342730 0.440079 3.187650 0.0567971 0.0525141 1.165840
   49 6648.997 0.993253   0.498850 4805.21 3026.780 81.4305 1.429400 0.442658 3.162930 0.0582435 0.0525591 1.167200
