
 WorkFlow
Start 2024-10-22 13:03:06  Run : 38.6333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31    dVdWT
    1 7968.269 1.731070   1.123560 3928.55 4067.760 44.6414 1.202200 0.991750 3.95579 0.1185340 0.0248885 1.097040
    2 6998.898 1.739850   1.134170 3920.64 4079.010 43.9802 1.198920 0.750408 4.15135 0.1229890 0.0247816 1.096580
    3 6979.015 1.739150   1.127590 3921.09 4078.290 44.1903 1.197550 0.774799 4.13227 0.1225740 0.0247512 1.096650
    4 6974.991 1.739180   1.119370 3921.04 4078.350 44.4083 1.195120 0.780137 4.12755 0.1225150 0.0247710 1.096690
    5 6962.166 1.739780   1.083960 3920.46 4079.180 45.3320 1.184160 0.788158 4.11865 0.1225300 0.0248869 1.096840
    6 6930.806 1.742210   0.983133 3918.31 4082.300 48.0608 1.151600 0.794594 4.10588 0.1228700 0.0252612 1.097250
    7 6865.538 1.748930   0.757269 3912.42 4090.900 55.0053 1.072160 0.788062 4.09186 0.1240540 0.0262268 1.098190
    8 6826.258 1.757940   0.523381 3904.55 4102.510 63.9827 0.976924 0.756746 4.09297 0.1258170 0.0274823 1.099270
    9 6798.582 1.754450   0.626616 3907.52 4098.180 59.7204 1.019830 0.751595 4.10691 0.1252130 0.0269766 1.098690
   10 6794.433 1.755190   0.614134 3906.73 4099.380 60.1543 1.014420 0.740525 4.11338 0.1252840 0.0271138 1.098660
   11 6794.150 1.755150   0.612562 3906.60 4099.570 60.1466 1.014090 0.739255 4.11360 0.1251250 0.0271643 1.098590
   12 6792.276 1.754320   0.604666 3905.70 4100.690 59.8212 1.014000 0.732549 4.11262 0.1235680 0.0275748 1.097870
   13 6788.929 1.752140   0.593124 3904.13 4102.540 58.9239 1.016270 0.723059 4.10752 0.1201700 0.0284193 1.096320
   14 6780.869 1.745510   0.568276 3900.30 4106.870 56.2254 1.025750 0.703280 4.08945 0.1108780 0.0307722 1.092030
   15 6773.277 1.734800   0.540947 3895.44 4112.110 52.0333 1.044080 0.680640 4.05891 0.0976233 0.0343919 1.085640
   16 6771.816 1.733990   0.549338 3896.27 4110.840 51.7955 1.047840 0.683986 4.05711 0.0976167 0.0343298 1.085650
   17 6770.953 1.734660   0.556338 3898.03 4108.470 52.4772 1.046450 0.691465 4.05849 0.0996756 0.0337298 1.086700
