
 WorkFlow
Start 2024-10-19 10:34:04  Run : 2.68333333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm      tvV     tvKa     K12      K21
    1 6395.573   0.588582 5797.88 1589.37 41.39490 1.157220 1.84937 3.191170
    2 6376.099   0.558184 5779.49 1612.76 43.49010 1.148810 1.88025 3.147870
    3 6372.705   0.530236 5648.83 1707.97 43.08940 1.179940 1.88186 3.125870
    4 6372.590   0.518119 5679.34 1684.21 42.91050 1.193400 1.88450 3.121220
    5 6372.369   0.524635 5671.62 1691.39 42.86070 1.202210 1.88778 3.116060
    6 6372.294   0.527865 5675.55 1693.03 42.92420 1.216610 1.89666 3.108780
    7 6372.232   0.526666 5671.01 1687.67 42.89790 1.221190 1.90167 3.099560
    8 6372.189   0.527477 5674.60 1685.62 42.89630 1.231690 1.91209 3.093360
    9 6372.129   0.526530 5660.88 1681.89 42.83720 1.232030 1.91884 3.091820
   10 6372.036   0.524229 5637.45 1674.08 42.70670 1.221110 1.92304 3.082880
   11 6371.958   0.524066 5598.08 1656.84 42.50150 1.204410 1.93343 3.060930
   12 6371.938   0.523841 5556.22 1642.94 42.24610 1.196970 1.94194 3.031120
   13 6371.914   0.524578 5531.50 1637.34 42.07910 1.197650 1.94891 3.002350
   14 6371.911   0.524820 5512.59 1633.02 41.96600 1.197510 1.95370 2.984470
   15 6371.911   0.526368 5467.53 1614.18 41.67790 1.199940 1.96794 2.927150
   16 6371.896   0.525930 5495.76 1624.21 41.84470 1.202000 1.96213 2.955200
   17 6371.882   0.526662 5514.91 1629.29 41.89720 1.209420 1.96221 2.956430
   18 6371.876   0.526509 5519.33 1629.78 41.87550 1.206890 1.96333 2.957360
   19 6371.832   0.526227 5523.15 1624.55 41.46760 1.191030 1.98162 2.919380
   20 6371.747   0.526207 5500.36 1601.78 40.05060 1.150860 2.04381 2.762770
   21 6371.605   0.525935 5468.37 1579.97 38.09440 1.105370 2.12832 2.554590
   22 6371.523   0.525730 5451.43 1571.41 37.16440 1.084940 2.16752 2.460060
   23 6371.409   0.524981 5401.82 1546.73 34.27280 1.020140 2.29393 2.175440
   24 6371.252   0.524643 5415.23 1560.08 34.70600 1.038630 2.26713 2.223830
   25 6371.002   0.523788 5382.55 1569.38 33.61340 1.021960 2.29549 2.133440
   26 6370.745   0.523156 5315.41 1573.03 31.34780 0.966381 2.36699 1.946320
   27 6370.491   0.522850 5291.48 1580.55 29.52310 0.909078 2.42378 1.814430
   28 6370.361   0.522573 5273.38 1579.38 28.13320 0.869868 2.47406 1.706390
   29 6369.748   0.521706 5224.78 1571.29 23.37590 0.726216 2.63660 1.370610
   30 6368.983   0.521565 5225.89 1563.52 21.11630 0.664838 2.69758 1.229770
   31 6368.310   0.521315 5210.36 1552.47 18.46890 0.593903 2.78759 1.051450
   32 6367.950   0.521112 5209.28 1548.72 17.21250 0.561407 2.82813 0.970050
   33 6367.571   0.521025 5207.51 1543.35 15.87930 0.525138 2.87064 0.885909
   34 6367.149   0.520922 5258.27 1525.62 11.18090 0.406035 3.01570 0.601757
   35 6366.456   0.521970 5305.19 1538.06 13.08140 0.456156 2.94052 0.729406
   36 6365.874   0.522026 5316.95 1547.92 12.52250 0.426671 2.96474 0.699008
   37 6364.765   0.521165 5346.49 1564.92  9.74992 0.334090 3.05161 0.539611
   38 6363.545   0.519832 5351.04 1578.57  8.27666 0.292777 3.07991 0.456536
   39 6361.128   0.513611 5414.58 1658.99  5.44264 0.216670 3.08547 0.311047
   40 6360.303   0.513224 5447.11 1674.87  4.94863 0.198229 3.09907 0.284481
   41 6358.780   0.513361 5490.96 1695.47  4.61143 0.182940 3.10392 0.268902
   42 6357.918   0.516065 5740.19 1786.67  3.53791 0.133236 3.09660 0.221499
   43 6357.092   0.520039 5715.51 1754.94  4.26274 0.156611 3.06869 0.262234
   44 6356.376   0.518887 5638.60 1729.76  4.03248 0.159320 3.05412 0.238526
   45 6355.280   0.520410 5712.26 1750.46  3.99997 0.153251 3.02834 0.240311
   46 6354.601   0.520713 5787.58 1774.23  3.78706 0.143923 2.98392 0.228501
   47 6353.508   0.521362 6025.77 1853.99  3.15416 0.117250 2.80017 0.188207
   48 6352.745   0.521783 5997.11 1840.94  3.45347 0.127680 2.77089 0.202356
   49 6351.820   0.521904 6121.21 1883.79  3.39727 0.122774 2.62271 0.192552
   50 6349.830   0.520654 6687.62 2092.45  3.13748 0.100634 2.04317 0.152338
   51 6349.714   0.520355 6616.14 2073.23  3.47292 0.110589 2.07209 0.168974
   52 6349.225   0.519005 6571.71 2058.88  3.44910 0.111573 2.15006 0.170999
   53 6348.392   0.516650 6718.75 2122.46  3.51646 0.109054 2.02365 0.165756
   54 6347.774   0.514572 6850.73 2184.27  3.77535 0.110602 1.87353 0.165394
   55 6347.621   0.513943 6868.89 2199.75  4.12907 0.116214 1.79187 0.170802
   56 6347.621   0.513946 6868.67 2199.65  4.12956 0.116227 1.79191 0.170817
   57 6347.621   0.513947 6868.82 2199.59  4.12955 0.116063 1.79189 0.170812
   58 6347.621   0.513947 6868.83 2199.58  4.12962 0.116167 1.79192 0.170812
   59 6347.621   0.513949 6868.91 2199.56  4.12959 0.116111 1.79191 0.170811
   60 6347.621   0.513950 6868.94 2199.54  4.12957 0.116094 1.79190 0.170811
   61 6347.620   0.513955 6869.02 2199.52  4.12955 0.116150 1.79188 0.170811
   62 6347.620   0.513958 6869.10 2199.49  4.12952 0.116098 1.79187 0.170810
   63 6347.620   0.513963 6869.18 2199.47  4.12950 0.116151 1.79185 0.170810
   64 6347.620   0.513965 6869.25 2199.44  4.12947 0.116099 1.79184 0.170809
   65 6347.620   0.513966 6869.28 2199.43  4.12946 0.116082 1.79183 0.170808
   66 6347.620   0.513971 6869.36 2199.41  4.12943 0.116139 1.79182 0.170808
   67 6347.620   0.513974 6869.43 2199.39  4.12940 0.116089 1.79180 0.170807
   68 6347.620   0.513979 6869.51 2199.36  4.12938 0.116142 1.79179 0.170807
   69 6347.620   0.513981 6869.58 2199.34  4.12936 0.116091 1.79178 0.170806
   70 6347.620   0.513982 6869.60 2199.33  4.12934 0.116075 1.79177 0.170805
   71 6347.620   0.513987 6869.68 2199.31  4.12932 0.116131 1.79175 0.170805
   72 6347.620   0.513989 6869.75 2199.28  4.12930 0.116081 1.79174 0.170804
   73 6347.620   0.513994 6869.82 2199.26  4.12928 0.116135 1.79173 0.170804
   74 6347.620   0.513996 6869.88 2199.24  4.12926 0.116084 1.79172 0.170802
   75 6347.620   0.513998 6869.94 2199.21  4.12922 0.116049 1.79170 0.170801
   76 6347.620   0.514003 6870.02 2199.19  4.12919 0.116111 1.79168 0.170801
   77 6347.619   0.514004 6870.04 2199.18  4.12918 0.116091 1.79168 0.170801
   78 6347.619   0.514004 6870.04 2199.18  4.12918 0.116091 1.79168 0.170801
