
 WorkFlow
Start 2024-10-22 13:42:00  Run : 39.9666666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm      tvV     tvKa      K12      K21       K13       K31    dVdWT
    1 8004.861 1.732170   1.123280 3929.82 4067.780  44.6665 1.202710 0.996079 3.950340 0.1184760 0.0247400 1.096160
    2 7011.862 1.740990   1.133830 3921.78 4079.240  43.9984 1.199260 0.756522 4.144330 0.1228630 0.0246319 1.095240
    3 7000.159 1.740450   1.127610 3922.16 4078.640  44.1828 1.197860 0.774393 4.130190 0.1225530 0.0246201 1.095140
    4 6996.264 1.740420   1.118840 3922.20 4078.550  44.4059 1.195310 0.779618 4.125480 0.1224760 0.0246495 1.094900
    5 6983.784 1.740790   1.081540 3922.08 4078.710  45.3400 1.184000 0.787658 4.116390 0.1224010 0.0248058 1.093800
    6 6954.604 1.742430   0.981243 3921.29 4079.820  47.9422 1.152270 0.793423 4.103940 0.1224740 0.0252739 1.090660
    7 6894.162 1.747200   0.757664 3918.77 4083.450  54.5083 1.075250 0.785714 4.090470 0.1229850 0.0264703 1.082930
    8 6855.775 1.753450   0.539526 3915.20 4088.690  62.3930 0.988671 0.754377 4.092460 0.1238590 0.0279212 1.074020
    9 6831.578 1.751600   0.624728 3916.04 4087.540  59.0700 1.022640 0.747093 4.106370 0.1236870 0.0274111 1.077360
   10 6828.439 1.752120   0.615528 3915.62 4088.260  59.3571 1.018160 0.736254 4.112900 0.1236560 0.0275561 1.076670
   11 6828.078 1.751940   0.617717 3915.66 4088.210  59.2167 1.018860 0.735841 4.112850 0.1234530 0.0275885 1.076520
   12 6821.821 1.747960   0.640328 3916.24 4087.330  56.9413 1.023730 0.726914 4.107270 0.1184750 0.0286030 1.071450
   13 6814.544 1.742560   0.646310 3916.87 4086.460  54.6096 1.020200 0.715053 4.095170 0.1112330 0.0303485 1.062720
   14 6803.382 1.731850   0.621644 3917.89 4085.190  51.0932 0.998231 0.689348 4.066320 0.0966175 0.0345337 1.042680
   15 6798.286 1.728190   0.577116 3918.04 4085.140  50.9116 0.975325 0.673374 4.054560 0.0909875 0.0366469 1.032860
   16 6797.176 1.728800   0.553617 3918.31 4084.760  52.0407 0.966771 0.671819 4.054580 0.0917479 0.0366532 1.032570
   17 6796.861 1.728400   0.555028 3918.93 4083.800  52.1183 0.968187 0.674151 4.053180 0.0919943 0.0365704 1.032850
   18 6796.666 1.728050   0.556896 3919.86 4082.400  52.3387 0.970407 0.676198 4.052830 0.0926745 0.0363687 1.033620
   19 6796.329 1.726130   0.559413 3922.90 4077.840  52.8100 0.975042 0.679026 4.050300 0.0937180 0.0361192 1.034300
   20 6795.821 1.721290   0.560746 3928.79 4069.070  53.3538 0.981046 0.679985 4.043170 0.0941802 0.0361525 1.033290
   21 6793.542 1.692230   0.567615 3962.99 4018.520  55.9978 1.013820 0.679074 4.001000 0.0951217 0.0369012 1.025040
   22 6790.257 1.643620   0.571896 4018.62 3937.530  59.6205 1.061420 0.668388 3.929510 0.0936202 0.0391449 1.007360
   23 6783.601 1.516510   0.583459 4168.77 3725.930  69.1690 1.188720 0.631846 3.743630 0.0881660 0.0459839 0.958953
   24 6775.952 1.369400   0.587246 4351.65 3481.270  80.5458 1.335820 0.577865 3.526240 0.0789894 0.0561164 0.898492
   25 6762.123 1.085040   0.588093 4748.48 2995.900 107.1750 1.643810 0.462825 3.098570 0.0613621 0.0806646 0.778054
   26 6754.377 1.080770   0.581737 4753.78 2989.880 106.7320 1.642900 0.446649 3.098580 0.0598663 0.0818048 0.774385
   27 6743.840 1.054750   0.549123 4782.08 2959.000 102.9220 1.632190 0.402905 3.061570 0.0481941 0.0904030 0.750123
   28 6740.008 1.113620   0.538594 4687.91 3068.850  93.5413 1.546930 0.410275 3.154610 0.0467758 0.0870271 0.769371
   29 6739.454 1.100500   0.540720 4706.98 3048.220  92.8873 1.556700 0.398123 3.139180 0.0443837 0.0892068 0.762357
   30 6739.329 1.089350   0.543079 4725.03 3028.740  93.0429 1.568020 0.391314 3.125330 0.0432963 0.0905020 0.757636
   31 6738.892 1.081550   0.546789 4741.60 3012.990  92.8045 1.576630 0.387525 3.119150 0.0429022 0.0909389 0.755777
   32 6738.598 1.069070   0.547259 4769.74 2987.440  91.8479 1.585690 0.379372 3.110380 0.0416031 0.0920229 0.752122
   33 6737.338 1.056200   0.549759 4806.31 2955.860  91.6697 1.600160 0.378046 3.103450 0.0420047 0.0917618 0.751699
   34 6730.560 1.016220   0.543724 4985.64 2824.950  84.9909 1.627470 0.381206 3.129020 0.0452100 0.0864136 0.766056
   35 6716.918 0.996499   0.532815 5180.95 2704.490  77.1988 1.636910 0.417506 3.207850 0.0560215 0.0741392 0.804771
   36 6708.591 0.985395   0.525557 5296.24 2635.240  73.4738 1.643650 0.442814 3.252930 0.0636759 0.0670858 0.828581
   37 6700.447 0.970842   0.513918 5449.24 2545.250  69.2526 1.652580 0.479232 3.310440 0.0749755 0.0582342 0.860549
   38 6699.068 0.967682   0.507809 5490.25 2521.040  69.1751 1.655630 0.494669 3.323040 0.0794344 0.0555763 0.870249
   39 6698.727 0.975732   0.508990 5443.93 2550.210  70.4448 1.648450 0.489914 3.312400 0.0771354 0.0572587 0.864086
   40 6698.499 0.984919   0.509898 5405.09 2577.270  70.7861 1.637110 0.486634 3.308700 0.0748965 0.0585372 0.860185
