Scenario,Parameter,Estimate,Units,Stderr,CV%,2.5%CI,97.5%CI,Var.Inf.factor
WorkFlow,GAMMA,1.7564941998859,,,,,,
WorkFlow,CMultStdev,1.11908325443189,,,,,,
WorkFlow,tvVmax,4487.51615313923,,,,,,
WorkFlow,tvKm,4432.33682614069,,,,,,
WorkFlow,tvV,50.0990602520091,,,,,,
WorkFlow,tvKa,1.57172854800662,,,,,,
WorkFlow,K12,0.524539192677968,,,,,,
WorkFlow,K21,3.92619960225056,,,,,,
WorkFlow,K13,1.35465285856431,,,,,,
WorkFlow,K31,0.000341574973991597,,,,,,
WorkFlow,dVdWT,1.35871551195324,,,,,,
WorkFlow,CEps,0.50159249831196,,,,,,
