
 WorkFlow
Start 2024-09-22 08:40:31  Run : 1.53611111111111 nSubj: 60 nObs : 480
 Iter      -2LL    GAMMA CMultStdev  tvVmax    tvKm     tvV    tvKa      K12      K21       K13        K31   dVdWT
    1 15459.519 1.601770   1.001340 3999.12 4001.33 49.9481 1.20000 1.952030 3.021160 0.1196100 0.00496817 1.09977
    2 13651.888 1.602110   1.001720 3998.84 4001.73 49.9289 1.19999 1.937480 3.027450 0.1244850 0.01236050 1.09967
    3 13186.863 1.602710   1.002400 3998.37 4002.37 49.8933 1.20005 1.910080 3.039320 0.1347400 0.01560150 1.09950
    4 12215.105 1.604710   1.004660 3996.84 4004.47 49.7761 1.20024 1.818970 3.079170 0.1716880 0.02109540 1.09894
    5  9605.811 1.610410   1.011120 3992.48 4010.43 49.4436 1.20074 1.563750 3.195230 0.3014540 0.03186110 1.09734
    6  7153.587 1.616170   1.017710 3988.03 4016.48 49.1073 1.20120 1.312930 3.317160 0.4721570 0.04579780 1.09571
    7  7126.679 1.616730   1.018330 3987.60 4017.07 49.0741 1.20122 1.289200 3.329130 0.4902800 0.04776280 1.09555
    8  7124.248 1.616700   1.018280 3987.62 4017.04 49.0735 1.20115 1.289860 3.328710 0.4885420 0.04798970 1.09554
    9  7100.153 1.615800   1.016610 3987.98 4016.45 49.0141 1.19783 1.297370 3.320590 0.4283130 0.06114100 1.09487
   10  7057.001 1.616340   1.017400 3987.66 4016.91 49.0145 1.19878 1.283110 3.329000 0.4542480 0.05814180 1.09497
   11  7023.906 1.616370   1.017170 3987.51 4017.06 48.9713 1.19756 1.270280 3.333850 0.4439070 0.06455690 1.09462
   12  6933.918 1.616350   1.015490 3986.78 4017.77 48.7204 1.19009 1.201280 3.359140 0.3773010 0.10977900 1.09249
   13  6917.909 1.616830   1.015200 3986.08 4018.59 48.5793 1.18670 1.149760 3.381230 0.3633200 0.13645300 1.09138
   14  6900.146 1.616710   1.014700 3986.03 4018.60 48.5388 1.18527 1.141180 3.383710 0.3482510 0.14677600 1.09101
   15  6900.016 1.616720   1.014570 3985.98 4018.66 48.5212 1.18475 1.135940 3.385730 0.3443920 0.15088200 1.09086
   16  6900.005 1.616720   1.014540 3985.96 4018.68 48.5155 1.18459 1.134160 3.386420 0.3432120 0.15222500 1.09081
   17  6900.000 1.616730   1.014490 3985.94 4018.70 48.5092 1.18441 1.132210 3.387170 0.3419630 0.15367700 1.09076
   18  6899.968 1.616740   1.014430 3985.91 4018.73 48.5007 1.18416 1.129380 3.388230 0.3403800 0.15568100 1.09069
   19  6899.944 1.616740   1.014380 3985.89 4018.74 48.4966 1.18404 1.127840 3.388720 0.3397280 0.15666900 1.09065
   20  6899.944 1.616740   1.014380 3985.89 4018.74 48.4966 1.18404 1.127840 3.388720 0.3397280 0.15666900 1.09065
   21  6899.894 1.616720   1.014210 3985.92 4018.70 48.4980 1.18398 1.126540 3.388730 0.3393630 0.15661300 1.09065
   22  6897.804 1.615820   1.008500 3986.88 4017.22 48.5467 1.18218 1.094410 3.384190 0.3201720 0.15482100 1.09053
   23  6892.275 1.612610   0.988443 3990.29 4011.95 48.7207 1.17584 0.985989 3.367730 0.2563820 0.14824600 1.09010
   24  6891.765 1.611560   0.981981 3991.41 4010.24 48.7779 1.17380 0.951954 3.362450 0.2374260 0.14600500 1.08996
   25  6891.730 1.610850   0.977604 3992.17 4009.07 48.8172 1.17243 0.929146 3.358830 0.2251890 0.14440800 1.08988
   26  6891.727 1.610760   0.977032 3992.27 4008.92 48.8224 1.17226 0.926191 3.358350 0.2236390 0.14418900 1.08987
   27  6891.708 1.610190   0.973527 3992.86 4007.99 48.8548 1.17118 0.908237 3.355330 0.2143800 0.14277300 1.08981
   28  6891.707 1.610090   0.972909 3992.97 4007.82 48.8605 1.17099 0.905109 3.354790 0.2127910 0.14251300 1.08980
   29  6891.684 1.609840   0.971340 3993.24 4007.41 48.8756 1.17052 0.897246 3.353390 0.2088350 0.14182100 1.08978
   30  6891.658 1.609580   0.969723 3993.52 4006.99 48.8912 1.17004 0.889246 3.351920 0.2048530 0.14108200 1.08976
   31  6891.635 1.609320   0.968063 3993.81 4006.56 48.9074 1.16955 0.881152 3.350390 0.2008620 0.14029700 1.08974
   32  6891.615 1.609050   0.966377 3994.11 4006.12 48.9241 1.16905 0.873035 3.348810 0.1968990 0.13947100 1.08973
   33  6891.596 1.608770   0.964658 3994.42 4005.66 48.9413 1.16855 0.864880 3.347170 0.1929550 0.13860300 1.08972
