"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",6808.8494
"WorkFlow",1,"CMultStdev",0.957906
"WorkFlow",1,"tvVmax",4256.26
"WorkFlow",1,"tvKm",3771.93
"WorkFlow",1,"tvV",49.3893
"WorkFlow",1,"tvKa",1.19021
"WorkFlow",1,"K12",1.95306
"WorkFlow",1,"K21",3.05007
"WorkFlow",2,"-2LL",6776.8957
"WorkFlow",2,"CMultStdev",0.925301
"WorkFlow",2,"tvVmax",4358.35
"WorkFlow",2,"tvKm",3676.47
"WorkFlow",2,"tvV",49.8752
"WorkFlow",2,"tvKa",1.1787
"WorkFlow",2,"K12",1.97776
"WorkFlow",2,"K21",3.03681
"WorkFlow",3,"-2LL",6724.05096
"WorkFlow",3,"CMultStdev",0.622099
"WorkFlow",3,"tvVmax",5047.16
"WorkFlow",3,"tvKm",3110.29
"WorkFlow",3,"tvV",60.7
"WorkFlow",3,"tvKa",1.06228
"WorkFlow",3,"K12",2.62295
"WorkFlow",3,"K21",2.75352
"WorkFlow",4,"-2LL",6678.74952
"WorkFlow",4,"CMultStdev",0.69203
"WorkFlow",4,"tvVmax",4841.53
"WorkFlow",4,"tvKm",3354.06
"WorkFlow",4,"tvV",58.101
"WorkFlow",4,"tvKa",1.06684
"WorkFlow",4,"K12",2.48007
"WorkFlow",4,"K21",2.71063
"WorkFlow",5,"-2LL",6634.66836
"WorkFlow",5,"CMultStdev",0.631258
"WorkFlow",5,"tvVmax",5024.87
"WorkFlow",5,"tvKm",3227.25
"WorkFlow",5,"tvV",60.7182
"WorkFlow",5,"tvKa",1.01933
"WorkFlow",5,"K12",2.62858
"WorkFlow",5,"K21",2.65316
"WorkFlow",6,"-2LL",6618.4733
"WorkFlow",6,"CMultStdev",0.598525
"WorkFlow",6,"tvVmax",5081.73
"WorkFlow",6,"tvKm",3093.42
"WorkFlow",6,"tvV",61.944
"WorkFlow",6,"tvKa",0.96027
"WorkFlow",6,"K12",2.638
"WorkFlow",6,"K21",2.8141
"WorkFlow",7,"-2LL",6615.24176
"WorkFlow",7,"CMultStdev",0.603069
"WorkFlow",7,"tvVmax",5036.19
"WorkFlow",7,"tvKm",3118.08
"WorkFlow",7,"tvV",61.5976
"WorkFlow",7,"tvKa",0.937292
"WorkFlow",7,"K12",2.60593
"WorkFlow",7,"K21",2.84263
"WorkFlow",8,"-2LL",6607.85674
"WorkFlow",8,"CMultStdev",0.597711
"WorkFlow",8,"tvVmax",4882.44
"WorkFlow",8,"tvKm",3126.8
"WorkFlow",8,"tvV",61.1864
"WorkFlow",8,"tvKa",0.813765
"WorkFlow",8,"K12",2.51471
"WorkFlow",8,"K21",2.99634
"WorkFlow",9,"-2LL",6606.92856
"WorkFlow",9,"CMultStdev",0.585817
"WorkFlow",9,"tvVmax",4802.74
"WorkFlow",9,"tvKm",3100.75
"WorkFlow",9,"tvV",61.2892
"WorkFlow",9,"tvKa",0.732431
"WorkFlow",9,"K12",2.4831
"WorkFlow",9,"K21",3.05777
"WorkFlow",10,"-2LL",6606.76486
