
 WorkFlow
Start 2024-09-09 07:00:37  Run : 2.85 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa      K12      K21
    1 6409.818   0.521468 6523.29 2224.88 49.5237 1.016950 1.859120 3.264920
    2 6401.660   0.490443 6736.67 1967.08 47.1500 0.919589 1.666190 3.485980
    3 6398.941   0.525364 6723.51 1941.47 46.5689 0.917430 1.634630 3.512520
    4 6392.993   0.529198 6608.41 1947.92 46.8518 0.923100 1.659150 3.465910
    5 6381.628   0.551317 5671.33 1807.96 46.9259 0.967900 1.758730 3.152400
    6 6372.585   0.519591 6380.11 1774.51 46.9436 0.930855 1.694040 3.341890
    7 6363.044   0.514096 6180.05 1719.72 46.6295 0.932878 1.694010 3.288620
    8 6357.999   0.509906 5979.11 1707.08 46.1338 0.932691 1.694220 3.265410
    9 6356.017   0.505743 5766.94 1702.03 45.9075 0.926120 1.703240 3.233710
   10 6355.607   0.504908 5653.43 1669.54 45.4936 0.918140 1.686000 3.207490
   11 6354.973   0.507476 5528.96 1603.06 45.6962 0.911922 1.684230 3.157500
   12 6353.585   0.511717 4992.75 1382.55 45.7831 0.891614 1.695070 2.966330
   13 6352.805   0.508539 4565.70 1251.24 46.4368 0.919658 1.639450 2.780460
   14 6352.772   0.507872 4497.64 1227.31 46.4723 0.926391 1.633690 2.741700
   15 6352.327   0.508162 4814.43 1337.32 45.9463 0.941989 1.638350 2.864220
   16 6352.071   0.505500 4630.23 1270.64 45.9665 0.970495 1.614110 2.765140
   17 6351.797   0.504553 4583.19 1253.70 45.9835 0.968716 1.594150 2.746050
   18 6350.655   0.498336 4297.89 1160.62 46.1317 0.960743 1.423880 2.623990
   19 6350.308   0.500110 4349.27 1182.23 46.1990 0.954352 1.448180 2.600410
   20 6349.789   0.506616 4373.73 1186.13 46.0937 0.943590 1.470470 2.461430
   21 6349.548   0.509041 4387.98 1185.00 45.9148 0.938929 1.464770 2.420520
   22 6348.460   0.522370 4417.34 1158.11 44.4032 0.901461 1.348790 1.948940
   23 6347.780   0.519719 4521.31 1200.62 44.1506 0.880038 1.282000 1.978030
   24 6347.226   0.512272 4606.20 1247.39 44.1260 0.867646 1.242370 1.963800
   25 6346.995   0.507106 4690.43 1295.56 43.9095 0.863014 1.191450 1.888880
   26 6346.976   0.507060 4711.38 1305.88 43.8479 0.858551 1.184890 1.864080
   27 6346.974   0.507191 4725.84 1311.74 43.7797 0.856778 1.179760 1.851860
   28 6346.973   0.507186 4736.54 1316.14 43.7199 0.854328 1.175230 1.841420
   29 6346.970   0.507230 4737.66 1316.69 43.6780 0.853449 1.173830 1.836630
   30 6346.967   0.507314 4737.18 1316.57 43.6130 0.851473 1.169300 1.822790
   31 6346.917   0.508324 4749.93 1321.89 42.3853 0.815710 1.088850 1.579020
   32 6346.894   0.508832 4750.69 1322.59 40.3113 0.752386 0.954878 1.206520
   33 6346.810   0.507982 4739.83 1318.87 40.9888 0.770981 0.994591 1.344190
   34 6346.718   0.507651 4719.49 1310.73 39.9711 0.739459 0.928881 1.190370
   35 6346.614   0.507354 4691.01 1298.94 38.5664 0.696390 0.841389 0.987689
   36 6346.550   0.507464 4628.07 1269.24 37.6526 0.671129 0.800548 0.884802
   37 6346.532   0.507491 4607.65 1259.62 37.7356 0.675348 0.813243 0.908471
   38 6346.521   0.507245 4607.56 1260.80 37.5371 0.670287 0.802964 0.892270
   39 6346.507   0.506756 4608.99 1262.11 37.1858 0.659906 0.789844 0.864680
   40 6346.497   0.506543 4608.51 1261.74 36.9085 0.653177 0.784030 0.847196
   41 6346.459   0.506204 4601.70 1257.94 35.8960 0.630299 0.775142 0.794700
   42 6346.372   0.505925 4576.34 1245.64 33.5966 0.583016 0.776888 0.701297
   43 6346.191   0.505484 4517.33 1217.15 27.3264 0.465273 0.853483 0.533359
   44 6346.012   0.505378 4517.25 1215.92 25.5113 0.437147 0.915775 0.524116
   45 6345.483   0.506069 4415.05 1176.78 20.1962 0.365416 1.051860 0.448316
   46 6345.222   0.506405 4372.15 1160.31 17.6272 0.322603 1.120270 0.399805
   47 6345.001   0.506838 4332.44 1146.68 15.8335 0.292624 1.162890 0.362017
   48 6344.728   0.510104 4257.23 1129.82 12.5757 0.236427 1.259770 0.301114
   49 6344.713   0.510175 4258.81 1131.36 13.5857 0.254790 1.222800 0.319405
   50 6344.709   0.509528 4262.00 1129.81 14.0668 0.262519 1.208200 0.327792
   51 6344.695   0.508552 4248.48 1121.49 14.5818 0.271287 1.189830 0.335463
   52 6344.693   0.508095 4242.74 1118.62 14.7581 0.274322 1.184870 0.338952
   53 6344.680   0.507096 4237.87 1115.81 14.6756 0.273253 1.185080 0.337112
   54 6344.669   0.506961 4246.57 1119.76 14.4929 0.270056 1.189970 0.334433
   55 6344.650   0.506935 4259.38 1125.39 14.2232 0.265154 1.194670 0.329110
   56 6344.650   0.506991 4261.95 1126.17 14.2156 0.265086 1.194750 0.329076
