Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,CMultStdev,0.00058930373,,,,,,,,,,,,,
WorkFlow,tvVmax,1.1256713,12275.243,,,,,,,,,,,,
WorkFlow,tvKm,-0.18012668,-551.42532,338.00735,,,,,,,,,,,
WorkFlow,tvV,-0.013516456,-64.388893,0.42546479,1.5095314,,,,,,,,,,
WorkFlow,tvKa,-0.0005177107,-4.4269849,-0.57342567,0.0465594,0.010528757,,,,,,,,,
WorkFlow,K12,-0.00031503527,-1.4660318,-0.19603444,0.019447636,0.0027980948,0.0053026254,,,,,,,,
WorkFlow,K21,7.2638459e-05,-1.9239935,-0.70360702,-0.0082764452,0.00238552,0.015591642,0.056263928,,,,,,,
WorkFlow,stdev0,-0.00036888664,-3.9394348,-0.11696278,0.016759987,0.0023444394,0.0076579009,0.024169928,0.013611542,,,,,,
WorkFlow,nVmax-nVmax,6.3136498e-05,0.20042813,-0.0492605,-0.0021431795,0.00013622301,0.00063705632,0.0020738108,0.00075109283,0.0001871746,,,,,
WorkFlow,nKm-nVmax,0,0,0,0,0,0,0,0,0,0,,,,
WorkFlow,nKm-nKm,0.0003434389,3.4117182,-0.010976019,-0.029738947,-0.00096122353,0.00068579421,0.002310809,0.00070958935,0.00025424507,0,0.0024259157,,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,,
WorkFlow,nV-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,1.3380851e-05,0.30110421,0.047997063,0.00080579055,-0.0002911438,-9.5428267e-06,1.2293697e-05,-0.0002569741,6.9641557e-05,0,0.0001997129,0,0,0.00011425231
