iteration,model number,run directory,ref run,status,fitness,model,ofv,success,covariance,correlation,ntheta,nomega,nsigm,condition num,r penalty,python penalty,translation messages,runtime errors
0,01,d:/git/adpobenchmark/NLME/run\0\01,,Done,6666.420000,0000,6296.42,False,True,False,5,1,1,48640.328,0,0,,
0,02,d:/git/adpobenchmark/NLME/run\0\02,,Done,6716.560000,0100,6336.56,False,True,False,5,2,1,33903.85579,0,0,,
0,03,d:/git/adpobenchmark/NLME/run\0\03,,Done,6676.740000,0200,6386.74,False,True,True,5,3,1,23480.13617,0,0,,
0,05,d:/git/adpobenchmark/NLME/run\0\05,,Done,6705.780000,0400,6315.78,False,True,False,5,3,1,86310.13737,0,0,,
0,04,d:/git/adpobenchmark/NLME/run\0\04,,Done,6685.960000,0300,6385.96,False,True,True,5,4,1,15773.82191,0,0,,
0,06,d:/git/adpobenchmark/NLME/run\0\06,,Done,6886.900000,0500,6466.9,False,True,False,5,6,1,45986.09209,0,0,,
0,07,d:/git/adpobenchmark/NLME/run\0\07,,Done,6762.040000,1000,6372.04,False,True,False,7,1,1,85806.34304,0,0,,
0,08,d:/git/adpobenchmark/NLME/run\0\08,,Done,6680.800000,1100,6380.8,False,True,True,7,2,1,77632.62385,0,0,,
0,11,d:/git/adpobenchmark/NLME/run\0\11,,Done,6694.760000,1400,6384.76,False,True,True,7,3,1,29508.81749,0,0,,
0,09,d:/git/adpobenchmark/NLME/run\0\09,,Done,6770.360000,1200,6460.36,False,True,True,7,3,1,19745.46211,0,0,,
0,13,d:/git/adpobenchmark/NLME/run\0\13,,Done,6874.800000,2000,6464.8,False,True,False,9,1,1,18808863.15752,0,0,,
0,14,d:/git/adpobenchmark/NLME/run\0\14,,Done,7005.920000,2100,6585.92,False,True,False,9,2,1,31269883.47385,0,0,,
0,15,d:/git/adpobenchmark/NLME/run\0\15,,Done,7084.220000,2200,6654.22,False,True,False,9,3,1,25074548.10175,0,0,,
0,12,d:/git/adpobenchmark/NLME/run\0\12,,Done,6818.300000,1500,6478.3,False,True,True,7,6,1,25750.72352,0,0,,
0,17,d:/git/adpobenchmark/NLME/run\0\17,,Done,6974.720000,2400,6544.72,False,True,False,9,3,1,75915109.81048,0,0,,
0,16,d:/git/adpobenchmark/NLME/run\0\16,,Done,7103.540000,2300,6663.54,False,True,False,9,4,1,22150878.46928,0,0,,
0,19,d:/git/adpobenchmark/NLME/run\0\19,,Done,6576.420000,0010,6296.42,False,True,True,6,1,1,42711.7016,0,0,,
0,20,d:/git/adpobenchmark/NLME/run\0\20,,Done,6718.200000,0110,6328.2,False,True,False,6,2,1,31583.96615,0,0,,
0,21,d:/git/adpobenchmark/NLME/run\0\21,,Done,6689.840000,0210,6389.84,False,True,True,6,3,1,22354.58035,0,0,,
0,23,d:/git/adpobenchmark/NLME/run\0\23,,Done,6715.460000,0410,6315.46,False,True,False,6,3,1,59615.28805,0,0,,
0,22,d:/git/adpobenchmark/NLME/run\0\22,,Done,6694.200000,0310,6384.2,False,True,True,6,4,1,14915.20912,0,0,,
0,18,d:/git/adpobenchmark/NLME/run\0\18,,Done,7096.620000,2500,6636.62,False,True,False,9,6,1,64893653.56347,0,0,,
0,24,d:/git/adpobenchmark/NLME/run\0\24,,Done,6725.000000,0510,6395.0,False,True,True,6,6,1,24418.06922,0,0,,
0,25,d:/git/adpobenchmark/NLME/run\0\25,,Done,6769.040000,1010,6369.04,False,True,False,8,1,1,112880.21512,0,0,,
0,26,d:/git/adpobenchmark/NLME/run\0\26,,Done,6669.920000,1110,6359.92,False,True,True,8,2,1,27822.83408,0,0,,
0,29,d:/git/adpobenchmark/NLME/run\0\29,,Done,6691.660000,1410,6371.66,False,True,True,8,3,1,35249.45635,0,0,,
0,10,d:/git/adpobenchmark/NLME/run\0\10,,Model run timed out,99999999.000000,1300,99999999,False,False,False,0,0,0,99999999,0,0,,
