StartTime,EndTime,Model_num,this_comp,this_eta,this_vwt,this_gamma,n_theta,n_omega,Est_time,Cov_time,Success,Status,Covar,Iterations,Algorithm,Good_inits,log_path,control_file,data_set,nparms,messages,TVVmax,TVKM,TVV,TVKA,CVVmax,RMSE,MAE,crash
2024-10-22 07:01:00,2024-10-22 07:08:36,43,0,0,0,1,8,1,370.203,61.359,TRUE,2,TRUE,83,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/43/Run43/nlme7engine.log,d:/git/adpobenchmark/nlme/43/Run43.mmdl,d:/git/adpobenchmark/data/sim_1_0_0_1.csv,9,2,3039.7997972825,656.906706414582,3.79255704252141,0.107844297574333,0.214399614037234,0.496490154392599,0.391781432913492,FALSE
2024-10-22 07:08:36,2024-10-22 07:14:27,44,0,1,0,1,8,2,209.484,122.5,TRUE,2,TRUE,34,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/44/Run44/nlme7engine.log,d:/git/adpobenchmark/nlme/44/Run44.mmdl,d:/git/adpobenchmark/data/sim_1_1_0_1.csv,10,2,3256.00179275495,803.842466883775,47.3833342652916,1.04185608251151,0.111234311083165,0.476042799989509,0.379926331676326,FALSE
2024-10-22 07:14:27,2024-10-22 07:23:20,45,0,2,0,1,8,3,426.375,87.719,TRUE,1,TRUE,80,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/45/Run45/nlme7engine.log,d:/git/adpobenchmark/nlme/45/Run45.mmdl,d:/git/adpobenchmark/data/sim_1_2_0_1.csv,11,1,1738.30998468374,309.785018455075,37.915482077462,0.659465197128878,0.0668647729311103,0.48067565860773,0.387026955955481,FALSE
2024-10-22 07:23:20,2024-10-22 07:35:26,46,0,3,0,1,8,4,375.984,329.828,FALSE,7,TRUE,36,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/46/Run46/nlme7engine.log,d:/git/adpobenchmark/nlme/46/Run46.mmdl,d:/git/adpobenchmark/data/sim_1_3_0_1.csv,12,7,3032.0829388453,772.108833329857,27.5714707283712,0.849665323185866,0.240448449050542,0.479535007871085,0.378858589902616,FALSE
2024-10-22 07:35:26,2024-10-22 07:43:18,47,0,4,0,1,8,3,330.328,123.688,TRUE,1,TRUE,55,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/47/Run47/nlme7engine.log,d:/git/adpobenchmark/nlme/47/Run47.mmdl,d:/git/adpobenchmark/data/sim_1_4_0_1.csv,11,1,2658.88581292221,635.563840671178,46.9171696825572,1.01898684181456,0.103630175691587,0.475803480053992,0.380663388992999,FALSE
2024-10-22 07:43:18,2024-10-22 08:02:31,48,0,5,0,1,8,6,883.625,246.828,TRUE,1,TRUE,82,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/48/Run48/nlme7engine.log,d:/git/adpobenchmark/nlme/48/Run48.mmdl,d:/git/adpobenchmark/data/sim_1_5_0_1.csv,14,1,2170.04829309026,427.84450924952,68.5300243275965,1.41633815783116,0.188576892187003,0.469007772282832,0.380795997550236,FALSE
2024-10-22 08:02:31,2024-10-22 08:09:44,49,1,0,0,1,10,1,357.172,58.156,TRUE,1,TRUE,113,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/49/run49/nlme7engine.log,d:/git/adpobenchmark/nlme/49/Run49.mmdl,d:/git/adpobenchmark/data/sim_2_0_0_1.csv,11,1,6270.97104801663,488.75734281746,63.5709827352594,1.58709641466612,0.0747121876379463,0.491680070706287,0.385403165206502,FALSE
2024-10-22 08:09:44,2024-10-22 08:20:03,50,1,1,0,1,10,2,520.953,78.297,TRUE,1,TRUE,128,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/50/run50/nlme7engine.log,d:/git/adpobenchmark/nlme/50/Run50.mmdl,d:/git/adpobenchmark/data/sim_2_1_0_1.csv,12,1,2790.27982625637,377.423153386071,79.8999880452535,1.42674339824166,0.103541614349638,0.473112087178305,0.379125985694203,FALSE
2024-10-22 08:20:03,2024-10-22 08:48:31,51,1,2,0,1,10,3,1501.469,181.734,TRUE,2,TRUE,148,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/51/run51/nlme7engine.log,d:/git/adpobenchmark/nlme/51/Run51.mmdl,d:/git/adpobenchmark/data/sim_2_2_0_1.csv,13,2,1919.33891053984,210.680918495273,47.6735128252561,0.895592873450314,0.0714387178461696,0.474667083125336,0.380839759739123,FALSE
2024-10-22 08:48:31,2024-10-22 09:28:45,52,1,3,0,1,10,4,2206.703,177.688,TRUE,1,TRUE,239,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/52/run52/nlme7engine.log,d:/git/adpobenchmark/nlme/52/Run52.mmdl,d:/git/adpobenchmark/data/sim_2_3_0_1.csv,14,1,3547.18130840541,441.062457250151,57.6561046980916,1.01047303325167,0.14854385039387,0.47914355810067,0.373857475447012,FALSE
