iteration,model number,run directory,ref run,status,fitness,model,ofv,success,covariance,correlation,ntheta,nomega,nsigm,condition num,r penalty,python penalty,translation messages,runtime errors
0,01,d:/git/adpoBenchmark/NLME/run\0\01,,Done,6663.600000,0000,6293.6,False,True,False,5,1,1,46242.54676,0,0,,
0,02,d:/git/adpoBenchmark/NLME/run\0\02,,Done,6713.980000,0100,6333.98,False,True,False,5,2,1,43735.66734,0,0,,
0,03,d:/git/adpoBenchmark/NLME/run\0\03,,Done,6681.500000,0200,6391.5,False,True,True,5,3,1,21566.94954,0,0,,
0,05,d:/git/adpoBenchmark/NLME/run\0\05,,Done,6701.020000,0400,6311.02,False,True,False,5,3,1,35441.52772,0,0,,
0,04,d:/git/adpoBenchmark/NLME/run\0\04,,Done,6680.080000,0300,6380.08,False,True,True,5,4,1,22915.25177,0,0,,
0,06,d:/git/adpoBenchmark/NLME/run\0\06,,Done,6798.660000,0500,6378.66,False,True,False,5,6,1,23144.83393,0,0,,
0,07,d:/git/adpoBenchmark/NLME/run\0\07,,Done,6764.260000,1000,6374.26,False,True,False,7,1,1,108883.59213,0,0,,
0,08,d:/git/adpoBenchmark/NLME/run\0\08,,Done,6655.600000,1100,6355.6,False,True,True,7,2,1,35529.39555,0,0,,
0,11,d:/git/adpoBenchmark/NLME/run\0\11,,Done,6696.400000,1400,6386.4,False,True,True,7,3,1,33876.24153,0,0,,
0,09,d:/git/adpoBenchmark/NLME/run\0\09,,Done,6771.760000,1200,6461.76,False,True,True,7,3,1,16880.30269,0,0,,
0,13,d:/git/adpoBenchmark/NLME/run\0\13,,Done,7368.740000,2000,6958.74,False,True,False,9,1,1,12178541.61933,0,0,,
0,15,d:/git/adpoBenchmark/NLME/run\0\15,,Done,7386.320000,2200,6956.32,False,True,False,9,3,1,5570492.62508,0,0,,
0,12,d:/git/adpoBenchmark/NLME/run\0\12,,Done,6923.040000,1500,6483.04,False,True,False,7,6,1,61970.95335,0,0,,
0,14,d:/git/adpoBenchmark/NLME/run\0\14,,Done,7478.100000,2100,7058.1,False,True,False,9,2,1,31758729.71785,0,0,,
0,16,d:/git/adpoBenchmark/NLME/run\0\16,,Done,7276.980000,2300,6836.98,False,True,False,9,4,1,9890022.48121,0,0,,
0,19,d:/git/adpoBenchmark/NLME/run\0\19,,Done,6673.600000,0010,6293.6,False,True,False,6,1,1,39838.39364,0,0,,
0,20,d:/git/adpoBenchmark/NLME/run\0\20,,Done,6722.140000,0110,6332.14,False,True,False,6,2,1,42764.92315,0,0,,
0,17,d:/git/adpoBenchmark/NLME/run\0\17,,Done,8094.920000,2400,7664.92,False,True,False,9,3,1,67966614.28365,0,0,,
0,21,d:/git/adpoBenchmark/NLME/run\0\21,,Done,6692.060000,0210,6392.06,False,True,True,6,3,1,17537.4466,0,0,,
0,22,d:/git/adpoBenchmark/NLME/run\0\22,,Done,6686.540000,0310,6376.54,False,True,True,6,4,1,26339.69538,0,0,,
0,23,d:/git/adpoBenchmark/NLME/run\0\23,,Done,6711.660000,0410,6311.66,False,True,False,6,3,1,43115.42088,0,0,,
0,10,d:/git/adpoBenchmark/NLME/run\0\10,,Model run timed out,99999999.000000,1300,99999999,False,False,False,0,0,0,99999999,0,0,,
0,24,d:/git/adpoBenchmark/NLME/run\0\24,,Done,6717.660000,0510,6387.66,False,True,True,6,6,1,22647.31465,0,0,,
